r_cm,r_mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.0,0.0,0.39588292927566293,2.5271159440629007e+18,1.0
0.0003006012024048096,0.003006012024048096,0.3958823213478559,2.5271004212868316e+18,0.9999938575133026
0.0006012024048096192,0.006012024048096192,0.3958804975383621,2.5270538527219635e+18,0.999975429959562
0.0009018036072144288,0.009018036072144287,0.39587745776895916,2.5269762376582886e+18,0.9999447170578223
0.0012024048096192384,0.012024048096192385,0.3958732019092625,2.526867574912364e+18,0.9999017183397856
0.001503006012024048,0.01503006012024048,0.39586772977670937,2.5267278628273024e+18,0.9998464331498086
0.0018036072144288575,0.018036072144288574,0.39586104113653087,2.526557099272608e+18,0.9997788606448367
0.002104208416833667,0.021042084168336674,0.39585313570171926,2.5263552816440504e+18,0.9996989997943555
0.002404809619238477,0.02404809619238477,0.3958440131329857,2.5261224068634573e+18,0.9996068493803074
0.0027054108216432865,0.027054108216432865,0.39583367303871364,2.525858471378553e+18,0.9995024079970283
0.003006012024048096,0.03006012024048096,0.3958221149749009,2.525563471162657e+18,0.9993856740511288
0.003306613226452906,0.033066132264529056,0.395809338445097,2.525237401714441e+18,0.9992566457613974
0.003607214428857715,0.03607214428857715,0.39579534290033275,2.524880258057627e+18,0.9991153211586805
0.003907815631262525,0.03907815631262525,0.39578012773903987,2.5244920347406075e+18,0.9989616980857338
0.004208416833667334,0.04208416833667335,0.3957636923069661,2.5240727258360986e+18,0.9987957741970835
0.0045090180360721445,0.045090180360721446,0.3957460358970813,2.5236223249407334e+18,0.9986175469588663
0.004809619238476954,0.04809619238476954,0.39572715774947437,2.523140825174581e+18,0.9984270136486383
0.005110220440881763,0.05110220440881763,0.3957070570512463,2.522628219180728e+18,0.9982241713552098
0.005410821643286573,0.05410821643286573,0.3956857329363918,2.5220844991247273e+18,0.9980090169784279
0.005711422845691382,0.05711422845691382,0.3956631844856741,2.521509656694052e+18,0.9977815472289587
0.006012024048096192,0.06012024048096192,0.3956394107264947,2.5209036830975667e+18,0.99754175862808
0.0063126252505010015,0.06312625250501001,0.39561441063275116,2.520266569064875e+18,0.9972896475074216
0.006613226452905812,0.06613226452905811,0.3955881831246887,2.519598304845668e+18,0.9970252100087079
0.006913827655310621,0.06913827655310621,0.39556072706874634,2.518898880209103e+18,0.9967484420835131
0.00721442885771543,0.0721442885771543,0.3955320412773903,2.518168284443027e+18,0.9964593394929524
0.00751503006012024,0.0751503006012024,0.3955021245089431,2.5174065063532657e+18,0.9961578978074014
