r_cm,r_mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm,T_hev_z1.5mm,flux_raw_z1.5mm,flux_norm_z1.5mm
0.0,0.0,0.576690174646649,1.1379633527129014e+19,1.0,0.4358691433366668,3.71349263637928e+18,1.0,0.0,0.0,0.0
0.00015015015015015014,0.0015015015015015015,0.576690159402404,1.1379632323890799e+19,0.999999894263887,0.43586905573408863,3.713489650974729e+18,0.9999991960655795,0.0,0.0,0.0
0.0003003003003003003,0.003003003003003003,0.5766901136696366,1.137962871417416e+19,0.9999995770553733,0.43586879292582115,3.713480694753718e+18,0.9999967842603362,0.0,0.0,0.0
0.0004504504504504504,0.004504504504504504,0.576690037448249,1.137962269797309e+19,0.9999990483739306,0.4358683549102645,3.713465767694124e+18,0.999992764578313,0.0,0.0,0.0
0.0006006006006006006,0.006006006006006006,0.5766899307380782,1.1379614275277599e+19,0.9999983082186812,0.4358677416847533,3.7134448697591173e+18,0.9999871370095919,0.0,0.0,0.0
0.0007507507507507507,0.0075075075075075074,0.576689793538896,1.1379603446073682e+19,0.9999973565883945,0.43586695324555474,3.7134180008970957e+18,0.9999799015402769,0.0,0.0,0.0
0.0009009009009009008,0.009009009009009007,0.5766896258504093,1.137959021034334e+19,0.9999961934814886,0.4358659895878706,3.71338516104175e+18,0.999971058152512,0.0,0.0,0.0
0.001051051051051051,0.010510510510510511,0.5766894276722593,1.1379574568064567e+19,0.9999948188960298,0.43586485070583514,3.713346350112004e+18,0.9999606068244642,0.0,0.0,0.0
0.0012012012012012011,0.012012012012012012,0.5766891990040227,1.1379556519211393e+19,0.9999932328297358,0.43586353659251664,3.7133015680120607e+18,0.9999485475303365,0.0,0.0,0.0
0.0013513513513513512,0.013513513513513513,0.5766889398452104,1.1379536063753798e+19,0.9999914352799689,0.43586204723991584,3.713250814631359e+18,0.9999348802403559,0.0,0.0,0.0
0.0015015015015015015,0.015015015015015015,0.5766886501952683,1.1379513201657776e+19,0.9999894262437405,0.4358603826389672,3.713194089844619e+18,0.9999196049207864,0.0,0.0,0.0
0.0016516516516516516,0.016516516516516516,0.5766883300535773,1.1379487932885357e+19,0.9999872057177139,0.4358585427795375,3.7131313935117993e+18,0.9999027215339161,0.0,0.0,0.0
0.0018018018018018016,0.018018018018018014,0.5766879794194529,1.1379460257394518e+19,0.9999847736981966,0.43585652765042665,3.7130627254781297e+18,0.9998842300380675,0.0,0.0,0.0
0.001951951951951952,0.01951951951951952,0.5766875982921454,1.1379430175139269e+19,0.9999821301811468,0.4358543372393663,3.7129880855740703e+18,0.9998641303875854,0.0,0.0,0.0
0.002102102102102102,0.021021021021021023,0.5766871866708402,1.1379397686069619e+19,0.9999792751621717,0.43585197153302085,3.7129074736153523e+18,0.9998424225328482,0.0,0.0,0.0
0.0022522522522522522,0.02252252252252252,0.576686744554657,1.1379362790131556e+19,0.9999762086365248,0.43584943051698655,3.7128208894029527e+18,0.9998191064202615,0.0,0.0,0.0
0.0024024024024024023,0.024024024024024024,0.5766862719426504,1.1379325487267076e+19,0.9999729305991091,0.435846714175791,3.7127283327230894e+18,0.9997941819922563,0.0,0.0,0.0
0.0025525525525525524,0.025525525525525523,0.5766857688338103,1.1379285777414185e+19,0.9999694410444765,0.4358438224928933,3.712629803347228e+18,0.999767649187291,0.0,0.0,0.0
0.0027027027027027024,0.027027027027027025,0.5766852352270608,1.1379243660506884e+19,0.9999657399668275,0.43584075545068385,3.712525301032095e+18,0.9997395079398548,0.0,0.0,0.0
0.002852852852852853,0.02852852852852853,0.5766846711212609,1.1379199136475142e+19,0.9999618273600079,0.43583751303048296,3.712414825519624e+18,0.9997097581804534,0.0,0.0,0.0
0.003003003003003003,0.03003003003003003,0.5766840765152045,1.1379152205244973e+19,0.9999577032175163,0.4358340952125422,3.712298376537025e+18,0.9996783998356277,0.0,0.0,0.0
0.003153153153153153,0.03153153153153153,0.5766834514076201,1.1379102866738354e+19,0.9999533675324961,0.43583050197604245,3.7121759537967237e+18,0.9996454328279374,0.0,0.0,0.0
0.003303303303303303,0.03303303303303303,0.5766827957971712,1.137905112087328e+19,0.999948820297741,0.4358267332990943,3.712047556996386e+18,0.9996108570759674,0.0,0.0,0.0
0.003453453453453453,0.03453453453453453,0.5766821096824557,1.1378996967563725e+19,0.9999440615056916,0.4358227891587372,3.7119131858188964e+18,0.9995746724943224,0.0,0.0,0.0
0.0036036036036036032,0.03603603603603603,0.5766813930620065,1.137894040671967e+19,0.9999390911484372,0.43581866953093956,3.71177283993239e+18,0.9995368789936347,0.0,0.0,0.0
0.0037537537537537537,0.03753753753753754,0.5766806459342912,1.1378881438247102e+19,0.9999339092177161,0.43581437439059795,3.7116265189902136e+18,0.9994974764805551,0.0,0.0,0.0
0.003903903903903904,0.03903903903903904,0.5766798682977119,1.1378820062047971e+19,0.9999285157049124,0.4358099037115363,3.711474222630933e+18,0.9994564648577532,0.0,0.0,0.0
0.004054054054054054,0.04054054054054054,0.5766790601506058,1.1378756278020266e+19,0.9999229106010614,0.4358052574665063,3.7113159504783514e+18,0.9994138440239239,0.0,0.0,0.0
0.004204204204204204,0.042042042042042045,0.5766782214912444,1.1378690086057935e+19,0.9999170938968438,0.4358004356271853,3.711151702141452e+18,0.9993696138737708,0.0,0.0,0.0
0.004354354354354354,0.04354354354354355,0.5766773523178342,1.1378621486050951e+19,0.999911065582591,0.4357954381641776,3.7109814772144584e+18,0.9993237742980231,0.0,0.0,0.0
0.0045045045045045045,0.04504504504504504,0.5766764526285161,1.1378550477885235e+19,0.999904825648278,0.4357902650470127,3.710805275276793e+18,0.9992763251834242,0.0,0.0,0.0
0.0046546546546546545,0.046546546546546545,0.576675522421366,1.1378477061442763e+19,0.9998983740835331,0.43578491624414517,3.710623095893087e+18,0.9992272664127347,0.0,0.0,0.0
0.004804804804804805,0.04804804804804805,0.5766745616943941,1.1378401236601453e+19,0.9998917108776285,0.43577939172295377,3.710434938613165e+18,0.9991765978647271,0.0,0.0,0.0
0.004954954954954955,0.04954954954954954,0.5766735704455457,1.1378323003235242e+19,0.9998848360194862,0.43577369144974093,3.7102408029720504e+18,0.999124319414189,0.0,0.0,0.0
0.005105105105105105,0.051051051051051045,0.5766725486727002,1.1378242361214052e+19,0.9998777494976754,0.4357678153897316,3.710040688489938e+18,0.9990704309319144,0.0,0.0,0.0
0.005255255255255255,0.05255255255255255,0.5766714963736721,1.1378159310403789e+19,0.9998704513004122,0.43576176350707396,3.7098345946722437e+18,0.9990149322847176,0.0,0.0,0.0
0.005405405405405405,0.05405405405405405,0.5766704135462103,1.1378073850666371e+19,0.9998629414155628,0.43575553576483733,3.7096225210095457e+18,0.9989578233354173,0.0,0.0,0.0
0.005555555555555555,0.05555555555555555,0.5766693001879983,1.1377985981859688e+19,0.9998552198306389,0.4357491321250118,3.7094044669775964e+18,0.9988991039428398,0.0,0.0,0.0
0.005705705705705706,0.05705705705705706,0.5766681562966544,1.1377895703837628e+19,0.9998472865328006,0.4357425525485078,3.709180432037325e+18,0.9988387739618195,0.0,0.0,0.0
0.005855855855855856,0.05855855855855856,0.5766669818697311,1.1377803016450068e+19,0.999839141508856,0.4357357969951552,3.7089504156348324e+18,0.9987768332431982,0.0,0.0,0.0
0.006006006006006006,0.06006006006006006,0.5766657769047158,1.1377707919542866e+19,0.9998307847452593,0.4357288654237022,3.708714417201371e+18,0.9987132816338186,0.0,0.0,0.0
0.006156156156156156,0.06156156156156156,0.5766645413990301,1.1377610412957866e+19,0.9998222162281127,0.43572175779181505,3.7084724361533583e+18,0.9986481189765287,0.0,0.0,0.0
0.006306306306306306,0.06306306306306306,0.5766632753500308,1.1377510496532935e+19,0.9998134359431683,0.435714474056077,3.7082244718923633e+18,0.9985813451101783,0.0,0.0,0.0
0.006456456456456456,0.06456456456456457,0.5766619787550085,1.137740817010187e+19,0.9998044438758209,0.4357070141719871,3.7079705238050913e+18,0.9985129598696141,0.0,0.0,0.0
0.006606606606606606,0.06606606606606606,0.5766606516111888,1.137730343349452e+19,0.9997952400111182,0.4356993780939599,3.7077105912633974e+18,0.9984429630856841,0.0,0.0,0.0
0.006756756756756756,0.06756756756756756,0.5766592939157313,1.1377196286536634e+19,0.9997858243337477,0.4356915657753242,3.707444673624262e+18,0.998371354585231,0.0,0.0,0.0
0.006906906906906906,0.06906906906906907,0.5766579056657308,1.1377086729050042e+19,0.9997761968280525,0.43568357716832234,3.707172770229804e+18,0.9982981341910946,0.0,0.0,0.0
0.007057057057057056,0.07057057057057056,0.5766564868582159,1.1376974760852486e+19,0.9997663574780163,0.4356754122241087,3.706894880407245e+18,0.9982233017221038,0.0,0.0,0.0
0.0072072072072072065,0.07207207207207206,0.57665503749015,1.1376860381757729e+19,0.9997563062672735,0.43566707089275,3.7066110034689464e+18,0.9981468569930858,0.0,0.0,0.0
