time_ns,front_position (Marshak),front_position (Ablation with varying rho),front_position (2D effects + lam_eff),front_position (Ablation with const rho),front_position (gold loss),front_position (No Marshak)
0.01,0.0,0.0,0.0,0.0,0.0,0.001906500684798704
0.012992992992992993,9.85445133304208e-05,8.172633320742144e-05,8.172633320741732e-05,9.85445133304208e-05,9.85445133304208e-05,0.002171385230693166
0.01598598598598599,0.00022897560799969312,0.000204520658442091,0.00020450172802648109,0.0002288420016650566,0.00022884427224714843,0.002420456945589794
0.01897897897897898,0.0003589270610589512,0.0003286864452071555,0.0003285850821810832,0.00035858496728628493,0.0003585933877071239,0.0026461877920577245
0.021971971971971975,0.0004658188145603647,0.000426464635330582,0.0004263209225065886,0.00046522761226762036,0.0004652506382034896,0.0028368944636908726
0.024964964964964968,0.0005761211218936375,0.0005319855228610097,0.0005317780165448742,0.000575370188495336,0.0005754155343476356,0.0030616772450319197
0.02795795795795796,0.0006833527554853648,0.0006369639485988859,0.0006366534601177386,0.0006824485009550963,0.0006825219808005926,0.0032710495116051925
0.030950950950950955,0.0007842853300968699,0.0007346726956109289,0.0007342712357527654,0.0007832214308316053,0.0007833292562577054,0.0034349498821537486
0.03394394394394395,0.0008883497521170245,0.0008354993352942008,0.0008349951374054558,0.0008871303274951673,0.0008872827881752254,0.003661332874085979
0.03693693693693694,0.000995659609257793,0.0009406478402236436,0.0009400121615092446,0.0009942853924015836,0.0009944898948108986,0.003874511083584269
0.039929929929929935,0.0010986271746972571,0.0010419245105576843,0.001041151191241502,0.0010970939080176122,0.001097353427217448,0.004076556617878867
0.04292292292292293,0.0011966967623091404,0.0011380587527777296,0.0011371524254825806,0.0011950024671077025,0.0011953212088522424,0.004240165191609211
0.04591591591591592,0.0012955997354566666,0.0012349248955107514,0.001233874253876483,0.001293742217152793,0.0012941302965373746,0.0044480445056182885
0.048908908908908914,0.0013975674177554613,0.00133520317162488,0.0013339865903216664,0.0013955427756083953,0.00139600958580082,0.004646633081682661
0.05190190190190191,0.0014976538073126894,0.0014339247251397458,0.0014325329383881018,0.0014954590808675709,0.001496007472536819,0.004837075363028198
0.0548948948948949,0.0015938741411310377,0.0015287701331412479,0.001527204643228229,0.0015915077018638295,0.0015921395045762022,0.004998191730821096
0.057887887887887894,0.0016894295449193543,0.0016228723598837853,0.0016211271183713897,0.001686887418949511,0.001687610492363177,0.005188212851227376
0.06088088088088089,0.0017830555552837877,0.001715104724645585,0.001713170621157664,0.0017806482927430407,0.001781204465930648,0.005317188557254452
0.06387387387387387,0.0018787530573590955,0.001809464667107952,0.0018073248879010228,0.0018760044026331166,0.001876856866757691,0.005526408878292248
0.06686686686686687,0.0019813269293741005,0.0019100669242829095,0.0019076942022641535,0.0019774674380990385,0.00197917104774412,0.0057279923207645
0.06985985985985986,0.002081386074591441,0.0020072386243766872,0.002004625660234721,0.0020768634365832617,0.002078981394505634,0.0058798830533915575
0.07285285285285285,0.0021814823028415333,0.0021061365097124704,0.002103274590297001,0.002176674633443255,0.0021789600679375403,0.006091650213449849
0.07584584584584585,0.0022829635275075097,0.002206118151026514,0.0022029897919386655,0.0022777641122807613,0.0022802773675524206,0.0062513629074108885
0.07883883883883884,0.0023863609431766675,0.0023077756141174294,0.002304363030660311,0.0023807175694424377,0.0023834929215103538,0.006473573623345627
0.08183183183183183,0.0024949716770708685,0.0024146504927037436,0.0024109291511364476,0.002488879582457441,0.0024919190363050787,0.006688405842470966
0.08482482482482483,0.0026006586383098412,0.0025186729044130835,0.0025146325233415816,0.0025946152572462063,0.0025974531300627765,0.006847105234703383
0.08781781781781782,0.002706256243679847,0.0026225921622581383,0.0026182257581154893,0.002699814163974425,0.0027029330879574046,0.0070732522750486
0.09081081081081081,0.0028169976916088595,0.002732401975324513,0.00272768096879244,0.0028091021107210664,0.0028133921255666865,0.007292389553353408
0.0938038038038038,0.0029288119484731506,0.0028426206420666036,0.0028375240549904143,0.0029198397823386045,0.0029249033060223125,0.007505131114726486
0.0967967967967968,0.0030397491314196703,0.0029498221797546473,0.0029443504273613218,0.003030190824584525,0.0030356430132548787,0.007712006269487426
0.09978978978978979,0.0031435677678669136,0.0030523396726037403,0.0030464938420632064,0.0031333850878175274,0.003139203190161856,0.007831643869262588
0.10278278278278279,0.003246618287448085,0.0031538061678426663,0.0031475746369631344,0.0032357694221495895,0.003241974201539949,0.008061676848132368
0.10577577577577578,0.0033579259781521633,0.003263244153224618,0.003256589564012271,0.003347010977763317,0.0033530820830103775,0.00828532567328941
0.10876876876876877,0.0034723429990196355,0.0033757216138537174,0.0033686154319372964,0.003460982594216071,0.003467318130548698,0.00850309410868913
0.11176176176176177,0.003579786039973194,0.0034823708246514715,0.0034748096764787737,0.0035667396650642474,0.003574332846771632,0.008615364569033395
0.11475475475475476,0.003686491974925919,0.003587430528409892,0.003579403949992987,0.003672025477895944,0.003680598788923273,0.008862044900690825
0.11774774774774775,0.003796687166471589,0.0036929407398977715,0.003684427125864605,0.003781313696777932,0.003790485841648274,0.009013977685118748
0.12074074074074075,0.0039113898635532995,0.0038057160014013025,0.0037966689451173624,0.0038950801327778672,0.0039048375968789443,0.009285223921133453
0.12373373373373374,0.004030331099985893,0.0039224730741618564,0.003912850774611157,0.0040137554051298836,0.004023516614013529,0.009459303940729384
0.12672672672672675,0.004153889155072806,0.00404475297435012,0.004034509806938213,0.004136581301321445,0.004146785769724143,0.009755804446498463
0.12971971971971974,0.0042807373841922455,0.0041685722072491455,0.004157668820832759,0.004261497827578752,0.004273073733604293,0.009939732174111988
0.13271271271271273,0.004412429910025071,0.004296855372006817,0.004285250422526019,0.004391310622028426,0.004404188508211385,0.0102686045953429
0.13570570570570573,0.004557487660056713,0.004438510727631916,0.00442613138532031,0.004534690980860692,0.004548772138558197,0.010587266171109408
0.13869869869869872,0.004707720746214878,0.004585405154079009,0.004572197196974559,0.004684227184987859,0.004698651401833927,0.010896612759033787
0.1416916916916917,0.004851144899604025,0.004727050964017028,0.004712999593249941,0.00482660175011704,0.004841659068053537,0.01109634440581408
0.1446846846846847,0.004993517945078698,0.0048658622036746296,0.00485095293036495,0.004966617645163045,0.00498328257569544,0.011432897697768578
0.1476776776776777,0.005145899153709333,0.0050143335018820985,0.00499850630284272,0.005117559052794932,0.005134966448462306,0.011759823143348825
0.1506706706706707,0.005302530283691761,0.00516705952532064,0.005150377732752419,0.005272557479818012,0.005291032866530028,0.012077902589358931
0.15366366366366369,0.005459803124820889,0.005322197096501778,0.005302818978616458,0.005426992435768782,0.005447616962611507,0.012387817465285956
0.15665665665665668,0.0056069668389915495,0.005465539886972894,0.005447066802122967,0.005571470365180441,0.00559403243498311,0.012558932582864009
0.15964964964964967,0.005751781551601476,0.005606145183209968,0.00558707031109781,0.00571386680847967,0.005738106493683759,0.012904002058573033
0.16264264264264267,0.005908292579340732,0.005758415051998185,0.005738075243755881,0.005869109828775438,0.00589399678742395,0.013240081217061736
0.16563563563563566,0.006070527287603134,0.005916301618871953,0.005896552893670441,0.006029809225812671,0.006055619092822815,0.013567838152820253
0.16862862862862865,0.006234368246504554,0.006077905441705091,0.0060548518619032545,0.006190712938205233,0.0062186032071944695,0.013887862097812561
0.17162162162162165,0.0063979614512319274,0.0062374477905528585,0.006212608075960326,0.006351405748420178,0.006381287310295686,0.014200675869640593
0.17461461461461464,0.006560566086259394,0.006395393640807781,0.0063694637967794294,0.006512416662375721,0.006543156036581868,0.014506745901866708
0.17760760760760763,0.006715593660749809,0.006547863976070803,0.006518585482802199,0.006665720490058183,0.0066974381499046816,0.014708830975901572
0.18060060060060062,0.0068677019696005,0.006695560482300647,0.006667057991309861,0.006814655753669039,0.0068485773673934115,0.015032227305777152
0.18359359359359362,0.0070263108925306475,0.0068493173635418274,0.006820055621871122,0.0069700568047591505,0.0070061788448614794,0.015348811252584447
0.1865865865865866,0.007188346094207918,0.007006539149792321,0.006975671747824757,0.007130243273452032,0.007167398773750438,0.01565899600748316
0.1895795795795796,0.007351440666591512,0.007164512964012789,0.007134567662631886,0.0072913936503662714,0.007329688795892806,0.01596315460857547
0.1925725725725726,0.007514374229342166,0.007324934793609329,0.00729142707360954,0.007450915545974842,0.007491595716630056,0.01626162520021277
0.1955655655655656,0.00766572181364275,0.007471959632056287,0.007436361715230167,0.007598854229739062,0.0076418684072206994,0.016380668542588572
0.19855855855855858,0.007812570426672202,0.00761349338425853,0.007576715331602977,0.007743671798950867,0.007787711838060656,0.016715655014665445
0.20155155155155158,0.007970746973419044,0.00776865707732097,0.007727732750764175,0.007899665510816655,0.007944840396020237,0.017044058883859483
0.20454454454454457,0.008135789651637722,0.007928727240676827,0.007888273199775468,0.008060993299819576,0.00810880223732475,0.017366253594360205
0.20753753753753756,0.008303979502719263,0.008091472452276196,0.008049963760602298,0.008226658714272177,0.008275990943791537,0.017682578561137172
0.21053053053053056,0.008461785546002245,0.008243314586995927,0.008200312492064788,0.008381897920165412,0.008432777775032088,0.017807522825382987
0.21352352352352355,0.00861555372116499,0.008393891367870799,0.008349201444831247,0.008531516852723478,0.008585364664848352,0.01816172941490222
0.21651651651651654,0.00878143199740144,0.008554446461883077,0.008507914624303298,0.008693129206278839,0.008750014711327588,0.018509158854570162
0.21950950950950954,0.008954814297452129,0.008721952082373252,0.008673470594643738,0.008863783971957105,0.008922333518276655,0.018850185878852798
0.22250250250250253,0.009131824874198667,0.00889235719346523,0.008841883612496394,0.009038047422259976,0.009098286475504631,0.01918515191055025
0.22549549549549552,0.009310228880206082,0.009067260650933506,0.00901472530452422,0.009212083300312951,0.009275412370699334,0.019514369064729673
0.22848848848848852,0.009488813377281765,0.009240309028185005,0.009185678813562059,0.009386231372262747,0.009452733105749482,0.01983812355436035
0.2314814814814815,0.009653205741046793,0.00939802258536962,0.009341356381800633,0.009547844729467677,0.009615872705471462,0.019925334495387106
0.2344744744744745,0.009811274943185823,0.009552391303604049,0.00949366270228916,0.009703105061540204,0.009772518568029628,0.02029444135333311
0.2374674674674675,0.009982614041359316,0.00971770575195829,0.00965680049873344,0.00986984930088891,0.009942403849815479,0.02065695391229526
0.2404604604604605,0.010162682988273969,0.009891094304857252,0.009827902227859262,0.010046611497170073,0.0101212065584465,0.0210132134626169
0.24345345345345348,0.010347377242456312,0.01006815637956041,0.010002625625766027,0.0102279437608189,0.010304649487286374,0.02136353283322582
0.24644644644644648,0.010534199657190924,0.010250823368126773,0.01018286597958832,0.010409677760698111,0.010489990994346584,0.021708199607685826
0.24943943943943947,0.010721714360818894,0.010432041767762476,0.01036160964317351,0.010593506984283463,0.010676074495611993,0.022047478887572265
0.25243243243243246,0.010889495361717743,0.010592217249284476,0.010519392233127534,0.01075770227041,0.010842398502242945,0.02204764235932188
0.25542542542542546,0.011048240380917342,0.010746706987577967,0.010671467918220174,0.010911072873985118,0.010999449466020826,0.02245442534389338
0.25841841841841845,0.011225692886090924,0.010917338500511301,0.010839522877323307,0.011082886238971676,0.01117527976300705,0.022853969052319956
0.26141141141141144,0.011415968922411953,0.011099120419642151,0.0110194474825855,0.0112692506273902,0.01136403053485918,0.02324664675527021
0.26440440440440444,0.01161352046415448,0.011291622013306383,0.01120535714632934,0.01146291844080324,0.011559942588205047,0.023632800707580802
0.26739739739739743,0.011814849605868039,0.011485533718606614,0.0113987825144344,0.011658514650247137,0.011759639013583408,0.02401274564068317
0.2703903903903904,0.012017874510905404,0.011680476318394294,0.011591521176341208,0.011857299050757136,0.011961059954891322,0.024386771765120233
