time_ns,front_position (Marshak),front_position (Ablation with varying rho),front_position (2D effects + lam_eff),front_position (Ablation with const rho),front_position (gold loss),front_position (No Marshak),front_position (Vacuum loss),front_position (Be Loss),front_position (Copper Loss)
0.01,0.0,0.0,0.0,0.0,0.0,0.0015051330916057567,0.0,0.0,0.0
0.013993993993993994,9.947699289488235e-05,8.47842211701233e-05,8.47842211688244e-05,9.947699289488235e-05,8.478422117012321e-05,0.0017805154469521813,8.478422074427752e-05,8.478422116882442e-05,8.478422116993108e-05
0.017987987987987987,0.00023043982942362454,0.00020990872447307517,0.0002098500257071859,0.00023035135875029315,0.00020991101713539279,0.0020186740425893303,0.00020973073144629694,0.0002096164833457641,0.00020976271772039419
0.021981981981981983,0.00035999391770391326,0.0003347669486231624,0.00033446993782934554,0.00035976728927285636,0.00033476762837379004,0.002231558765440107,0.0003337472252151163,0.0003338490358438355,0.00033429986362316444
0.02597597597597598,0.0004630563091223699,0.0004306415706631495,0.0004302168094938741,0.00046266098775492374,0.00043067822327766587,0.0024258326729189703,0.00042923945991708514,0.00042916748382741156,0.0004299388181719693
0.02996996996996997,0.0005642135477774272,0.0005285212195523186,0.00052792376143372,0.000563706667342745,0.0005286073192315944,0.0026056618718455814,0.0005264319211951059,0.0005267123741989367,0.0005276939006978375
0.033963963963963964,0.0006597105265129566,0.0006225757465466057,0.0006217354526915047,0.0006590962968077975,0.0006227183846463652,0.002773857138314524,0.0006196054937935833,0.0006204309150145886,0.0006216055522568205
0.03795795795795796,0.00075071327730478,0.0007118270491270002,0.0007107606462077856,0.0007499878034983129,0.0007120448422599601,0.0029324210231764236,0.0007080483683415019,0.000709346233296056,0.0007107320143530787
0.041951951951951956,0.0008383879798004075,0.0007980004087693089,0.0007967021027179448,0.0008375527984008116,0.0007983087051587284,0.003082840036485138,0.0007934028367694473,0.0007952100706743238,0.0007968015408916384
0.04594594594594595,0.0009231806639660333,0.0008816120207209449,0.0008800679928401727,0.0009222359126220464,0.0008820241994334147,0.0032262536050261625,0.0008761656484150993,0.0008785323190627327,0.000880322965926227
0.04993993993993994,0.001005435485496949,0.0009628486578705584,0.0009610509300529979,0.0010043800217240813,0.0009633782015805422,0.0033570161206078553,0.0009565426498633715,0.0009594945816014871,0.0009614823698940362
0.05393393393393394,0.0010854545673832168,0.0010419523964387088,0.001039895132556934,0.0010842869472807532,0.0010426126404575941,0.003477940059120974,0.0010347823576544771,0.0010383384879245586,0.0010405220373638743
0.05792792792792793,0.0011634782200194119,0.0011191466888561788,0.001116824184933158,0.0011621968359332793,0.0011199505924851642,0.003603420028728719,0.0011111088793889774,0.001115287336808156,0.0011176649885589534
0.061921921921921926,0.0012334558132251943,0.0011878757491794558,0.001185297966326625,0.0012320637157264692,0.0011888292079526676,0.003733499305119689,0.0011790020649440638,0.0011837906395341098,0.0011863573508103832
0.06591591591591592,0.0013100412078943383,0.0012627317465977628,0.0012598674091675304,0.0013085198942649852,0.0012638728515154234,0.0038682230967601637,0.0012529732011794025,0.0012584589854672714,0.001261208787099832
0.06990990990990992,0.0014018145383650166,0.0013531073810624033,0.00134987275603503,0.0014001395335342733,0.0013544763685913639,0.0040083297517872285,0.0013422808608636613,0.0013486320281542194,0.0013515803717345863
0.0739039039039039,0.0014939263565102363,0.0014442594828349834,0.0014406194561951446,0.0014920953352574023,0.0014458595521532444,0.004156910546730514,0.0014322625122196915,0.0014395282176380274,0.0014427045469128513
0.0778978978978979,0.0015802481206545877,0.0015295246947956789,0.0015254973032305173,0.0015784495760252661,0.0015315700263235674,0.004307007572773006,0.0015163972669210303,0.0015245429590637124,0.0015279631139620854
0.08189189189189189,0.0016666121877797527,0.001615097714630719,0.0016106737372918935,0.0016645560291111072,0.001616883615499425,0.004461389423152582,0.001600392417304361,0.001609438583566175,0.0016131034755192191
0.08588588588588589,0.0017577850304373924,0.0017051071346677379,0.0017002465786682814,0.0017550068940563144,0.0017066202619527464,0.004618715611088613,0.001689181732158212,0.0016992040252370698,0.001703116474019102
0.08987987987987987,0.0018489051984532082,0.0017937811648386193,0.0017884669468061973,0.0018456801979814257,0.0017967404943502296,0.004774761911049128,0.0017780142125066588,0.0017890535639053403,0.001793222477061514
0.09387387387387387,0.0019343370595656792,0.00187856331007898,0.0018727957430641712,0.0019309086079026103,0.0018813938775472966,0.004929744421411829,0.0018611403232320688,0.001873185865049989,0.0018776171941472283
0.09786786786786787,0.002020023236620831,0.001963241436693412,0.001957006692445382,0.0020163158995383213,0.0019661274899195236,0.0050838538728352894,0.0019443776905068903,0.0019574554120523457,0.001962149982363866
0.10186186186186186,0.0021123579645769184,0.0020543269709163677,0.0020475810850318385,0.0021083196103980047,0.0020575218721485575,0.005234809510898124,0.002034194992203908,0.00204838736579804,0.002053932069538284
0.10585585585585586,0.0022058933686843352,0.0021466606078588226,0.002139372613108696,0.0022015237416262933,0.002150245962643973,0.005376458881774229,0.002125256988698844,0.002140614418183646,0.002146479392422605
0.10984984984984986,0.002291388698075271,0.0022309272893461384,0.0022231080058902467,0.0022867139581796607,0.002234896582873281,0.005523662694611651,0.0022082545353449058,0.0022247572391544228,0.0022298297013984268
0.11384384384384384,0.0023775775614403236,0.0023154889279884783,0.002307128102426592,0.002372871008768061,0.002320390700430917,0.005676455797040187,0.0022917636593815503,0.0023094400788613535,0.002313921391161253
