r_cm,z_article_mm,z_model_2D_mm
0.0005617977528088,3.0,2.7849123702626652
0.0050561797752808,3.0,2.784610161715837
0.0101123595505617,3.0,2.783692335668986
0.0151685393258427,3.0,2.782162889023926
0.0207865168539325,3.0,2.7797468879641842
0.0241573033707865,3.0,2.7779355737935587
0.0303370786516853,3.0,2.773911303968035
0.0348314606741572,2.99443413729128,2.770413638779363
0.0404494382022471,2.9888682745825594,2.76536700619411
0.046629213483146,2.98330241187384,2.7589523664211217
0.0499999999999999,2.98330241187384,2.7550733218824246
0.0561797752808989,2.9721706864564004,2.7472671397139967
0.0601123595505617,2.96103896103896,2.741832973556848
0.0651685393258427,2.949907235621521,2.7343150229766486
0.0702247191011235,2.9387755102040813,2.726201722929484
0.0741573033707865,2.9276437847866417,2.7194815488153323
0.0775280898876404,2.916512059369201,2.71343704636749
0.0803370786516853,2.910946196660482,2.7082001561999
0.0853932584269663,2.894248608534322,2.6983178093555398
0.0898876404494382,2.883116883116883,2.689043573616971
0.0926966292134831,2.8719851576994424,2.6830141354268355
0.095505617977528,2.855287569573284,2.676806166344589
