time_ns,foam_energy_hJ,gold_energy_hJ
0.029178442447596698,8.024440949213273e-06,6.0771840520759824e-06
0.09038545015367827,1.1263073788077718e-05,6.12355204071229e-06
0.15122448979591838,1.6030352897914308e-05,7.873835187285842e-06
0.21183673469387754,2.3232907268197186e-05,1.0541188355990013e-05
0.27226078905026957,3.30367504375192e-05,1.3337823409532985e-05
0.3330612244897959,4.335176026143933e-05,1.7886223143146177e-05
0.39365582277703787,5.4925710891482894e-05,2.1866411143325074e-05
0.4542857142857143,6.712572694230783e-05,2.7427126468967812e-05
0.514845407537492,8.043196653265859e-05,3.274612837270968e-05
0.5753450620553529,9.484089443134505e-05,3.920750705378887e-05
0.6359380639849336,0.00010992436639716806,4.5789528738203595e-05
0.6965802300952348,0.00012578378575845618,5.251253775905254e-05
0.757197736489206,0.0001424402406600583,6.10297109723576e-05
0.8179591836734694,0.00015973841858403794,6.911088193561228e-05
0.8785714285714287,0.00017752814733545299,7.772393773877953e-05
0.9391332969824315,0.00019576804439590335,8.729531137774237e-05
0.9997477283406554,0.00021555667285011275,9.743821147014623e-05
1.0604081632653062,0.00023612475840938113,0.00010828949406930864
1.121020408163265,0.0002569793721616189,0.00012023711917313843
1.1813672415963823,0.00027716162513268227,0.00013139958331844471
1.2422448979591836,0.00029604841437600387,0.0001416262527909323
1.302793802469713,0.00031269592831117466,0.0001523059719070944
1.363469387755102,0.00032894209273209195,0.00016207039391681784
1.4239643250294691,0.00034392503201869463,0.00017092592040463884
1.4846938775510203,0.0003575382550204747,0.00018056212874727868
1.5453061224489795,0.00037082072915025515,0.0001890785544663971
1.6059183673469386,0.0003833694686966649,0.00019822797911795215
1.6662353487298835,0.00039535406726192124,0.00020652990994557568
1.727142857142857,0.00040652179726229207,0.00021511194907609084
1.7875955907570569,0.00041752430335101034,0.0002230637765698938
1.8483673469387751,0.0004275697738856441,0.00023139088609853007
1.9089795918367345,0.0004365154452739232,0.00023797404698161254
1.9691622817799985,0.00044459544336841495,0.0002455276012656542
2.030204081632653,0.0004532329089442572,0.0002526654363062978
2.090816326530612,0.0004615090274635018,0.00026003032983222513
2.1509947827389597,0.00046894613682996715,0.00026705503735686265
2.2120408163265304,0.0004768264255136328,0.0002735170829486554
2.2724676365245546,0.0004838632744798815,0.0002807247822030439
2.333265306122449,0.000491178464231249,0.00028785742177871317
2.3934944257338553,0.0004979858804196386,0.0002938212698647637
2.4544897959183674,0.0005037630635200208,0.0003004193715044743
2.514194853837596,0.0005093518932845339,0.00030651848757859315
2.5757142857142856,0.0005143704565970584,0.00031164055609283673
2.6363265306122448,0.0005172502729419517,0.00031617405604790884
2.6969387755102043,0.0005192721327106873,0.00031989904052684323
2.75670189595851,0.0005206288690777588,0.0003228438911476556
2.8178210913419575,0.0005225339947647439,0.00032552933748380584
2.878353013752476,0.0005232669083759714,0.0003284553402366211
2.9390946239913345,0.0005243207506851478,0.0003311336309205879
2.9990946239913407,0.0005254229201152272,0.0003335591928642134
