time_ns,detector_mm,flux_raw,flux_normalised,temperature_hev,arrival_time_ns
0.03,0.5,6.7600607585028074e-12,7.585137665549594e-24,2.3940908899794136e-06,0.8272149836975091
0.04979184761888897,0.5,6.742561955511416e-12,7.565503103906773e-24,2.392540073557326e-06,0.8272149836975091
0.06975138222635488,0.5,6.724884085048909e-12,7.545667619303589e-24,2.3909703193077373e-06,0.8272149836975091
0.08975979718730233,0.5,6.707206594116077e-12,7.525832560552322e-24,2.3893975009625545e-06,0.8272149836975091
0.10972980675626992,0.5,6.68964586026821e-12,7.506128509286717e-24,2.387831989568287e-06,0.8272149836975091
0.12963945285951198,0.5,6.672306673097497e-12,7.486673044846821e-24,2.386283201690369e-06,0.8272149836975091
0.14959174424896288,0.5,6.654889038470578e-12,7.467129558305335e-24,2.3847243645436576e-06,0.8272149836975091
0.1694793384539995,0.5,6.637684221088366e-12,7.447824863715042e-24,2.3831815670696105e-06,0.8272149836975091
0.1894072574845568,0.5,6.620532218375825e-12,7.428579429914634e-24,2.3816405173282453e-06,0.8272149836975091
0.20936503375158216,0.5,6.603367763063712e-12,7.409320023653708e-24,2.38009534824766e-06,0.8272149836975091
0.22931202523141542,0.5,6.586243670263323e-12,7.390105906217674e-24,2.3785508080290293e-06,0.8272149836975091
0.24916236839243555,0.5,6.569387347829927e-12,7.37119224097711e-24,2.3770274755123182e-06,0.8272149836975091
0.2691946308724832,0.5,6.55233131815882e-12,7.352054493890987e-24,2.3754831083758053e-06,0.8272149836975091
0.2890775147616378,0.5,6.5355837205992505e-12,7.333262823579921e-24,2.3739637322035405e-06,0.8272149836975091
0.30906040268456375,0.5,6.518697727711103e-12,7.314315866555166e-24,2.3724288412663324e-06,0.8272149836975091
0.32892792708841573,0.5,6.5021596328695035e-12,7.295759269124934e-24,2.370922680137641e-06,0.8272149836975091
0.34885155653989913,0.5,6.485454071259227e-12,7.277014765322229e-24,2.369398347651906e-06,0.8272149836975091
0.3688212145717816,0.5,6.4688003130271134e-12,7.258328387588053e-24,2.36787580808932e-06,0.8272149836975091
0.3887885669991903,0.5,6.45237940391964e-12,7.239903278610002e-24,2.366371675174325e-06,0.8272149836975091
0.4087193655577945,0.5,6.435863735844637e-12,7.221371845171352e-24,2.3648559638294206e-06,0.8272149836975091
0.42858985737482996,0.5,6.419521513810629e-12,7.203035027157844e-24,2.3633532962105145e-06,0.8272149836975091
0.4485756952390239,0.5,6.403228371405819e-12,7.184753279025707e-24,2.3618522826424153e-06,0.8272149836975091
0.46851349177764917,0.5,6.386974365828643e-12,7.166515444437546e-24,2.360352017647658e-06,0.8272149836975091
0.4884206570965728,0.5,6.370829811098498e-12,7.148400419358353e-24,2.35885901779603e-06,0.8272149836975091
0.508360250156738,0.5,6.354681537865343e-12,7.130281221926536e-24,2.3573628327841466e-06,0.8272149836975091
0.5283210910715113,0.5,6.338603395884476e-12,7.112240715385566e-24,2.3558703099650186e-06,0.8272149836975091
0.5482486982495546,0.5,6.322648362224154e-12,7.094338342744935e-24,2.3543864057038784e-06,0.8272149836975091
0.5681221993330605,0.5,6.306880582700176e-12,7.076646078926304e-24,2.352917155322873e-06,0.8272149836975091
0.5880787013995873,0.5,6.2909760502667945e-12,7.05880037127321e-24,2.3514323686835867e-06,0.8272149836975091
0.6080471075718388,0.5,6.2751634644767485e-12,7.041057832507571e-24,2.3499533722491753e-06,0.8272149836975091
0.6279407700159549,0.5,6.2594357336440214e-12,7.023410505391036e-24,2.348479537240084e-06,0.8272149836975091
0.64788791625956,0.5,6.243822376091677e-12,7.00589151100818e-24,2.3470136703153215e-06,0.8272149836975091
0.6677807425000862,0.5,6.228247892645942e-12,6.988416135382726e-24,2.345548711628127e-06,0.8272149836975091
0.6877433840765822,0.5,6.212689676139138e-12,6.970959012103753e-24,2.3440825372830934e-06,0.8272149836975091
0.7076882796621118,0.5,6.19719570296497e-12,6.953573973165372e-24,2.342619677805538e-06,0.8272149836975091
0.727558318893263,0.5,6.181874559934512e-12,6.936382858583535e-24,2.3411704362411596e-06,0.8272149836975091
0.7474840861064271,0.5,6.1665307450598985e-12,6.919166305020424e-24,2.3397163477750118e-06,0.8272149836975091
0.7674609891951295,0.5,6.151097243187799e-12,6.901849118009323e-24,2.338251019920986e-06,0.8272149836975091
0.7874496644295301,0.5,6.135826220943075e-12,6.884714241540321e-24,2.3367984020547295e-06,0.8272149836975091
0.8073617778026468,0.5,4.4653565868325036e-10,5.010360948944292e-22,6.825225751143231e-06,0.8272149836975091
0.8272149836975091,0.5,175008817941.14462,0.19636894166949612,0.9603244077554466,0.8272149836975091
0.8472149836975049,0.5,333235536958.8627,0.37390750071396167,1.1280823688667752,0.8272149836975091
0.8671812080536914,0.5,414881508011.89874,0.46551850132454126,1.1916096284190503,0.8272149836975091
0.8870886904250277,0.5,473233721022.55164,0.530992701126453,1.2314645236431303,0.8272149836975091
0.9070333552837228,0.5,520062958690.5359,0.5835375268571423,1.2608602833911848,0.8272149836975091
0.926953260751035,0.5,562330699565.4796,0.6309641173570822,1.2857334201065946,0.8272149836975091
0.9469127516778524,0.5,603782275434.3264,0.6774749285245268,1.308799360659494,0.8272149836975091
0.9668456375838925,0.5,640567337840.0153,0.7187496703279983,1.3282939111203191,0.8272149836975091
0.9867785234899329,0.5,678512110509.0616,0.7613256670038692,1.3475422328386584,0.8272149836975091
1.0067114093959733,0.5,709281727025.3157,0.7958507675214044,1.3625664055585784,0.8272149836975091
1.0266370288492903,0.5,734749145339.3351,0.8244265275328809,1.3746361369748017,0.8272149836975091
1.0464913218963725,0.5,768244275574.1637,0.8620097953514615,1.3900416633843757,0.8272149836975091
1.0664913218963785,0.5,798697663670.8483,0.89618007123326,1.4036168971727654,0.8272149836975091
1.086438310367009,0.5,821321379084.4382,0.9215650495712806,1.4134526557034064,0.8272149836975091
1.1063233264144072,0.5,838386854812.5204,0.940713395621689,1.4207383362026307,0.8272149836975091
1.1262688611795295,0.5,853060128260.6417,0.9571775670373471,1.4269143158764555,0.8272149836975091
1.1462416107382551,0.5,870062912474.5508,0.9762555699677079,1.4339719244153064,0.8272149836975091
1.1661744966442953,0.5,881691575193.6066,0.9893035307392642,1.4387394663465272,0.8272149836975091
1.1860946549705444,0.5,887435294310.4436,0.995748280538097,1.441076906233197,0.8272149836975091
1.2060366949607468,0.5,891224530993.7953,1.0,1.4426127533333202,0.8272149836975091
1.2259049100964494,0.5,882771163484.2963,0.9905148846160319,1.4391796808248793,0.8272149836975091
1.2458538298939694,0.5,884353455870.1355,0.992290298477312,1.4398241496601887,0.8272149836975091
1.2658346361561852,0.5,879051422844.8098,0.9863411433082847,1.4376612082842473,0.8272149836975091
1.285749017883718,0.5,880706557437.9797,0.9881982898921251,1.4383374612487345,0.8272149836975091
1.305635591416694,0.5,882123270218.1847,0.9897879148754334,1.4389155434127583,0.8272149836975091
1.3255772874829437,0.5,879173582437.9669,0.9864782126874465,1.4377111527335174,0.8272149836975091
