time_ns,E_marshak,E_gold_loss,E_wall_gold_loss,E_vacuum_loss,E_Be_loss,E_Be_wall_loss,E_Cu_loss,E_Cu_wall_loss
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012992992992992993,0.0032704522023398576,0.0032704522023398576,0.0,0.0032704522020494268,0.0032704522023398576,0.0,0.0032704522023398576,0.0
0.01598598598598599,0.009546006008075014,0.00927724016168527,2.019020179279781e-05,0.009284877170676713,0.009257219332148387,6.023186086656417e-05,0.00926731512568426,4.004027379481503e-05
0.01897897897897898,0.015212438071402655,0.014449901239496271,3.27396846298029e-05,0.014466321274305038,0.01439691794813313,0.00010418593087352486,0.014424938718856205,6.555101561742311e-05
0.021971971971971975,0.02049632905414776,0.01941243198583093,4.145550915301989e-05,0.01942929579473369,0.019340421026759855,0.00013341834108185165,0.019379795486890682,8.31398882574121e-05
0.024964964964964968,0.025634096062958397,0.024355456531712148,4.976155515930396e-05,0.024370983272942248,0.024269550534296132,0.00016278609487438013,0.024317072874383113,0.00010005494791241738
0.02795795795795796,0.030597978171443843,0.029132388732661677,5.751337712236681e-05,0.029146120142226874,0.029031067434350757,0.0001908560631202036,0.02908786887469483,0.00011590199115851248
0.030950950950950955,0.03543768715814573,0.03381231753363845,6.479897446722901e-05,0.0338232538698868,0.033696560208960044,0.00021764744685677225,0.033762236140081885,0.00013083246424557625
0.03394394394394395,0.04016783847130888,0.03840942241229954,7.176612363350058e-05,0.03841678334604006,0.03828025991374228,0.000243680887386279,0.03835425534533903,0.0001451474938134685
0.03693693693693694,0.04480010262025498,0.04292468332372183,7.847986184393268e-05,0.042927894763144535,0.042782546396223184,0.0002691262445912781,0.042864673965576576,0.00015897362934308443
0.039929929929929935,0.04934496293817708,0.04736504098532643,8.497926448368143e-05,0.0473635893546975,0.04721030701677331,0.0002940648858483272,0.047300403762079474,0.00017238503918801738
0.04292292292292293,0.05381053840072128,0.05173687680806866,9.129548131106645e-05,0.05173029783632527,0.05156992803571449,0.00031856966417797704,0.05166781263133985,0.0001854416891768082
0.04591591591591592,0.05820340016097759,0.05604500364197625,9.7452625084382e-05,0.05603288327014962,0.05586617804296215,0.00034269785573752125,0.05597168660542719,0.0001981901071073904
0.048908908908908914,0.06252908333973829,0.06029350677928735,0.00010346929598812746,0.06027547196442336,0.06010310177371687,0.0003664922288664562,0.06021608875212343,0.00021066607189844096
0.05190190190190191,0.06679231590515018,0.06448601510092254,0.00010936028628788527,0.06446172583067998,0.06428430070528147,0.0003899860313061714,0.06440463191304263,0.0002228979848573398
