time_ns,E_marshak,E_gold_loss,E_wall_gold_loss,E_vacuum_loss,E_Be_loss,E_Be_wall_loss,E_Cu_loss,E_Cu_wall_loss
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013993993993993994,0.004364248925530446,0.004364248925530446,0.0,0.004364248925530446,0.004364248925530446,0.0,0.004364248925530446,0.0
0.017987987987987987,0.012687985402993637,0.012356970489621295,2.4046425537742792e-05,0.012365598691741555,0.01233267883527888,7.262973414193547e-05,0.01234510261336962,4.778217802916945e-05
0.021981981981981983,0.02008719390630914,0.01916297917461084,3.940559434088364e-05,0.019175657686536073,0.01909690991389571,0.00012778894325981814,0.019132331611441348,7.914319535839325e-05
0.02597597597597598,0.026920718826545738,0.02563445779795541,5.017306190948731e-05,0.02562839847132006,0.02554038982958169,0.000165042573062288,0.02559213485669304,0.00010100426281979877
0.02996996996996997,0.03355208627262775,0.03206017391818559,6.0469069132157816e-05,0.03202532178934977,0.03194267432321354,0.00020262510992981542,0.032007393818407316,0.00012209886905950162
0.033963963963963964,0.039930625877254336,0.03823724672224157,7.010719919013698e-05,0.03817175888910004,0.038093996437958716,0.00023869588501206543,0.03817328823026379,0.00014192443437201273
0.03795795795795796,0.04613136759781957,0.04426778387871612,7.917495402845401e-05,0.044167722594823454,0.044099356667254834,0.0002731861319604224,0.04419295035406929,0.00016062706243197706
0.041951951951951956,0.052177132967376944,0.05017505590443903,8.78540969039883e-05,0.05003623030431346,0.049981920153723707,0.00030674741690869285,0.050089393696865166,0.00017857704013232034
0.04594594594594595,0.05808402130917473,0.05596110866013625,9.622184903298571e-05,0.05578059210156574,0.05574320241266151,0.0003395769118442254,0.05586453329677792,0.00019592415453545853
0.04993993993993994,0.06386742741379427,0.06163717386337063,0.0001043234731173079,0.061412407787716526,0.06139445147057764,0.00037176127848224846,0.06152961423705622,0.00021275395135261478
