r_cm,z_F_radial_cm
0.0,0.06997642434656008
0.00016032064128256515,0.06997641885181873
0.0003206412825651303,0.06997640236759599
0.0004809619238476954,0.06997637489389574
0.0006412825651302606,0.06997633643072447
0.0008016032064128258,0.0699762869780912
0.0009619238476953908,0.06997622653600762
0.001122244488977956,0.06997615510448794
0.0012825651302605212,0.069976072683549
0.0014428857715430862,0.06997597927321021
0.0016032064128256515,0.06997587487349359
0.0017635270541082166,0.06997575948442371
0.0019238476953907816,0.06997563310602777
0.0020841683366733467,0.06997549573833553
0.002244488977955912,0.06997534738137935
0.0024048096192384773,0.06997518803519417
0.0025651302605210423,0.06997501769981755
0.0027254509018036074,0.06997483637528962
0.0028857715430861725,0.06997464406165306
0.003046092184368738,0.0699744407589532
0.003206412825651303,0.06997422646723793
0.003366733466933868,0.06997400118655771
0.003527054108216433,0.06997376491696561
0.0036873747494989982,0.06997351765851731
0.0038476953907815633,0.06997325941127105
0.004008016032064129,0.06997299017528766
0.004168336673346693,0.06997270995063055
0.004328657314629259,0.06997241873736577
0.004488977955911824,0.06997211653556187
0.004649298597194389,0.06997180334529006
0.0048096192384769546,0.06997147916662416
0.004969939879759519,0.06997114399964048
0.005130260521042085,0.06997079784441798
0.00529058116232465,0.06997044070103824
0.005450901803607215,0.06997007256958535
0.00561122244488978,0.06996969345014603
0.005771543086172345,0.06996930334280964
0.0059318637274549104,0.06996890224766801
0.006092184368737476,0.06996849016481567
0.006252505010020041,0.06996806709434968
0.006412825651302606,0.06996763303636969
0.006573146292585171,0.06996718799097795
0.006733466933867736,0.06996673195827932
0.006893787575150302,0.06996626493838122
0.007054108216432866,0.06996578693139366
0.007214428857715432,0.06996529793742921
0.0073747494989979965,0.06996479795660313
0.007535070140280562,0.06996428698903312
0.007695390781563127,0.0699637650348396
0.007855711422845692,0.06996323209414554
0.008016032064128258,0.06996268816707643
0.008176352705410823,0.0699621332537604
0.008336673346693387,0.06996156735432822
0.008496993987975952,0.06996099046891315
0.008657314629258518,0.0699604025976511
0.008817635270541083,0.06995980374068057
0.008977955911823649,0.06995919389814262
0.009138276553106213,0.06995857307018089
0.009298597194388778,0.06995794125694163
0.009458917835671344,0.06995729845857368
0.009619238476953909,0.06995664467522848
0.009779559118236475,0.06995597990706
0.009939879759519038,0.06995530415422486
0.010100200400801604,0.06995461741688225
0.01026052104208417,0.0699539196951939
0.010420841683366735,0.06995321098932421
0.0105811623246493,0.06995249129944012
0.010741482965931864,0.06995176062571115
0.01090180360721443,0.06995101896830942
0.011062124248496995,0.06995026632740965
0.01122244488977956,0.06994950270318914
0.011382765531062126,0.06994872809582775
0.01154308617234469,0.06994794250550795
0.011703406813627255,0.06994714593241483
0.011863727454909821,0.06994633837673597
0.012024048096192386,0.06994551983866167
0.012184368737474952,0.06994469031838468
0.012344689378757516,0.06994384981610045
0.012505010020040081,0.06994299833200698
0.012665330661322647,0.06994213586630482
0.012825651302605212,0.06994126241919711
0.012985971943887778,0.06994037799088966
0.013146292585170341,0.06993948258159077
0.013306613226452907,0.06993857619151139
0.013466933867735472,0.06993765882086499
0.013627254509018038,0.06993673046986769
0.013787575150300603,0.06993579113873816
0.013947895791583167,0.06993484082769773
0.014108216432865733,0.06993387953697017
0.014268537074148298,0.06993290726678196
0.014428857715430864,0.06993192401736213
0.01458917835671343,0.06993092978894232
0.014749498997995993,0.06992992458175669
0.014909819639278558,0.06992890839604202
0.015070140280561124,0.0699278812320377
0.01523046092184369,0.0699268430899857
0.015390781563126253,0.06992579397013056
0.015551102204408819,0.06992473387271939
0.015711422845691384,0.06992366279800193
0.015871743486973948,0.06992258074623045
0.016032064128256515,0.06992148771765987
0.01619238476953908,0.06992038371254765
0.016352705410821646,0.06991926873115382
0.01651302605210421,0.06991814277374106
0.016673346693386774,0.0699170058405746
0.01683366733466934,0.0699158579319222
0.016993987975951905,0.06991469904805434
0.017154308617234472,0.06991352918924391
0.017314629258517036,0.06991234835576655
0.0174749498997996,0.0699111565479004
0.017635270541082167,0.06990995376592614
0.01779559118236473,0.06990874001012719
0.017955911823647298,0.06990751528078938
0.01811623246492986,0.06990627957820124
0.018276553106212425,0.06990503290265382
0.018436873747494992,0.06990377525444078
0.018597194388777556,0.0699025066338584
0.018757515030060123,0.0699012270412055
0.018917835671342687,0.06989993647678343
0.01907815631262525,0.06989863494089629
0.019238476953907818,0.0698973224338506
0.019398797595190382,0.06989599895595551
0.01955911823647295,0.06989466450752285
0.019719438877755513,0.06989331908886687
0.019879759519038077,0.0698919627003045
0.020040080160320644,0.06989059534215528
0.020200400801603208,0.06988921701474127
0.020360721442885775,0.06988782771838713
0.02052104208416834,0.06988642745342014
0.020681362725450902,0.06988501622017008
0.02084168336673347,0.06988359401896944
0.021002004008016033,0.06988216085015317
0.0211623246492986,0.06988071671405885
0.021322645290581164,0.06987926161102671
0.021482965931863728,0.06987779554139943
0.021643286573146295,0.06987631850552235
0.02180360721442886,0.06987483050374342
0.021963927855711426,0.06987333153641312
0.02212424849699399,0.06987182160388457
0.022284569138276554,0.06987030070651333
0.02244488977955912,0.06986876884465776
0.022605210420841685,0.06986722601867862
0.022765531062124252,0.06986567222893933
0.022925851703406816,0.06986410747580589
0.02308617234468938,0.06986253175964685
0.023246492985971947,0.06986094508083343
0.02340681362725451,0.06985934743973929
