time_ns,front_position_mm,front_position_cm
0.03,0.0,0.0
0.09061224489795919,0.0,0.0
0.15122448979591838,0.016722408026755852,0.0016722408026755853
0.21180298118484442,0.033444816053511704,0.0033444816053511705
0.2724489795918367,0.05016722408026756,0.005016722408026756
0.3330612244897959,0.08361204013377926,0.008361204013377926
0.3936734693877551,0.13377926421404682,0.013377926421404682
0.454242828456699,0.18394648829431437,0.018394648829431436
0.514885851245901,0.23411371237458192,0.023411371237458192
0.5755102040816327,0.2842809364548495,0.028428093645484948
0.6361224489795918,0.3511705685618729,0.03511705685618729
0.696734693877551,0.4180602006688963,0.04180602006688963
0.7573469387755102,0.46822742474916385,0.046822742474916385
0.8179591836734694,0.5351170568561873,0.05351170568561873
0.8785519565670897,0.6020066889632107,0.06020066889632107
0.9391475006861364,0.6521739130434783,0.06521739130434782
0.9997767553388966,0.7190635451505016,0.07190635451505016
1.060403779739938,0.7859531772575251,0.07859531772575251
1.1209803811390535,0.8361204013377926,0.08361204013377926
1.1816199459175087,0.903010033444816,0.0903010033444816
1.242232903617505,0.9531772575250835,0.09531772575250835
1.302857142857143,1.0033444816053512,0.10033444816053512
1.3634026799118353,1.0702341137123745,0.10702341137123746
1.4240725256796076,1.120401337792642,0.11204013377926421
1.4846938775510203,1.1705685618729096,0.11705685618729096
1.5453061224489795,1.2374581939799332,0.12374581939799331
1.6059142636775465,1.2876254180602007,0.12876254180602006
1.666530612244898,1.3377926421404682,0.13377926421404682
1.7271058414473344,1.3879598662207357,0.13879598662207357
1.7877551020408164,1.4381270903010033,0.14381270903010032
1.8483673469387751,1.4882943143812708,0.14882943143812707
1.9089526473718046,1.5384615384615385,0.15384615384615385
1.9695918367346936,1.605351170568562,0.1605351170568562
2.0302022818100376,1.6555183946488294,0.16555183946488294
2.090816326530612,1.705685618729097,0.1705685618729097
2.151417497699901,1.7558528428093645,0.17558528428093645
2.2120408163265304,1.806020066889632,0.1806020066889632
2.27265306122449,1.8561872909698995,0.18561872909698995
2.333265306122449,1.8896321070234112,0.18896321070234112
2.3938095541066002,1.939799331103679,0.1939799331103679
2.4544897959183674,1.9899665551839465,0.19899665551839466
2.5151020408163265,2.040133779264214,0.2040133779264214
2.575648912591197,2.0903010033444818,0.20903010033444816
2.6363265306122448,2.140468227424749,0.2140468227424749
2.6969387755102043,2.190635451505017,0.21906354515050167
2.7575510204081635,2.2240802675585285,0.22240802675585283
2.8181286022466367,2.274247491638796,0.22742474916387959
2.8787755102040813,2.3244147157190636,0.23244147157190634
2.939387755102041,2.3745819397993313,0.23745819397993312
3.0,2.408026755852843,0.2408026755852843
