r_cm,zF_cm_t0.5ns,zF_cm_t1.0ns,zF_cm_t1.3ns
0.0,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.0005263157894736842,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.0010526315789473684,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.0015789473684210526,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.002105263157894737,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.002631578947368421,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.003157894736842105,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.0036842105263157894,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.004210526315789474,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.004736842105263157,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.005263157894736842,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.005789473684210527,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.00631578947368421,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.006842105263157894,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.007368421052631579,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.007894736842105263,0.004736842105263157,0.011052631578947368,0.014210526315789474
0.008421052631578947,0.003157894736842105,0.011052631578947368,0.014210526315789474
0.008947368421052631,0.003157894736842105,0.011052631578947368,0.014210526315789474
0.009473684210526315,0.003157894736842105,0.011052631578947368,0.014210526315789474
0.01,0.003157894736842105,0.009473684210526315,0.014210526315789474
0.010000833333333334,0.0,0.0,0.0
0.010001833931069019,0.0,0.0,0.0
0.010003035366063406,0.003157894736842105,0.0,0.0
0.010004477949825353,0.003157894736842105,0.0,0.0
0.010006210085080241,0.003157894736842105,0.0,0.0
0.010008289889816968,0.0,0.0,0.0
0.01001078714730925,0.0,0.0,0.0
0.010013785647539887,0.0,0.0,0.0
0.010017385998589355,0.0015789473684210526,0.0,0.0
0.010021709002318677,0.0015789473684210526,0.0,0.0
0.010026899707610172,0.0015789473684210526,0.0,0.0
0.010033132277163702,0.0,0.0,0.0
0.010040615831143011,0.0,0.0,0.0
0.010049601463742891,0.0,0.0,0.0
0.010060390668102649,0.0,0.0015789473684210526,0.0
0.010073345452245298,0.0,0.0,0.0
0.010088900485460595,0.0,0.0,0.0
0.010107577682677057,0.0,0.0,0.0
0.010130003716169523,0.0,0.0,0.0
0.010156931042169054,0.0,0.0,0.0
0.010189263147876847,0.0,0.0,0.0
0.010228084865990195,0.0,0.0,0.0
0.010274698773877702,0.0,0.0,0.0
0.010330668898698065,0.0,0.0,0.0
0.010397873194891528,0.0,0.0,0.0
0.010478566554810852,0.0,0.0,0.0
0.01057545646667489,0.0,0.0,0.0
0.010691793858381055,0.0,0.0,0.0
0.01083148217524098,0.0,0.0,0.0
0.010999208351502887,0.0,0.0,0.0
0.01120060007012206,0.0,0.0,0.0
0.011442414587285154,0.0,0.0,0.0
0.011732765457279927,0.0,0.0,0.0
0.0120813947649648,0.0,0.0,0.0
0.0125,0.0,0.0,0.0
