r_cm,r_mm,T_hev_z0.2mm,flux_raw_z0.2mm,flux_norm_z0.2mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z0.8mm,flux_raw_z0.8mm,flux_norm_z0.8mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.0,0.0,1.4753546367421622,4.874653729618555e+20,1.0,0.9037914974330891,6.8648503243831706e+19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00016032064128256515,0.0016032064128256515,1.4753540285055915,4.874645691033769e+20,0.9999983509423989,0.9037850282179414,6.864653775878298e+19,0.9999713688579379,0.0,0.0,0.0,0.0,0.0,0.0
0.0003206412825651303,0.003206412825651303,1.4753522037795008,4.874621575122601e+20,0.9999934037374268,0.9037656195053699,6.864064123267764e+19,0.9998854743980923,0.0,0.0,0.0,0.0,0.0,0.0
0.0004809619238476954,0.0048096192384769546,1.4753491625147535,4.874581381414617e+20,0.9999851582885778,0.9037332680933725,6.863081345262342e+19,0.99974231351927,0.0,0.0,0.0,0.0,0.0,0.0
0.0006412825651302606,0.006412825651302606,1.4753449046294496,4.874525109125715e+20,0.9999736144349991,0.9036879686431926,6.86170540637417e+19,0.9995418810519684,0.0,0.0,0.0,0.0,0.0,0.0
0.0008016032064128258,0.008016032064128258,1.4753394300089226,4.8744527571581174e+20,0.9999587719514893,0.903629713676211,6.859936256908761e+19,0.9992841697572115,0.0,0.0,0.0,0.0,0.0,0.0
0.0009619238476953908,0.009619238476953909,1.4753327385057304,4.8743643241003024e+20,0.999940630548485,0.9035584935695635,6.857773832953015e+19,0.9989691703248036,0.0,0.0,0.0,0.0,0.0,0.0
0.001122244488977956,0.01122244488977956,1.4753248299396453,4.8742598082269446e+20,0.9999191898720483,0.9034742965505064,6.8552180563601056e+19,0.9985968713711277,0.0,0.0,0.0,0.0,0.0,0.0
0.0012825651302605212,0.012825651302605212,1.4753157040976412,4.874139207498826e+20,0.9998944495038482,0.9033771086895239,6.852268834731244e+19,0.9981672594364893,0.0,0.0,0.0,0.0,0.0,0.0
0.0014428857715430862,0.014428857715430862,1.4753053607338795,4.874002519562744e+20,0.9998664089611423,0.9032669138921461,6.848926061393592e+19,0.9976803189818987,0.0,0.0,0.0,0.0,0.0,0.0
0.0016032064128256515,0.016032064128256515,1.4752937995696922,4.873849741751411e+20,0.9998350676967558,0.9031436938894895,6.845189615375072e+19,0.9971360323854016,0.0,0.0,0.0,0.0,0.0,0.0
0.0017635270541082166,0.017635270541082167,1.4752810202935622,4.8736808710833144e+20,0.9998004250990528,0.9030074282274951,6.8410593613755654e+19,0.9965343799378841,0.0,0.0,0.0,0.0,0.0,0.0
0.0019238476953907816,0.019238476953907818,1.4752670225611018,4.8734959042625746e+20,0.9997624804919074,0.9028580942548606,6.8365351497348596e+19,0.9958753398384028,0.0,0.0,0.0,0.0,0.0,0.0
0.0020841683366733467,0.020841683366733466,1.4752518059950301,4.873294837678819e+20,0.9997212331346781,0.9026956671096362,6.831616816396855e+19,0.9951588881889712,0.0,0.0,0.0,0.0,0.0,0.0
0.002244488977955912,0.02244488977955912,1.4752353701851453,4.873077667406968e+20,0.9996766822221627,0.902520119704478,6.826304182870325e+19,0.994384998988844,0.0,0.0,0.0,0.0,0.0,0.0
0.0024048096192384773,0.024048096192384773,1.4752177146882974,4.872844389207087e+20,0.9996288268845693,0.9023314227105396,6.820597056186212e+19,0.9935536441282957,0.0,0.0,0.0,0.0,0.0,0.0
0.0025651302605210423,0.025651302605210424,1.4751988390283581,4.872594998524171e+20,0.9995776661874719,0.9021295445399803,6.814495228851398e+19,0.9926647933818867,0.0,0.0,0.0,0.0,0.0,0.0
0.0027254509018036074,0.027254509018036076,1.4751787426961862,4.8723294904879265e+20,0.9995231991317647,0.9019144513270467,6.807998478798306e+19,0.991718414401122,0.0,0.0,0.0,0.0,0.0,0.0
