r_cm,r_mm,T_hev_z0.2mm,flux_raw_z0.2mm,flux_norm_z0.2mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z0.8mm,flux_raw_z0.8mm,flux_norm_z0.8mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.0,0.0,1.5008562471831413,5.22052832563857e+20,1.0,1.3573331126273511,3.492238077689369e+20,1.0,1.1280560417479188,1.666022149618597e+20,1.0,0.0,0.0,0.0
0.00016032064128256515,0.0016032064128256515,1.500856041746213,5.220525467299311e+20,0.9999994524808448,1.3573325337797058,3.492232120500301e+20,0.9999982941629592,1.1280544099384282,1.666012509583862e+20,0.9999942137415537,0.0,0.0,0.0
0.0003206412825651303,0.003206412825651303,1.500855425431735,5.220516892237196e+20,0.9999978099148858,1.3573307972229365,3.492214248836461e+20,0.9999931766241653,1.1280495144369014,1.665983589299095e+20,0.9999768548578357,0.0,0.0,0.0
0.0004809619238476954,0.0048096192384769546,1.5008543982286309,5.220502600319238e+20,0.9999950722766495,1.357327902915542,3.492184462407936e+20,0.9999846473006021,1.1280413550241584,1.6659353882225692e+20,0.999947923023684,0.0,0.0,0.0
0.0006412825651302606,0.006412825651302606,1.5008529601184373,5.220482591323766e+20,0.9999912395236744,1.3573238507883514,3.4921427607315264e+20,0.9999727060539052,1.1280299313348678,1.6658679054513832e+20,0.9999074176971483,0.0,0.0,0.0
0.0008016032064128258,0.008016032064128258,1.5008511110753058,5.220456864940445e+20,0.9999863115965152,1.3573186407445186,3.492089143130726e+20,0.9999573526903579,1.1280152428574963,1.665781139721407e+20,0.9998553381194571,0.0,0.0,0.0
0.0009619238476953908,0.009619238476953909,1.500848851066,5.220425420770244e+20,0.9999802884187371,1.3573122726595181,3.492023608735703e+20,0.9999385869608843,1.1279972889342371,1.6656750894072047e+20,0.9997916833149717,0.0,0.0,0.0
0.001122244488977956,0.01122244488977956,1.5008461800498956,5.220388258325436e+20,0.9999731698969152,1.3573047463811345,3.4919461564832416e+20,0.9999164085610336,1.1279760687609204,1.6655497525219433e+20,0.9997164520911311,0.0,0.0,0.0
0.0012825651302605212,0.012825651302605212,1.5008430979789764,5.220345377029564e+20,0.9999649559206283,1.3572960617294558,3.491856785116732e+20,0.9998908171309759,1.1279515813869028,1.665405126717281e+20,0.9996296430383851,0.0,0.0,0.0
0.0014428857715430862,0.014428857715430862,1.5008396047978352,5.2202967762174424e+20,0.999955646362459,1.35728621849686,3.491755493186093e+20,0.999861812255482,1.1279238257149382,1.6652412092832403e+20,0.999531254530118,0.0,0.0,0.0
