r_cm,r_mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.0,0.0,0.0,0.0,0.0
0.00016032064128256515,0.0016032064128256515,0.0,0.0,0.0
0.0003206412825651303,0.003206412825651303,0.0,0.0,0.0
0.0004809619238476954,0.0048096192384769546,0.0,0.0,0.0
0.0006412825651302606,0.006412825651302606,0.0,0.0,0.0
0.0008016032064128258,0.008016032064128258,0.0,0.0,0.0
0.0009619238476953908,0.009619238476953909,0.0,0.0,0.0
0.001122244488977956,0.01122244488977956,0.0,0.0,0.0
0.0012825651302605212,0.012825651302605212,0.0,0.0,0.0
0.0014428857715430862,0.014428857715430862,0.0,0.0,0.0
0.0016032064128256515,0.016032064128256515,0.0,0.0,0.0
0.0017635270541082166,0.017635270541082167,0.0,0.0,0.0
0.0019238476953907816,0.019238476953907818,0.0,0.0,0.0
0.0020841683366733467,0.020841683366733466,0.0,0.0,0.0
0.002244488977955912,0.02244488977955912,0.0,0.0,0.0
0.0024048096192384773,0.024048096192384773,0.0,0.0,0.0
0.0025651302605210423,0.025651302605210424,0.0,0.0,0.0
0.0027254509018036074,0.027254509018036076,0.0,0.0,0.0
0.0028857715430861725,0.028857715430861724,0.0,0.0,0.0
0.003046092184368738,0.03046092184368738,0.0,0.0,0.0
0.003206412825651303,0.03206412825651303,0.0,0.0,0.0
0.003366733466933868,0.03366733466933868,0.0,0.0,0.0
0.003527054108216433,0.03527054108216433,0.0,0.0,0.0
0.0036873747494989982,0.036873747494989985,0.0,0.0,0.0
0.0038476953907815633,0.038476953907815636,0.0,0.0,0.0
0.004008016032064129,0.04008016032064129,0.0,0.0,0.0
0.004168336673346693,0.04168336673346693,0.0,0.0,0.0
0.004328657314629259,0.04328657314629259,0.0,0.0,0.0
0.004488977955911824,0.04488977955911824,0.0,0.0,0.0
0.004649298597194389,0.04649298597194389,0.0,0.0,0.0
0.0048096192384769546,0.048096192384769546,0.0,0.0,0.0
0.004969939879759519,0.04969939879759519,0.0,0.0,0.0
0.005130260521042085,0.05130260521042085,0.0,0.0,0.0
0.00529058116232465,0.0529058116232465,0.0,0.0,0.0
0.005450901803607215,0.05450901803607215,0.0,0.0,0.0
0.00561122244488978,0.0561122244488978,0.0,0.0,0.0
0.005771543086172345,0.05771543086172345,0.0,0.0,0.0
0.0059318637274549104,0.059318637274549106,0.0,0.0,0.0
0.006092184368737476,0.06092184368737476,0.0,0.0,0.0
0.006252505010020041,0.0625250501002004,0.0,0.0,0.0
0.006412825651302606,0.06412825651302606,0.0,0.0,0.0
0.006573146292585171,0.0657314629258517,0.0,0.0,0.0
0.006733466933867736,0.06733466933867736,0.0,0.0,0.0
0.006893787575150302,0.06893787575150302,0.0,0.0,0.0
0.007054108216432866,0.07054108216432867,0.0,0.0,0.0
0.007214428857715432,0.07214428857715433,0.0,0.0,0.0
0.0073747494989979965,0.07374749498997997,0.0,0.0,0.0
0.007535070140280562,0.07535070140280561,0.0,0.0,0.0
0.007695390781563127,0.07695390781563127,0.0,0.0,0.0
0.007855711422845692,0.07855711422845692,0.0,0.0,0.0
0.008016032064128258,0.08016032064128258,0.0,0.0,0.0
0.008176352705410823,0.08176352705410823,0.0,0.0,0.0
0.008336673346693387,0.08336673346693386,0.0,0.0,0.0
0.008496993987975952,0.08496993987975952,0.0,0.0,0.0
0.008657314629258518,0.08657314629258518,0.0,0.0,0.0
0.008817635270541083,0.08817635270541083,0.0,0.0,0.0
0.008977955911823649,0.08977955911823648,0.0,0.0,0.0
0.009138276553106213,0.09138276553106213,0.0,0.0,0.0
0.009298597194388778,0.09298597194388777,0.0,0.0,0.0
0.009458917835671344,0.09458917835671343,0.0,0.0,0.0
0.009619238476953909,0.09619238476953909,0.0,0.0,0.0
0.009779559118236475,0.09779559118236475,0.0,0.0,0.0
0.009939879759519038,0.09939879759519038,0.0,0.0,0.0
0.010100200400801604,0.10100200400801604,0.0,0.0,0.0
0.01026052104208417,0.1026052104208417,0.0,0.0,0.0
0.010420841683366735,0.10420841683366736,0.0,0.0,0.0
0.0105811623246493,0.105811623246493,0.0,0.0,0.0
0.010741482965931864,0.10741482965931864,0.0,0.0,0.0
0.01090180360721443,0.1090180360721443,0.0,0.0,0.0
0.011062124248496995,0.11062124248496995,0.0,0.0,0.0
0.01122244488977956,0.1122244488977956,0.0,0.0,0.0
0.011382765531062126,0.11382765531062126,0.0,0.0,0.0
0.01154308617234469,0.1154308617234469,0.0,0.0,0.0
0.011703406813627255,0.11703406813627255,0.0,0.0,0.0
0.011863727454909821,0.11863727454909821,0.0,0.0,0.0
0.012024048096192386,0.12024048096192386,0.0,0.0,0.0
0.012184368737474952,0.12184368737474952,0.0,0.0,0.0
0.012344689378757516,0.12344689378757516,0.0,0.0,0.0
0.012505010020040081,0.1250501002004008,0.0,0.0,0.0
0.012665330661322647,0.12665330661322646,0.0,0.0,0.0
0.012825651302605212,0.12825651302605212,0.0,0.0,0.0
0.012985971943887778,0.12985971943887778,0.0,0.0,0.0
0.013146292585170341,0.1314629258517034,0.0,0.0,0.0
0.013306613226452907,0.13306613226452907,0.0,0.0,0.0
0.013466933867735472,0.13466933867735473,0.0,0.0,0.0
0.013627254509018038,0.13627254509018039,0.0,0.0,0.0
0.013787575150300603,0.13787575150300604,0.0,0.0,0.0
0.013947895791583167,0.13947895791583168,0.0,0.0,0.0
0.014108216432865733,0.14108216432865733,0.0,0.0,0.0
0.014268537074148298,0.142685370741483,0.0,0.0,0.0
0.014428857715430864,0.14428857715430865,0.0,0.0,0.0
0.01458917835671343,0.14589178356713428,0.0,0.0,0.0
0.014749498997995993,0.14749498997995994,0.0,0.0,0.0
0.014909819639278558,0.1490981963927856,0.0,0.0,0.0
0.015070140280561124,0.15070140280561123,0.0,0.0,0.0
0.01523046092184369,0.1523046092184369,0.0,0.0,0.0
0.015390781563126253,0.15390781563126255,0.0,0.0,0.0
0.015551102204408819,0.15551102204408818,0.0,0.0,0.0
0.015711422845691384,0.15711422845691383,0.0,0.0,0.0
0.015871743486973948,0.1587174348697395,0.0,0.0,0.0
0.016032064128256515,0.16032064128256515,0.0,0.0,0.0
0.01619238476953908,0.16192384769539078,0.0,0.0,0.0
0.016352705410821646,0.16352705410821647,0.0,0.0,0.0
0.01651302605210421,0.1651302605210421,0.0,0.0,0.0
0.016673346693386774,0.16673346693386773,0.0,0.0,0.0
0.01683366733466934,0.16833667334669342,0.0,0.0,0.0
0.016993987975951905,0.16993987975951905,0.0,0.0,0.0
0.017154308617234472,0.1715430861723447,0.0,0.0,0.0
0.017314629258517036,0.17314629258517036,0.0,0.0,0.0
0.0174749498997996,0.174749498997996,0.0,0.0,0.0
0.017635270541082167,0.17635270541082165,0.0,0.0,0.0
0.01779559118236473,0.1779559118236473,0.0,0.0,0.0
0.017955911823647298,0.17955911823647297,0.0,0.0,0.0
0.01811623246492986,0.1811623246492986,0.0,0.0,0.0
0.018276553106212425,0.18276553106212426,0.0,0.0,0.0
0.018436873747494992,0.18436873747494992,0.0,0.0,0.0
0.018597194388777556,0.18597194388777555,0.0,0.0,0.0
0.018757515030060123,0.18757515030060123,0.0,0.0,0.0
0.018917835671342687,0.18917835671342687,0.0,0.0,0.0
0.01907815631262525,0.1907815631262525,0.0,0.0,0.0
0.019238476953907818,0.19238476953907818,0.0,0.0,0.0
0.019398797595190382,0.1939879759519038,0.0,0.0,0.0
0.01955911823647295,0.1955911823647295,0.0,0.0,0.0
0.019719438877755513,0.19719438877755513,0.0,0.0,0.0
0.019879759519038077,0.19879759519038076,0.0,0.0,0.0
0.020040080160320644,0.20040080160320645,0.0,0.0,0.0
0.020200400801603208,0.20200400801603208,0.0,0.0,0.0
0.020360721442885775,0.20360721442885776,0.0,0.0,0.0
0.02052104208416834,0.2052104208416834,0.0,0.0,0.0
0.020681362725450902,0.20681362725450902,0.0,0.0,0.0
0.02084168336673347,0.2084168336673347,0.0,0.0,0.0
0.021002004008016033,0.21002004008016034,0.0,0.0,0.0
0.0211623246492986,0.211623246492986,0.0,0.0,0.0
0.021322645290581164,0.21322645290581166,0.0,0.0,0.0
0.021482965931863728,0.2148296593186373,0.0,0.0,0.0
0.021643286573146295,0.21643286573146295,0.0,0.0,0.0
0.02180360721442886,0.2180360721442886,0.0,0.0,0.0
0.021963927855711426,0.21963927855711426,0.0,0.0,0.0
0.02212424849699399,0.2212424849699399,0.0,0.0,0.0
0.022284569138276554,0.22284569138276555,0.0,0.0,0.0
0.02244488977955912,0.2244488977955912,0.0,0.0,0.0
0.022605210420841685,0.22605210420841684,0.0,0.0,0.0
0.022765531062124252,0.22765531062124253,0.0,0.0,0.0
0.022925851703406816,0.22925851703406816,0.0,0.0,0.0
0.02308617234468938,0.2308617234468938,0.0,0.0,0.0
0.023246492985971947,0.23246492985971948,0.0,0.0,0.0
0.02340681362725451,0.2340681362725451,0.0,0.0,0.0
0.023567134268537078,0.23567134268537077,0.0,0.0,0.0
0.023727454909819642,0.23727454909819642,0.0,0.0,0.0
0.023887775551102206,0.23887775551102206,0.0,0.0,0.0
0.024048096192384773,0.2404809619238477,0.0,0.0,0.0
0.024208416833667337,0.24208416833667337,0.0,0.0,0.0
0.024368737474949904,0.24368737474949903,0.0,0.0,0.0
0.024529058116232468,0.24529058116232466,0.0,0.0,0.0
0.02468937875751503,0.24689378757515032,0.0,0.0,0.0
0.0248496993987976,0.24849699398797598,0.0,0.0,0.0
0.025010020040080162,0.2501002004008016,0.0,0.0,0.0
0.02517034068136273,0.2517034068136273,0.0,0.0,0.0
0.025330661322645293,0.2533066132264529,0.0,0.0,0.0
0.025490981963927857,0.25490981963927856,0.0,0.0,0.0
0.025651302605210424,0.25651302605210424,0.0,0.0,0.0
0.025811623246492988,0.2581162324649299,0.0,0.0,0.0
0.025971943887775555,0.25971943887775556,0.0,0.0,0.0
0.02613226452905812,0.2613226452905812,0.0,0.0,0.0
