time_ns,front_r_mm,front_r_cm
0.02917913868231899,0.7836734693877551,0.0783673469387755
0.09061224489795919,0.7836734693877551,0.0783673469387755
0.15122448979591838,0.7836734693877551,0.0783673469387755
0.21183673469387754,0.7836734693877551,0.0783673469387755
0.2724489795918367,0.7836734693877551,0.0783673469387755
0.3330612244897959,0.7836734693877551,0.0783673469387755
0.3936734693877551,0.7836734693877551,0.0783673469387755
0.4542857142857143,0.7836734693877551,0.0783673469387755
0.5146343829867664,0.7836734693877551,0.0783673469387755
0.5754060728152525,0.7836734693877551,0.0783673469387755
0.6361224489795918,0.7836734693877551,0.0783673469387755
0.696734693877551,0.7836734693877551,0.0783673469387755
0.7573469387755102,0.7836734693877551,0.0783673469387755
0.8179591836734694,0.7836734693877551,0.0783673469387755
0.8785714285714287,0.7836734693877551,0.0783673469387755
0.9391836734693877,0.7836734693877551,0.0783673469387755
0.9997959183673469,0.7836734693877551,0.0783673469387755
1.0604081632653062,0.7836734693877551,0.0783673469387755
1.1208004100296587,0.7836734693877551,0.0783673469387755
1.1816326530612244,0.7836734693877551,0.0783673469387755
1.2422333795470328,0.7836734693877551,0.0783673469387755
1.3028376085241287,0.7836734693877551,0.0783673469387755
1.3633435288901339,0.7836734693877551,0.0783673469387755
1.4239694680722552,0.7836734693877551,0.0783673469387755
1.4846938775510203,0.7836734693877551,0.0783673469387755
1.5453061224489795,0.7836734693877551,0.0783673469387755
1.6059183673469386,0.7836734693877551,0.0783673469387755
1.666294450646955,0.7836734693877551,0.0783673469387755
1.7271180273846924,0.7836734693877551,0.0783673469387755
1.787584703346072,0.7836734693877551,0.0783673469387755
1.8483673469387751,0.7836734693877551,0.0783673469387755
1.9089795918367345,0.7836734693877551,0.0783673469387755
1.9694885704390228,0.7836734693877551,0.0783673469387755
2.0298624792231,0.7836734693877551,0.0783673469387755
2.0907889318733672,0.7836734693877551,0.0783673469387755
2.151039164032631,0.7836734693877551,0.0783673469387755
2.2120408163265304,0.7836734693877551,0.0783673469387755
2.2725682903220616,0.7836734693877551,0.0783673469387755
2.333265306122449,0.7836734693877551,0.0783673469387755
2.3938775510204082,0.7836734693877551,0.0783673469387755
2.454449722266098,0.7836734693877551,0.0783673469387755
2.5146300351593616,0.7836734693877551,0.0783673469387755
2.5753976106312564,0.7836734693877551,0.0783673469387755
2.6359028326441742,0.7836734693877551,0.0783673469387755
2.6969387755102043,0.7836734693877551,0.0783673469387755
2.7575510204081635,0.7836734693877551,0.0783673469387755
2.818163265306122,0.7836734693877551,0.0783673469387755
2.8782091374696748,0.7836734693877551,0.0783673469387755
2.939387755102041,0.7836734693877551,0.0783673469387755
3.0,0.7836734693877551,0.0783673469387755
