index,x,y
0,0.048178613,85.25179856
1,0.0693302,90.28776978
2,0.079905993,92.08633094
3,0.101057579,94.24460432
4,0.115158637,97.48201439
5,0.143360752,100.7194245
6,0.146886016,105.7553957
7,0.160987074,107.9136691
8,0.178613396,110.4316547
9,0.185663925,112.5899281
10,0.206815511,119.4244604
11,0.224441833,123.7410072
12,0.238542891,128.057554
13,0.263219741,131.6546763
14,0.287896592,136.3309353
15,0.312573443,139.9280576
16,0.333725029,142.4460432
17,0.351351351,144.9640288
18,0.39012926,147.1223022
19,0.41480611,150.3597122
20,0.464159812,153.5971223
21,0.488836663,156.4748201
22,0.499412456,159.352518
23,0.524089307,159.352518
24,0.548766157,160.4316547
25,0.59106933,161.1510791
26,0.608695652,165.4676259
27,0.62279671,167.6258993
28,0.658049354,167.6258993
29,0.703877791,169.0647482
30,0.71092832,170.8633094
31,0.73560517,174.1007194
32,0.774383079,175.1798561
33,0.795534665,175.5395683
34,0.834312573,176.9784173
35,0.876615746,178.7769784
36,0.922444183,181.294964
37,0.964747356,183.0935252
38,1,185.971223
39,1.049353702,188.1294964
40,1.084606345,189.9280576
41,1.126909518,190.647482
42,1.186839013,191.3669065
43,1.243243243,189.9280576
44,1.292596945,189.2086331
45,1.345475911,187.4100719
46,1.394829612,186.3309353
47,1.451233843,185.971223
48,1.507638073,184.8920863
49,1.578143361,184.5323741
50,1.606345476,182.3741007
51,1.662749706,182.7338129
52,1.722679201,182.0143885
53,1.78613396,181.294964
54,1.860164512,178.7769784
55,1.895417156,175.5395683
56,1.923619271,178.057554
57,1.965922444,176.618705
58,2.01880141,175.8992806
59,2.061104583,175.8992806
60,2.117508813,175.8992806
61,2.156286722,175.5395683
62,2.205640423,176.2589928
63,2.262044653,175.8992806
64,2.300822562,173.7410072
65,2.336075206,173.381295
66,2.385428907,171.942446
67,2.448883666,171.942446
68,2.494712103,168.3453237
69,2.526439483,165.4676259
70,2.579318449,163.3093525
71,2.635722679,158.6330935
72,2.702702703,159.352518
73,2.74853114,156.1151079
74,2.780258519,152.5179856
75,2.826086957,154.3165468
76,2.857814336,154.676259
77,2.889541716,152.1582734
78,2.94947121,150.3597122
79,3.005875441,148.2014388
80,3.041128085,147.1223022
81,3.083431257,147.4820144
82,3.115158637,146.4028777
83,3.146886016,144.6043165
84,3.192714454,143.1654676
85,3.227967098,142.0863309
86,3.256169213,143.1654676
87,3.287896592,142.0863309
88,3.333725029,141.7266187
89,3.35840188,141.0071942
90,3.435957697,139.5683453
91,3.509988249,137.7697842
92,3.545240893,138.4892086
93,3.594594595,138.4892086
94,3.633372503,135.6115108
95,3.696827262,135.2517986
96,3.763807286,133.8129496
97,3.795534665,132.7338129
98,3.837837838,132.0143885
99,3.880141011,132.7338129
100,3.890716804,133.4532374
101,3.922444183,132.3741007
102,3.954171563,129.8561151
103,3.971797885,129.4964029
104,4,130.2158273
