time_ns,front_position_mm,front_position_cm
0.0131,0.0,0.0
0.03933756089026805,0.0,0.0
0.0657184851485938,0.0,0.0
0.09250204081632653,0.0,0.0
0.11896938775510202,0.0,0.0
0.14543673469387755,0.0,0.0
0.17175053275458965,0.0,0.0
0.1983714285714286,0.015789473684210527,0.0015789473684210526
0.2248387755102041,0.015789473684210527,0.0015789473684210526
0.25130440149882405,0.015789473684210527,0.0015789473684210526
0.27775445877416605,0.015789473684210527,0.0015789473684210526
0.3042408163265306,0.015789473684210527,0.0015789473684210526
0.33070816326530605,0.015789473684210527,0.0015789473684210526
0.3571645664726826,0.031578947368421054,0.003157894736842105
0.3836428571428572,0.031578947368421054,0.003157894736842105
0.41002370115030534,0.031578947368421054,0.003157894736842105
0.4365775510204082,0.031578947368421054,0.003157894736842105
0.4630448979591837,0.031578947368421054,0.003157894736842105
0.48944243656741765,0.047368421052631574,0.004736842105263157
0.5159795918367347,0.047368421052631574,0.004736842105263157
0.5422147149730419,0.047368421052631574,0.004736842105263157
0.5688794083007758,0.047368421052631574,0.004736842105263157
0.5953667519332455,0.047368421052631574,0.004736842105263157
0.6217765413838989,0.06315789473684211,0.00631578947368421
0.6483148668034941,0.06315789473684211,0.00631578947368421
0.6747836734693877,0.06315789473684211,0.00631578947368421
0.7012510204081632,0.06315789473684211,0.00631578947368421
0.7277124493309446,0.06315789473684211,0.00631578947368421
0.7541853457793547,0.07894736842105263,0.007894736842105263
0.7805773168034719,0.07894736842105263,0.007894736842105263
0.8071204081632652,0.07894736842105263,0.007894736842105263
0.8335816189822283,0.07894736842105263,0.007894736842105263
0.8600551020408163,0.07894736842105263,0.007894736842105263
0.8864248750808563,0.09473684210526315,0.009473684210526315
0.9129897959183675,0.09473684210526315,0.009473684210526315
0.9394571428571427,0.09473684210526315,0.009473684210526315
0.9658097709762731,0.09473684210526315,0.009473684210526315
0.9923248785088661,0.09473684210526315,0.009473684210526315
1.0188067097713718,0.09473684210526315,0.009473684210526315
1.045326530612245,0.11052631578947368,0.011052631578947368
1.071721004388749,0.11052631578947368,0.011052631578947368
1.0982612244897958,0.11052631578947368,0.011052631578947368
1.1246968080921462,0.11052631578947368,0.011052631578947368
1.151187988936935,0.11052631578947368,0.011052631578947368
1.1776632653061223,0.11052631578947368,0.011052631578947368
1.2040987771810325,0.12631578947368421,0.01263157894736842
1.2305655345403752,0.12631578947368421,0.01263157894736842
1.2570653061224488,0.12631578947368421,0.01263157894736842
1.2835296333222228,0.12631578947368421,0.01263157894736842
1.31,0.12631578947368421,0.01263157894736842
