time_ns,E_marshak_hJ,E_foam_gold_loss_hJ,E_wall_gold_loss_hJ,E_foam_gold_loss_lam_eff_hJ,E_wall_gold_loss_lam_eff_hJ,E_foam_gold_loss_lam_eff_power_1_hJ,E_wall_gold_loss_lam_eff_power_1_hJ,E_foam_gold_loss_lam_eff_power_2_hJ,E_wall_gold_loss_lam_eff_power_2_hJ
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012992992992992993,1.1849728874300976e-09,1.1849728874300976e-09,0.0,1.1849728874300976e-09,0.0,1.1849728874300976e-09,0.0,1.1849728874300976e-09,0.0
0.01598598598598599,3.5369065615010556e-09,3.23074074844333e-09,6.123316261154509e-10,2.909839827274255e-09,1.2089807038716963e-09,2.9082251474603207e-09,1.2119702854675457e-09,2.90983109289889e-09,1.208996875864316e-09
0.01897897897897898,5.839480933884243e-09,4.912916328570683e-09,1.253501755027744e-09,4.206144090488689e-09,1.9618994053520656e-09,4.154786251248103e-09,2.047372448536599e-09,4.183289503612657e-09,2.0010839336872728e-09
0.021971971971971975,8.101627471706184e-09,6.615723843248732e-09,1.7737786170946754e-09,5.836476129435082e-09,2.4946875485681415e-09,5.667296989856148e-09,2.695911735852361e-09,5.758872577791385e-09,2.5869666859098104e-09
0.024964964964964968,1.0341850021213198e-08,8.352812883676691e-09,2.322958570041473e-09,7.52133514181423e-09,3.115951919895994e-09,7.208391326848884e-09,3.435876929560697e-09,7.378247429612868e-09,3.262130268657526e-09
0.02795795795795796,1.2559645520580585e-08,1.0054434533673915e-08,2.8760447741534603e-09,9.1355357004494e-09,3.736126605987844e-09,8.67319280329473e-09,4.173690583124014e-09,8.925356788174193e-09,3.934759045238897e-09
0.030950950950950955,1.4759126693598045e-08,1.1742111370166295e-08,3.425678928241355e-09,1.0742664457232623e-08,4.3439787253545215e-09,1.0128781519037177e-08,4.898021214638657e-09,1.0465423976997107e-08,4.593990869989282e-09
0.03394394394394395,1.694192830285966e-08,1.3419888593053443e-08,3.9750174510541935e-09,1.234440103047258e-08,4.9509183781501925e-09,1.1576007333943732e-08,5.6222649519782065e-09,1.1999753362222541e-08,5.251789629240552e-09
0.03693693693693694,1.9109458250892128e-08,1.5086451604852846e-08,4.52458641511286e-09,1.3933301168599059e-08,5.558977809578628e-09,1.30068095025061e-08,6.3477250691002175e-09,1.3520819483010074e-08,5.909954855590645e-09
