time_ns,E_marshak,E_Gold_loss,E_Gold_wall_loss,E_Be_loss,E_Be_wall_loss,E_Vacuum_loss
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.012992992992992993,0.004527470393340742,0.004527470393340742,0.0,0.004527470393340742,0.0,0.004527470393030716
0.01598598598598599,0.013071276004962515,0.013060735317957118,2.1081374010791122e-05,0.012333499127161323,0.0001736513955520768,0.012414505904320701
0.01897897897897898,0.02028082169629888,0.02025116837102007,4.152096856916433e-05,0.01824680037281359,0.0003003414584995883,0.01844003282238985
0.021971971971971975,0.027047744933466414,0.027004852753925758,5.776521573164778e-05,0.024300040728310077,0.000376664501370041,0.02452701182360885
0.024964964964964968,0.033938680718033805,0.03388635137783069,7.368863178306203e-05,0.030849047500504528,0.00045659461444053404,0.031094863039411613
0.02795795795795796,0.04033298681492963,0.04027104912492673,8.952369015818276e-05,0.03681859558427182,0.0005414457652978919,0.03710138948450171
0.030950950950950955,0.04700106485882413,0.046930133184186526,0.00010461504085325886,0.04307330193666829,0.0006207257409458961,0.04339010744561098
0.03394394394394395,0.053970910667086015,0.05389180552469645,0.00011979164855494634,0.04971358189330077,0.0007018081972550668,0.05005630351146041
0.03693693693693694,0.06049833382948276,0.06041116421868257,0.000135215711218468,0.055922884168125776,0.0007870162544524526,0.05629243582513868
0.039929929929929935,0.06668847498799768,0.0665935528791005,0.00015026376061559775,0.06180328139808344,0.0008705552371150405,0.06219970314543023
0.04292292292292293,0.07311684787461478,0.07301484560549201,0.0001648795952057876,0.06796441005991814,0.0009515879962510115,0.06838406330335751
0.04591591591591592,0.07974009414593869,0.07963138765543633,0.00017948541790419265,0.07434931983360012,0.0010338503808449203,0.07479036944630738
0.048908908908908914,0.08604224786334312,0.08592687268382292,0.00019420023579307891,0.08041423777403384,0.0011184326697185885,0.08087730161444152
0.05190190190190191,0.09207692670198653,0.09190371847343182,0.000311400965614021,0.08621645532380959,0.001202539391556694,0.08670107538624712
0.0548948948948949,0.09821340974249075,0.09796921074162564,0.00036886439049043876,0.09214084847702185,0.00128524636043527,0.09264488204895036
0.057887887887887894,0.10444553744056687,0.10419684427139132,0.0003829536927956855,0.09817802911573786,0.0013681343123397923,0.09869999303532902
0.06088088088088089,0.11110738433272094,0.11086220388546766,0.0004267949235846288,0.10465037791814823,0.001451938818848182,0.10519003122775092
0.06387387387387387,0.1181234991248386,0.1178580872850158,0.00046860242917453384,0.11147174721973177,0.0015386633948995608,0.11202971899322477
0.06686686686686687,0.12475704449510977,0.12446971502055049,0.0005093460231384944,0.11789717298878645,0.00162909248842941,0.11847463389425394
0.06985985985985986,0.13157046151238436,0.13126451661045208,0.0005486013942393067,0.12449845947917539,0.0017201858471428463,0.12509528185919855
0.07285285285285285,0.13863098520544748,0.13830890862645423,0.0005869491957080297,0.1313521059084905,0.0018127573937791518,0.13196724832299397
0.07584584584584585,0.14591403444475531,0.14557677637254646,0.0006248256088054645,0.13842801636959928,0.0019076377816523746,0.1390612968254826
0.07883883883883884,0.15338039806458123,0.15295853238405116,0.0008018758103294904,0.14522935450540336,0.0029102171642313135,0.14631172550097588
0.08183183183183183,0.16049007882528885,0.1599640018977488,0.0008991266632462555,0.1515449260738024,0.003395609869327408,0.15317989158352302
0.08482482482482483,0.16786155013581586,0.16732127051396076,0.0009359868306608052,0.15856364575539433,0.003792843590606064,0.1603173539410236
0.08781781781781782,0.17553095127136292,0.17499074925638147,0.0010132405749700727,0.16599607839811797,0.004156451673188826,0.16776300251693824
0.09081081081081081,0.1828809254094468,0.18231130748214627,0.0010869787262428356,0.1730894986371365,0.004504711910776222,0.17488893763611954
0.0938038038038038,0.18994485320236362,0.18934391907823214,0.0011575164053419843,0.17986968209115536,0.004837819442719175,0.18172803037975704
0.0967967967967968,0.19682707209541767,0.1961987481373319,0.0012251732080881894,0.18646687110432567,0.005156312039355131,0.18839194609084622
0.09978978978978979,0.2044117518760453,0.20375935087871178,0.001290357705420016,0.1937794748609189,0.0054621451726956935,0.1957680299707409
0.10278278278278279,0.21260862515820103,0.21184982368537983,0.0015223600066982996,0.20170898272885196,0.005765697074002006,0.20375786179268185
0.10577577577577578,0.2204175498909283,0.21944080994003173,0.0018322868625691502,0.2092377373371954,0.006072980362680471,0.21134818431957034
0.10876876876876877,0.22785516872426953,0.2267509254890437,0.001951801046963072,0.21638537125293075,0.006378600701479734,0.2185576901365964
0.11176176176176177,0.2360707417009631,0.23496775123155278,0.002061882630771901,0.2243171782205795,0.006679157056825506,0.2265474656809362
0.11475475475475476,0.24501787412045217,0.24391713846786456,0.0021676806760794307,0.23298310770087532,0.006982566229537524,0.23526871513325867
0.11774774774774775,0.2544550512575558,0.2533394014854228,0.0022717289625339,0.242124259542412,0.007294131636786387,0.24446719017363436
0.12074074074074075,0.26427874668997303,0.2631149240533973,0.002417994360475227,0.25162925572246053,0.007615667020550688,0.2540332849501024
0.12373373373373374,0.2745144265192585,0.2732790928802086,0.0025622898274942955,0.2615245380919751,0.007947653957559048,0.2639928215930533
0.12672672672672675,0.2851399081445878,0.2838399089626254,0.0027055596499157646,0.27179058014316976,0.008290734234196817,0.2742892213046484
0.12971971971971974,0.2963605544287553,0.29500331817115255,0.002848485978179243,0.28174852939764283,0.010416983605331762,0.2851325778811175
0.13271271271271273,0.3081326738913411,0.3066037258787535,0.003228196832897351,0.2919880277692799,0.011540689379613545,0.2965214163999143
0.13570570570570573,0.319160852349653,0.3174265317543642,0.003474598120149685,0.30231286190977985,0.012517890152697714,0.30715813843965767
0.13869869869869872,0.3295797361453147,0.32779276258982476,0.0036177679184041765,0.31225749555749804,0.013424748037996832,0.3171819349605797
0.1416916916916917,0.3408049041524884,0.3388667426963229,0.004082209771831242,0.3230218008208021,0.01428160725227242,0.328022204731632
0.1446846846846847,0.3528242892785951,0.35070693142790477,0.004284337314646067,0.33454902983982016,0.01511789995870706,0.3396621356286716
0.1476776776776777,0.36428288574438306,0.3620960088963291,0.004568766274609049,0.34547362739138526,0.01595107221115308,0.3507298630800732
0.1506706706706707,0.3752090415215422,0.37292464770918893,0.004837314637562285,0.35584247826548654,0.016771577472443105,0.3612547291705504
0.15366366366366369,0.3858004176158735,0.3834262225700328,0.0050932360578,0.3658846264775662,0.01757355936698815,0.3714484323453171
0.15665665665665668,0.39758937973383784,0.3951350934070231,0.00533880801177931,0.3771469123877871,0.0183563949391603,0.38285063671734115
0.15964964964964967,0.4104469651552633,0.40777376496995626,0.005867372697879903,0.3894837638932922,0.01914080808825241,0.3953217725654318
0.16264264264264267,0.422679216757817,0.41974476723123033,0.0062299165184245015,0.39989049663716886,0.02250079160304402,0.407097380717498
0.16563563563563566,0.43429561996345845,0.43123506841359954,0.006562383896993128,0.4093066595631847,0.024356328176190555,0.41819498986490716
0.16862862862862865,0.4455204530466785,0.4423759486443341,0.0068765698150079066,0.4195819326825329,0.025935067256210323,0.42891835091313896
0.17162162162162165,0.45650111478347716,0.45328073578802014,0.007177150340628307,0.42999606365603193,0.0273865454781058,0.4394253430383846
0.17461461461461464,0.46730705168046366,0.4638555103026511,0.0077783110201262605,0.4402793952682396,0.028759760029333375,0.44977890556280203
0.17760760760760763,0.4788988363980346,0.47501462711711767,0.008500956370731375,0.4513220483284754,0.030075179153792087,0.4609325751329322
0.18060060060060062,0.4911753169476579,0.487024378274041,0.008875688022991093,0.4630168134250426,0.03136171857071425,0.47277385646129516
0.18359359359359362,0.5030188857187441,0.4988331076519974,0.009233448379767355,0.47424188085235286,0.0326374738300814,0.484171651982511
0.1865865865865866,0.5144261420209287,0.5101697788359749,0.009666849378321176,0.48500775784417305,0.03389562940397673,0.4951231954904965
0.1895795795795796,0.5255302304382573,0.521146948794642,0.010079849775351894,0.49547264912073125,0.03513115494067244,0.5057719690403738
0.1925725725725726,0.5364245959965002,0.5319208077740107,0.010476195342814536,0.5057440960633431,0.036342935668598426,0.5162178258750904
0.1955655655655656,0.548732947975622,0.5439527617344916,0.011194300041976097,0.5174494340867539,0.037531928569406056,0.5280277164150287
0.19855855855855858,0.5622961624617507,0.5571953620085258,0.01171114951834234,0.5288692021351528,0.04180509800356989,0.5410371355148401
0.20155155155155158,0.5752349414308954,0.5699692728681562,0.012195719274247473,0.5391801905512492,0.044298521999291234,0.5534171737703788
0.20454454454454457,0.5875301584871508,0.5821463152036291,0.01266083188685995,0.5502821810694531,0.04647558303926733,0.565151265051587
0.20753753753753756,0.5993882656612919,0.5937166043127963,0.013472250600922995,0.5613990504769589,0.04850448414021171,0.5764555344071813
0.21053053053053056,0.6126414320598998,0.6066305610627445,0.01405847685231653,0.5739988166321393,0.050439138997412265,0.5891677557867152
0.21352352352352355,0.6271801761662859,0.6209975015374403,0.01460478128928891,0.5878574887535892,0.05234000420903574,0.6031668557409148
0.21651651651651654,0.6410297269825155,0.6345313737723188,0.01551582807517583,0.6009529502293223,0.054243982915433905,0.6164561629716812
0.21950950950950954,0.654180679913601,0.6473159123520029,0.016191663396374192,0.6132880757919449,0.05613514485733773,0.6290261129061524
0.22250250250250253,0.666855636806632,0.65980132767353,0.01681743465776792,0.6251302824506273,0.058000057798023,0.6410463004631403
0.22549549549549552,0.6792187985782837,0.6720303012985045,0.01741210340938975,0.6366735635619533,0.05983323377967268,0.6527003289136286
0.22848848848848852,0.6913639055087877,0.6838555908034387,0.018382154694521983,0.6461297240126026,0.06542008376860947,0.6641700992118441
0.2314814814814815,0.7053645479496609,0.697478942756662,0.019099797817892717,0.6569290842284643,0.06870329972969125,0.6775304789662434
0.2344744744744745,0.7210194087043537,0.7129384604640803,0.019772006535883967,0.6711839479687263,0.07160133136627982,0.6925548763713428
0.2374674674674675,0.7359193035113922,0.7274830346520564,0.020844734811701324,0.6851771009055647,0.0743881858927111,0.7068011696347408
0.2404604604604605,0.7500253050047968,0.7411763259304858,0.02165945565521778,0.6984172938919816,0.07710588024583398,0.7202270483806462
0.24345345345345348,0.7635811499695966,0.7545121611917067,0.022418816260039057,0.7110712444042827,0.0797586138086614,0.7330956237363415
0.24644644644644648,0.7767742105404303,0.7673284807288823,0.023578654477287686,0.7233401751239715,0.08234814620780996,0.745608248675941
0.24943943943943947,0.7897161631336782,0.7798440370003047,0.024457105445663825,0.7353563267764905,0.08487827199767921,0.7578819053681267
0.25243243243243246,0.8053986134083548,0.7953051205185231,0.02527130959997509,0.7501232865676657,0.08735391911256654,0.7728293400326404
0.25542542542542546,0.8235318742539427,0.8132758846308681,0.026059818628628065,0.7650976672771216,0.09428163634610513,0.7901460256516669
0.25841841841841845,0.8406305525402811,0.8299825728810795,0.0273074260821965,0.7782769099971218,0.09868960322783152,0.8064024580124023
0.26141141141141144,0.8566262489419157,0.845266291605077,0.028753432694344064,0.792359245536094,0.10265082347857982,0.8215331194644057
0.26440440440440444,0.8718589380699859,0.8600232944710532,0.029664893184861006,0.8063280358070427,0.10640427661271327,0.8359009869884494
0.26739739739739743,0.8865971361704534,0.8745627295023398,0.030693752995893296,0.8199572667513727,0.11002221733242895,0.8497902250899633
0.2703903903903904,0.9010047229956296,0.88874062681834,0.03167137890613308,0.8332757627604968,0.11353366560781561,0.8633695011744235
0.2733833833833834,0.9151742697671937,0.9024540493201745,0.03310364614579676,0.846352366028555,0.11695472285941028,0.876730160450404
0.2763763763763764,0.9291571932246199,0.9159215193806538,0.034215524533607204,0.8592418932756286,0.12029674863634127,0.889830124989018
0.2793693693693694,0.9456366795752872,0.9321220536149277,0.03525285708776392,0.8746342744867799,0.12356869074293444,0.9053597193366434
0.2823623623623624,0.9643422446812235,0.950368082092303,0.03676230797688119,0.8896384829114887,0.13201698720680985,0.9231340393928568
0.2853553553553554,0.9821183869756082,0.9676147461695128,0.03796877442552906,0.9028481672990735,0.13747803620484933,0.9399634996956412
0.2883483483483484,0.9988943796032257,0.9840850308064636,0.03911386641091305,0.9174148143514826,0.14239096474036533,0.9557667656216071
0.2913413413413414,1.0149609864491913,0.9996480089143859,0.04075404530930331,0.9320337851259021,0.14705263736008173,0.9708554572553049
0.29433433433433437,1.0305515237486687,1.0146734544242029,0.04204869556391832,0.946362310639878,0.15155442397450783,0.985479159368522
0.29732732732732736,1.0458128567556029,1.0296227762418397,0.04326288499918993,0.9603862998583107,0.15593254186478436,0.9996910320617782
0.30032032032032036,1.0608316506005304,1.044138144013425,0.04497115391188456,0.9741608274780732,0.1602061485932326,1.0135892950966219
0.30331331331331335,1.0756584688651132,1.05812807480258,0.04686775828808827,0.9877383713861511,0.16438814912411737,1.0273426991722743
0.30630630630630634,1.0903232549262236,1.0722419553531743,0.04813073255498544,0.9982906759868625,0.17421979705523705,1.0409817143400932
0.30929929929929934,1.1048443308941882,1.0865313683681355,0.04951327667193737,1.0078805005302869,0.18050980198188368,1.0545111643652416
0.31229229229229233,1.1192334488999085,1.1006558855130437,0.05082909684544541,1.0200742756943204,0.18606907580232254,1.0679322696657971
