time_ns,front_position (Marshak),front_position (gold loss),front_position (Be Loss),front_position (Vacuum Loss)
0.01,0.0,0.0,0.0,0.0
0.012992992992992993,0.0002416517555066896,0.0002416517555066896,0.00018239768117263194,0.00018239768116782082
0.01598598598598599,0.0005022627632838401,0.0005019905234744849,0.00042575068530322516,0.0004263619238747579
0.01897897897897898,0.0007684721258571462,0.0007677988869892678,0.0006736571604000866,0.0006754416956940459
0.021971971971971975,0.0009671237376984128,0.0009657925129223826,0.0008460914641526759,0.0008495427807611958
0.024964964964964968,0.001158224812324544,0.0011564475896850175,0.0010204106360075394,0.0010243029946988959
0.02795795795795796,0.0013486807226171045,0.0013466168870729773,0.001206493689272032,0.0012104141265179228
0.030950950950950955,0.0015183630414479063,0.0015159967189328314,0.0013707648023282022,0.0013750185237851576
0.03394394394394395,0.0016854309236036136,0.0016827780977130256,0.0015302070078623145,0.0015348321826943777
0.03693693693693694,0.001861753133316223,0.0018588618672118749,0.0017010178266750994,0.0017058778866706314
0.039929929929929935,0.0020313214012381915,0.002028195314779114,0.001866775945490945,0.001871867613726749
0.04292292292292293,0.002185105922939468,0.002181733410820614,0.0020164280819198093,0.0020219289558281255
0.04591591591591592,0.0023348788854474583,0.0023312799981629446,0.0021618324381925016,0.0021676581899404937
0.048908908908908914,0.0024917230723922254,0.002487929582288355,0.0023150169950408744,0.002320868092579337
0.05190190190190191,0.0026468870479042952,0.0026440328641482514,0.0024671915668724098,0.0024730044352950994
0.0548948948948949,0.00279201818829668,0.002789388257201899,0.0026093490633051926,0.0026151587841549183
0.057887887887887894,0.0029323463538865045,0.0029279838668873964,0.002750209219874401,0.0027524248958459853
0.06088088088088089,0.003064220071739983,0.0030582781472105035,0.0028805064059630667,0.002881229122910923
0.06387387387387387,0.0031952919620088483,0.003188296774157705,0.0030039822207107852,0.003009192079402758
0.06686686686686687,0.003340661090366728,0.003332958085235668,0.0031426764631670963,0.0031516480645005615
0.06985985985985986,0.003480956634520297,0.003472655526582773,0.0032780797530202895,0.0032893974883166314
0.07285285285285285,0.0036176611244558713,0.003608793950000342,0.00341055088697515,0.0034233950809361086
0.07584584584584585,0.0037536145155057307,0.0037442194796298792,0.003542494746147537,0.003556239841929945
0.07883883883883884,0.0038905776604213553,0.003882266818335591,0.003675577640129627,0.003689934358992963
0.08183183183183183,0.0040382493202707394,0.00403059295516484,0.003819538751011731,0.0038343747805703924
0.08482482482482483,0.004179198990897594,0.004169751623111597,0.003956829226590881,0.003972121805919807
0.08781781781781782,0.004316158921662746,0.004304694940102901,0.004090023677647236,0.004105744442689172
0.09081081081081081,0.004462613026284184,0.004449591333444356,0.004232810724138061,0.004248883060115359
0.0938038038038038,0.004612839484075321,0.004598639414238253,0.004385735476003505,0.00439619753393155
0.0967967967967968,0.004762203816589763,0.004747021097283961,0.004536206175445318,0.004542760427157067
0.09978978978978979,0.004893839351085299,0.0048777265767547375,0.00465944988370788,0.004671165772212087
0.10278278278278279,0.005017649815878404,0.0050025651735092404,0.004774054558944332,0.004791452293020982
0.10577577577577578,0.00515629366172196,0.005142086477348289,0.004905354184709807,0.0049266344710564795
0.10876876876876877,0.005303146725518148,0.00528721698062784,0.005046445322089117,0.00507017796280827
0.11176176176176177,0.0054334628336561025,0.0054152640892476,0.005171554513088586,0.005197090328294569
0.11475475475475476,0.005555671605255852,0.005535420766499446,0.005288740041903309,0.00531572400535147
0.11774774774774775,0.005679081577681798,0.005657142907790961,0.005407443602157386,0.005435908472491524
0.12074074074074075,0.005806937507357085,0.005783609751659188,0.005530884970050333,0.005560711702685721
0.12373373373373374,0.005938893752861565,0.005916552319018113,0.0056668734583449586,0.005689194076579671
0.12672672672672675,0.0060755571506697316,0.006056239895570502,0.005805627708355399,0.005822003343408542
0.12971971971971974,0.006213529063965326,0.006192718024550203,0.00593340560763071,0.005955844131218158
0.13271271271271273,0.00635524411831331,0.006329050242696139,0.006063444086704838,0.006093607171375307
0.13570570570570573,0.006521870632464945,0.006492503773942849,0.006220230605158702,0.00625629327676101
0.13869869869869872,0.00670110905204495,0.006670271131803142,0.006391181907490878,0.006431001454551081
0.1416916916916917,0.006864652537102167,0.006831957590026876,0.006546863491224309,0.00658937283535484
0.1446846846846847,0.007019444068485398,0.0069845576853276555,0.006704540726686358,0.0067386007095471875
0.1476776776776777,0.007191314655761664,0.007154328444303763,0.006877937872760271,0.006905374408166176
0.1506706706706707,0.007373164692927219,0.0073368960957479875,0.00704666774822891,0.007082413165531456
0.15366366366366369,0.0075575098252721315,0.0075246206489234515,0.007215921871885601,0.007261389327416606
0.15665665665665668,0.007718526551961123,0.0076838176953445214,0.00736330981911184,0.007416501977748448
0.15964964964964967,0.007867359867658508,0.007826029407629389,0.007500374027573529,0.007559199488953381
0.16264264264264267,0.008035999604625142,0.007990334621683724,0.0076591439017078015,0.007722374242015452
0.16563563563563566,0.008217414296115179,0.008169402276097387,0.007844643881394796,0.007898734971181704
0.16862862862862865,0.008403265587765996,0.008352772530780723,0.008033588162376492,0.008078961338655072
0.17162162162162165,0.008589142695508938,0.00853594093786309,0.008205055276482754,0.008258692994455478
0.17461461461461464,0.008773301058192812,0.00872030701423003,0.008371924121959992,0.008436429437760028
0.17760760760760763,0.008940659279039887,0.008887906991444414,0.008523465608536151,0.008597738493396243
0.18060060060060062,0.009098110780422356,0.009041878022328975,0.008667194156143237,0.008749408235141663
0.18359359359359362,0.009266438060798236,0.009206007398200057,0.008823835625102732,0.008911698724495728
0.1865865865865866,0.00944226934167745,0.009380995844875445,0.00900361444219777,0.009081332651214961
0.1895795795795796,0.009620952845031555,0.009559417742499614,0.009186405116865302,0.009253647938322241
0.1925725725725726,0.009799768966614447,0.009734476127942293,0.009350991053176197,0.009426512901641756
0.1955655655655656,0.009953034636277976,0.009882935742051704,0.009485964096664733,0.009573923800509594
0.19855855855855858,0.010091030941190652,0.010019324493371638,0.009606736275915722,0.009705508609912561
0.20155155155155158,0.010247855736277848,0.010175387890671154,0.00974907429364173,0.009855860827256013
0.20454454454454457,0.010418728008202757,0.01034222340661625,0.009907662720906964,0.010020325516258505
0.20753753753753756,0.010596470348607155,0.01051516988059219,0.010090195521753623,0.010192136055785882
0.21053053053053056,0.010751198908070804,0.010668310647732613,0.010249556081537433,0.010340913360762899
0.21352352352352355,0.010891485112040867,0.01080747666266157,0.010374071592340535,0.010474510284497815
0.21651651651651654,0.011051737431353416,0.010963222047320406,0.010515235374737548,0.010627896902058925
0.21950950950950954,0.011226932394606499,0.011136703415501855,0.010672997484668777,0.010796850751315833
0.22250250250250253,0.01140966618981967,0.011318265147330758,0.010840181860933605,0.010973536169294551
0.22549549549549552,0.011595253265853036,0.011498909921763053,0.011029092115391022,0.01115229924967023
0.22848848848848852,0.011781228868603957,0.01167904028795499,0.011219597975935882,0.011330817438142486
0.2314814814814815,0.011936487653796398,0.011831812621640438,0.011357112507371394,0.011478676330935125
0.2344744744744745,0.01207241661553056,0.011969406994103178,0.011470423337051191,0.011607338370130645
0.2374674674674675,0.012230105797040357,0.012125759788771694,0.011607639520726607,0.011757621090144844
0.2404604604604605,0.012404956366912844,0.012294478333335928,0.011764987288847544,0.011925000441755073
0.24345345345345348,0.012589137308851764,0.0124714417362537,0.011952820970729743,0.012102146198369646
0.24644644644644648,0.012777453518207617,0.012652727948848547,0.012146465181359534,0.012283518625870245
0.24943943943943947,0.012967017300081716,0.012839537014712946,0.012318024991028374,0.01246530990139405
0.25243243243243246,0.01311426354593727,0.01298451766463096,0.012440815587758823,0.012603759262211732
0.25542542542542546,0.013234665856364037,0.013098409238559192,0.012537155567269266,0.012715569520088475
0.25841841841841845,0.01338556907548933,0.013246193151593122,0.012688308535136628,0.012858831976260365
0.26141141141141144,0.013561111941741134,0.013423591641401713,0.012868111161819611,0.013026694574359584
0.26440440440440444,0.013750733107747878,0.013611674417054373,0.013038268599303314,0.013208139001831983
0.26739739739739743,0.013947231189441219,0.0138010520278375,0.01320962813631797,0.013396607954043483
0.2703903903903904,0.014146485345487654,0.01399178930672619,0.01338417496573919,0.013587790181741536
0.2733833833833834,0.014346288812663262,0.014183197772110573,0.013561074491941369,0.013778577509936482
0.2763763763763764,0.01454549648005877,0.01437862536286632,0.013761410792219124,0.013968065988252195
0.2793693693693694,0.014706799668665308,0.014540911353978048,0.0139255483352599,0.014119629925809644
0.2823623623623624,0.01484310373551465,0.01467433992174258,0.014038363853413621,0.014246335909857043
0.2853553553553554,0.015004210209080495,0.014827422019457172,0.014171957398679534,0.014397881700980976
0.2883483483483484,0.015185907781801825,0.015000139850916146,0.014328391824356603,0.014570931482536012
0.2913413413413414,0.015379749282397468,0.015189531548362866,0.014523421177676452,0.014756430693356155
0.29433433433433437,0.015579810857156033,0.015390664782830252,0.014727965339865735,0.014947159237255543
0.29732732732732736,0.015782567535168178,0.015590960510695735,0.014907298413767799,0.015139680565870698
0.30032032032032036,0.01598603372350372,0.015786035077162145,0.015080693853824281,0.015333141871564449
0.30331331331331335,0.016189116676290947,0.01597918681694424,0.015254239772587838,0.015526417032973935
0.30630630630630634,0.016391223919042668,0.016175778528361395,0.015453728487280022,0.015717935118009795
0.30929929929929934,0.0165920405345684,0.01637244834856795,0.015656486503633434,0.015907569624111065
0.31229229229229233,0.016791405693764687,0.01656350788291911,0.015830495794914048,0.016096277371069483
0.3152852852852853,0.016962523619308435,0.01672920664416015,0.015968981192725423,0.016256794980578877
0.3182782782782783,0.017113760798971367,0.01688006322604145,0.016087835368311917,0.016396617147238328
0.3212712712712713,0.01728075436439251,0.01704361994580536,0.016251697329463275,0.01655224180717563
0.3242642642642643,0.017461441885174536,0.017215357919057504,0.016435451660195624,0.016722664211612254
0.3272572572572573,0.017650658383130177,0.017394183385269973,0.016600280995316977,0.016902208280674024
0.3302502502502503,0.01784459915590238,0.01758227274058587,0.01676304351105936,0.01708571499120685
0.3332432432432433,0.018040843053987763,0.017778636407258044,0.016928150764378952,0.017271688941200108
0.3362362362362363,0.018237908120971407,0.017972465594926913,0.017122558085503087,0.017458591308749386
0.33922922922922927,0.018434899454397906,0.01816015705792327,0.017322100680911917,0.017644505947234237
0.34222222222222226,0.018631280890824966,0.018345517435900027,0.01749210018984409,0.017829091795406055
