time_ns,shock_radius_mm,shock_radius_cm,gold_radius_mm,gold_radius_cm
0.015985985985985992,0.800023567119962,0.08000235671199621,0.8000143610705908,0.08000143610705908
0.015985985985985992,0.800023567119962,0.08000235671199621,0.8000143610705908,0.08000143610705908
0.015985985985985992,0.800023567119962,0.08000235671199621,0.8000143610705908,0.08000143610705908
0.01897897897897898,0.8000373244969733,0.08000373244969733,0.8000200444265866,0.08000200444265866
0.02197197197197198,0.8000522042532344,0.08000522042532345,0.8000248189178685,0.08000248189178685
0.024964964964964968,0.8000674965409106,0.08000674965409106,0.8000291676077476,0.08000291676077476
0.027957957957957965,0.8000814199269264,0.08000814199269264,0.8000330697500023,0.08000330697500023
0.030950950950950955,0.8000964182381919,0.08000964182381919,0.8000367581739352,0.08000367581739351
0.03394394394394395,0.8001121638344562,0.08001121638344562,0.8000403215840857,0.08000403215840857
0.03693693693693695,0.8001267454473671,0.0800126745447367,0.8000437031350369,0.08000437031350369
0.039929929929929935,0.8001409705662238,0.08001409705662238,0.8000469183532143,0.08000469183532143
0.04292292292292293,0.800156338266669,0.0800156338266669,0.8000500424322622,0.08000500424322622
0.04591591591591592,0.8001722158437651,0.0800172215843765,0.8000531011153356,0.08000531011153356
0.04890890890890892,0.8001871253448072,0.08001871253448072,0.800056065587451,0.0800056065587451
0.051901901901901915,0.8002017410808514,0.08002017410808514,0.8000589376389746,0.08000589376389747
0.0548948948948949,0.8002172975849481,0.08002172975849481,0.8000617515216628,0.08000617515216628
0.057887887887887894,0.8002330788904581,0.08002330788904581,0.8000645157623064,0.08000645157623064
0.06088088088088089,0.8002501172005433,0.08002501172005433,0.8000672592401097,0.08000672592401097
0.06387387387387387,0.8002679281351212,0.08002679281351212,0.8000699944678313,0.08000699944678313
0.06686686686686688,0.8002841560694813,0.08002841560694814,0.8000726884079655,0.08000726884079655
0.06985985985985986,0.800300855882551,0.0800300855882551,0.8000753505809457,0.08000753505809458
0.07285285285285285,0.8003183962286331,0.08003183962286331,0.8000779945312307,0.08000779945312307
0.07584584584584585,0.8003368931219008,0.08003368931219008,0.8000806329560383,0.08000806329560382
0.07883883883883884,0.8003553214513964,0.08003553214513964,0.8000832620584812,0.08000832620584812
0.08183183183183185,0.8003722603483643,0.08003722603483643,0.8000858603705621,0.08000858603705621
0.08482482482482483,0.8003899616122627,0.08003899616122627,0.8000884381023958,0.08000884381023958
0.08781781781781782,0.8004086952397187,0.08004086952397187,0.8000910069613959,0.08000910069613959
0.09081081081081083,0.8004267664633119,0.08004267664633119,0.8000935581701469,0.0800093558170147
0.0938038038038038,0.8004435670772192,0.08004435670772192,0.8000960781135691,0.08000960781135691
0.09679679679679681,0.8004599813897778,0.08004599813897778,0.8000985642075941,0.0800098564207594
0.09978978978978979,0.800478782644919,0.0800478782644919,0.8001010405059417,0.08001010405059417
0.10278278278278279,0.8004997342550844,0.08004997342550843,0.800103525557614,0.0800103525557614
0.1057757757757758,0.8005188720486578,0.08005188720486578,0.8001060011909653,0.08001060011909653
0.10876876876876877,0.8005363243297574,0.08005363243297574,0.8001084527669888,0.08001084527669888
0.11176176176176178,0.8005569065339173,0.08005569065339173,0.8001109057558777,0.08001109057558778
0.11475475475475477,0.8005797122411701,0.08005797122411701,0.8001133756119314,0.08001133756119314
0.11774774774774775,0.8006034362211821,0.08006034362211821,0.8001158664231317,0.08001158664231317
0.12074074074074076,0.8006275218545835,0.08006275218545836,0.8001183778791081,0.08001183778791081
0.12373373373373375,0.8006516597039368,0.08006516597039368,0.8001209075820264,0.08001209075820263
0.12672672672672677,0.8006765764111888,0.08006765764111888,0.8001234582241891,0.08001234582241891
0.12971971971971974,0.8007026328440399,0.08007026328440399,0.8001260345604213,0.08001260345604214
0.13271271271271273,0.8007290135870322,0.08007290135870322,0.8001286357912875,0.08001286357912875
0.13570570570570573,0.8007520657318743,0.08007520657318742,0.8001312390532289,0.08001312390532289
0.13869869869869875,0.8007727576051864,0.08007727576051864,0.8001338294205557,0.08001338294205557
