time_ns,front_position (Marshak),front_position (gold loss),front_position (Be Loss)
0.01,0.0,0.0,0.0
0.012992992992992993,0.0002416517555066896,0.0002416517555066896,0.00018239768117263194
0.01598598598598599,0.0005022627632838401,0.0005020701984120109,0.0004253582515202522
0.01897897897897898,0.0007684721258571462,0.0007680029856026324,0.0006725141417447841
0.021971971971971975,0.0009671237376984128,0.0009662320120837462,0.0008438344105861438
0.024964964964964968,0.001158224812324544,0.001157086233643,0.001017803072470116
0.02795795795795796,0.0013486807226171045,0.0013473913846321559,0.0012038213118471617
0.030950950950950955,0.0015183630414479063,0.0015169098686409529,0.0013678167331822237
0.03394394394394395,0.0016854309236036136,0.0016838256908747338,0.0015269466861066545
0.03693693693693694,0.001861753133316223,0.001860024449682697,0.0016975419938359399
0.039929929929929935,0.0020313214012381915,0.002029470547343975,0.0018630867368485064
0.04292292292292293,0.002185105922939468,0.002183126970556135,0.002012487166984193
0.04591591591591592,0.0023348788854474583,0.0023328712442172482,0.002157661824942606
0.048908908908908914,0.0024917230723922254,0.002489756863429158,0.0023106612461737406
0.05190190190190191,0.0026468870479042952,0.002644611109055388,0.0024626513809517998
0.0548948948948949,0.00279201818829668,0.0027893682187478818,0.0026046022638313744
0.057887887887887894,0.0029323463538865045,0.002929587588408964,0.0027416630961158263
0.06088088088088089,0.003064220071739983,0.003061318220595118,0.0028703018756984044
0.06387387387387387,0.0031952919620088483,0.003192247787680538,0.002998159110086876
0.06686686686686687,0.003340661090366728,0.00333758431524437,0.003140554791249771
0.06985985985985986,0.003480956634520297,0.0034776066961866776,0.0032779932975654405
0.07285285285285285,0.0036176611244558713,0.0036139579054051906,0.0034116251578234953
0.07584584584584585,0.0037536145155057307,0.0037497445601122094,0.0035444269325497313
0.07883883883883884,0.0038905776604213553,0.0038865460641536584,0.003678298217853089
0.08183183183183183,0.0040382493202707394,0.004034129557578618,0.003823803085139805
0.08482482482482483,0.004179198990897594,0.00417472476162351,0.003962026629881474
0.08781781781781782,0.004316158921662746,0.004311260757560181,0.004095199003022913
0.09081081081081081,0.004462613026284184,0.00445748798848255,0.004238035235483284
0.0938038038038038,0.004612839484075321,0.00460756353922975,0.0043847142931907265
0.0967967967967968,0.004762203816589763,0.004756820061657381,0.0045306615134669565
0.09978978978978979,0.004893839351085299,0.004887954136127762,0.004658696792527243
0.10278278278278279,0.005017649815878404,0.005011368029168122,0.004778874645111504
0.10577577577577578,0.00515629366172196,0.005149833942662322,0.004914068158126429
0.10876876876876877,0.005303146725518148,0.00529621430608398,0.005057646059711465
0.11176176176176177,0.0054334628336561025,0.005426028058177862,0.005184530828012547
0.11475475475475476,0.005555671605255852,0.005547764627665917,0.005303127229059918
0.11774774774774775,0.005679081577681798,0.005670798267158309,0.00542297503348191
0.12074074074074075,0.005806937507357085,0.005798380338146101,0.005547352913898023
0.12373373373373374,0.005938893752861565,0.00592979296098665,0.005676441834658345
0.12672672672672675,0.0060755571506697316,0.006066042681401355,0.005809748925972753
0.12971971971971974,0.006213529063965326,0.006203716176345657,0.005944045744396721
0.13271271271271273,0.00635524411831331,0.006344754468180813,0.0060817993778997876
0.13570570570570573,0.006521870632464945,0.006510839046391533,0.006243875690121273
0.13869869869869872,0.00670110905204495,0.0066896935239420564,0.006418438004445897
0.1416916916916917,0.006864652537102167,0.006852549958118177,0.006576642410669767
0.1446846846846847,0.007019444068485398,0.0070066579993695016,0.0067258403930560845
0.1476776776776777,0.007191314655761664,0.007178008700430001,0.006892150898515476
0.1506706706706707,0.007373164692927219,0.007359163658762671,0.0070686552169909
0.15366366366366369,0.0075575098252721315,0.00754285586633462,0.007248552767548182
0.15665665665665668,0.007718526551961123,0.007703250208162516,0.007403941605093572
0.15964964964964967,0.007867359867658508,0.007851206686071324,0.007546548406567258
0.16264264264264267,0.008035999604625142,0.008019095623157934,0.007709490397217708
0.16563563563563566,0.008217414296115179,0.008199929088318297,0.007884962829786893
0.16862862862862865,0.008403265587765996,0.008384976164957748,0.008064883734305481
0.17162162162162165,0.008589142695508938,0.00857009354279621,0.008244339771531306
0.17461461461461464,0.008773301058192812,0.008753588446785475,0.008421988039112578
0.17760760760760763,0.008940659279039887,0.00891997675160325,0.008582947988261445
0.18060060060060062,0.009098110780422356,0.0090765048785158,0.008735246099124632
0.18359359359359362,0.009266438060798236,0.009244086818389648,0.008897362126984018
0.1865865865865866,0.00944226934167745,0.009418967649590687,0.009066664943956025
0.1895795795795796,0.009620952845031555,0.00959680565233181,0.009239189371638973
0.1925725725725726,0.009799768966614447,0.009774895348943923,0.009411260371123616
0.1955655655655656,0.009953034636277976,0.00992706528094238,0.009557737565893357
0.19855855855855858,0.010091030941190652,0.010064011695885833,0.009688835152584861
0.20155155155155158,0.010247855736277848,0.010220006423642078,0.009840254583245589
0.20454454454454457,0.010418728008202757,0.010389845858284183,0.010004966271180617
0.20753753753753756,0.010596470348607155,0.010566702398627387,0.010176248129534786
0.21053053053053056,0.010751198908070804,0.010720598904111842,0.010324492113385509
0.21352352352352355,0.010891485112040867,0.010859692794447859,0.010457624289133929
