index,x,y
0,0.010221465076661052,0.719047619047619
1,0.04088586030664393,0.7205128205128205
2,0.08517887563884163,0.7234432234432234
3,0.12947189097103928,0.7267399267399267
4,0.16354344122657594,0.7267399267399267
5,0.21294718909710386,0.7293040293040293
6,0.2470187393526404,0.7307692307692307
7,0.29131175468483816,0.7326007326007327
8,0.34923339011925025,0.7351648351648352
9,0.39011925042589424,0.7373626373626373
10,0.504258943781942,0.7435897435897436
11,0.614991482112436,0.7490842490842491
12,0.7069846678023848,0.7531135531135531
13,0.8006814310051105,0.7582417582417582
14,0.8807495741056215,0.7626373626373626
15,0.9369676320272571,0.7659340659340659
16,0.9863713798977851,0.7695970695970695
17,1.0596252129471888,0.7754578754578754
18,1.1158432708688242,0.7798534798534799
19,1.168654173764906,0.7853479853479853
20,1.218057921635434,0.7908424908424908
