r_cm,zF_cm_t1.0ns,zF_cm_t2.0ns,zF_cm_t2.5ns
0.0,0.024489795918367346,0.04285714285714286,0.04285714285714286
2.5510204081632654e-05,0.024489795918367346,0.04285714285714286,0.04285714285714286
5.102040816326531e-05,0.024489795918367346,0.04285714285714286,0.04285714285714286
7.653061224489796e-05,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00010204081632653062,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00012755102040816328,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0001530612244897959,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00017857142857142857,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00020408163265306123,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0002295918367346939,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00025510204081632655,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0002806122448979592,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0003061224489795918,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0003316326530612245,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00035714285714285714,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00038265306122448983,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00040816326530612246,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0004336734693877551,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0004591836734693878,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0004846938775510204,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0005102040816326531,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0005357142857142857,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0005612244897959184,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.000586734693877551,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0006122448979591836,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0006377551020408164,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.000663265306122449,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0006887755102040817,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0007142857142857143,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0007397959183673469,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0007653061224489797,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0007908163265306123,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0008163265306122449,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0008418367346938776,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0008673469387755102,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0008928571428571429,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0009183673469387756,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0009438775510204082,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0009693877551020408,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0009948979591836735,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0010204081632653062,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0010459183673469387,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0010714285714285715,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0010969387755102042,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0011224489795918367,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0011479591836734695,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.001173469387755102,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0011989795918367348,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0012244897959183673,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.00125,0.024489795918367346,0.04285714285714286,0.04285714285714286
0.0012508333333333334,0.0,0.0,0.0
0.0012518339310690176,0.0,0.0,0.0
0.0012530353660634055,0.0,0.0,0.0
0.001254477949825353,0.0,0.0,0.0
0.0012562100850802406,0.0,0.0,0.0
0.0012582898898169678,0.0,0.0,0.0
0.0012607871473092494,0.0,0.0,0.0
0.0012637856475398866,0.0,0.0,0.0
0.0012673859985893557,0.0,0.0,0.0
0.0012717090023186765,0.0,0.0,0.0
0.0012768997076101722,0.0,0.0,0.0
0.0012831322771637023,0.0,0.0,0.0
0.0012906158311430105,0.0,0.0,0.0
0.001299601463742891,0.006122448979591836,0.0,0.0
0.0013103906681026481,0.006122448979591836,0.0,0.0
0.0013233454522452977,0.0,0.0,0.0
0.001338900485460594,0.0,0.0,0.0
0.0013575776826770575,0.0,0.006122448979591836,0.0
0.0013800037161695235,0.0,0.006122448979591836,0.006122448979591836
0.0014069310421690531,0.0,0.0,0.0
0.0014392631478768471,0.0,0.0,0.0
0.001478084865990195,0.0,0.0,0.0
0.001524698773877702,0.0,0.0,0.0
0.0015806688986980642,0.0,0.0,0.0
0.0016478731948915287,0.0,0.0,0.0
0.001728566554810852,0.0,0.0,0.0
0.0018254564666748893,0.0,0.0,0.0
0.0019417938583810553,0.0,0.0,0.0
0.00208148217524098,0.0,0.0,0.0
0.0022492083515028866,0.0,0.0,0.0
0.0024506000701220608,0.0,0.0,0.0
0.0026924145872851534,0.0,0.0,0.0
0.002982765457279926,0.0,0.0,0.0
0.0033313947649648004,0.0,0.0,0.0
0.00375,0.0,0.0,0.0
