rho,u_tilda
1.33E-06,1.3344242
1.33E-06,1.3344163
1.33E-06,1.3344087
1.33E-06,1.3344013
1.33E-06,1.3343942
1.33E-06,1.3343873
1.33E-06,1.334374
1.33E-06,1.3343615
1.33E-06,1.3343495
1.33E-06,1.334338
1.33E-06,1.3343269
1.33E-06,1.3343163
1.33E-06,1.3343061
1.33E-06,1.3342961
1.33E-06,1.3342616
1.33E-06,1.3342301
1.33E-06,1.334201
1.33E-06,1.3341738
1.33E-06,1.3341482
1.33E-06,1.3341239
1.33E-06,1.3341007
1.33E-06,1.3340786
1.33E-06,1.3340312
1.33E-06,1.3339873
1.33E-06,1.3339463
1.33E-06,1.3339077
1.33E-06,1.3338711
1.33E-06,1.3338362
1.33E-06,1.3338027
1.33E-06,1.3337706
1.34E-06,1.3335802
1.34E-06,1.3334205
1.34E-06,1.3332795
1.34E-06,1.3331514
1.34E-06,1.3331271
1.34E-06,1.3331033
1.34E-06,1.3330798
1.34E-06,1.3330567
1.34E-06,1.3330339
1.34E-06,1.3330115
1.34E-06,1.3329893
1.34E-06,1.3329674
1.34E-06,1.3329141
1.34E-06,1.3328623
1.34E-06,1.332812
1.34E-06,1.3327631
1.34E-06,1.3327155
1.34E-06,1.332669
1.34E-06,1.3326235
1.35E-06,1.3325791
1.35E-06,1.3325223
1.35E-06,1.332467
1.35E-06,1.332413
1.35E-06,1.3323604
1.35E-06,1.3323089
1.35E-06,1.3322585
1.35E-06,1.3322093
1.35E-06,1.3321609
1.35E-06,1.3317183
1.36E-06,1.3313357
1.36E-06,1.3309929
1.36E-06,1.3306788
1.37E-06,1.3303884
1.37E-06,1.3301166
1.37E-06,1.3298602
1.37E-06,1.3296169
1.38E-06,1.3293491
1.38E-06,1.3290943
1.38E-06,1.3288506
1.38E-06,1.3286168
1.39E-06,1.3283916
1.39E-06,1.3281743
1.39E-06,1.327964
1.39E-06,1.3277602
1.40E-06,1.3267152
1.41E-06,1.3257939
1.42E-06,1.3249588
1.43E-06,1.3241884
1.44E-06,1.3230692
1.45E-06,1.3220488
1.46E-06,1.3211041
1.47E-06,1.32022
1.48E-06,1.3193868
1.49E-06,1.3185963
1.50E-06,1.3178425
1.51E-06,1.3171206
