time_ns,foam_energy_hJ,gold_energy_hJ
0.02989875883555145,0.09041220309013132,0.0117922316314431
0.09059137117874684,0.209628848983675,0.013857538749820108
0.15122448979591838,0.38838996374057727,0.02344076052647644
0.21183673469387754,0.6087462564894494,0.04748683401355301
0.2724489795918367,0.8674791992893335,0.09141973355141471
0.33302366640954745,1.1482449899385738,0.16049956947089547
0.39365542272039855,1.4112031514205678,0.2498611221470778
0.4542857142857143,1.6988273275270938,0.3648667532003438
0.5148754083035142,1.9734512144635878,0.5059253518008431
0.575493177021102,2.2730073606330325,0.6762269767134346
0.6360509638477084,2.554029761711752,0.8764734106738237
0.696734693877551,2.8388596175669396,1.1013990889442253
0.7573469387755102,3.1370620498636677,1.3632869308042335
0.8179562021598642,3.421919824815771,1.6545225353900668
0.8785714285714287,3.7021191596626646,1.974620046723937
0.9391836734693877,3.984106773372114,2.323404041546137
0.9997959183673469,4.2865582653020855,2.7169422146635087
1.0603893955962556,4.581937078144737,3.149363930756122
1.121020408163265,4.868519026322006,3.6194026869512785
1.1816326530612244,5.119178181202807,4.111578193785348
1.2422448979591836,5.317729479383363,4.589506181709961
1.3028145520589145,5.491242552741633,5.061751072920238
1.363469387755102,5.651002945318433,5.528740298028653
1.4240816326530612,5.781894186415866,5.975397381960124
1.4846064025146262,5.9057648255876884,6.4221106855021395
1.5451962366211425,6.021197797189851,6.882179183991786
1.6059183673469386,6.134343152818353,7.34452463200454
1.666530612244898,6.233470882076272,7.775806247812299
1.7271234200678478,6.321781074463765,8.166893446245439
1.7877551020408164,6.412643306754131,8.534701698812608
1.8483673469387751,6.486981191264243,8.887275332811388
1.9088187497347133,6.530514882336398,9.19819735170181
1.969522812092549,6.587349701557604,9.487178501070485
2.0301704852381635,6.65305664785747,9.769924276442902
2.090816326530612,6.716775609764268,10.050994833486552
2.1513381128827977,6.76427320113139,10.314222297265903
2.2119351075775686,6.816739614292826,10.562421810539693
2.272523394039074,6.871403845542821,10.804023674420803
2.333265306122449,6.929919626966897,11.045914994280945
2.3938775510204082,6.962898761461933,11.277013127828445
2.454307028005652,6.9950513873455575,11.49061305122178
2.5150359582490833,7.02532130546661,11.692233461741605
2.5757142857142856,7.027537451126535,11.874335856405068
2.6362191917628732,7.001234162921409,12.02535484525203
2.6969387755102043,6.962806863331142,12.152723638067556
2.7575510204081635,6.920352648829387,12.256851324997044
2.818163265306122,6.895075946234975,12.350290985135759
2.8787755102040813,6.859905546461255,12.431496633122562
2.938904505735151,6.836368024881383,12.505158517496662
3.0,6.814293224785867,12.577076391087617
