time_ns,foam_energy_hJ,gold_energy_hJ
0.029936721209686268,0.0827935638274078,0.0003033489926646267
0.09061224489795919,0.20414152144917322,0.0016283017410660683
0.1512135806579287,0.38705845855965243,0.005713436721791193
0.2118106962704041,0.6155942264284405,0.014720583602084204
0.2724076803632291,0.8879067378193654,0.029521214722263347
0.3330612244897959,1.1895548668183995,0.05208445771626111
0.3936734693877551,1.4778695221822162,0.08009524089786786
0.4542857142857143,1.7969469101915236,0.11519537934327845
0.5148979591836735,2.1094637782017402,0.1577416792175358
0.5755102040816327,2.4533037834049702,0.20783233391832562
0.6361122005412038,2.785862310217909,0.26626412023366275
0.6966857585752501,3.1258229956475603,0.33086837184470635
0.7573469387755102,3.489858777872267,0.4064159600433717
0.817887680770286,3.8443036963843538,0.4885579908051772
0.8785714285714287,4.201366488707761,0.5790845906143923
0.9391836734693877,4.565180883469113,0.6773410459966808
0.9997959183673469,4.959152889510169,0.7872259087493494
1.0604081632653062,5.354209237641782,0.908186267826303
1.121020408163265,5.748498080205648,1.0392630181919889
1.1816133160582722,6.1072068757910465,1.1747440097577955
1.2422448979591836,6.4101238534118075,1.308466389816015
1.302857142857143,6.681240172343948,1.4381779355871962
1.3634180985738027,6.934598648922684,1.565595634058057
1.4240816326530612,7.153758427052436,1.6892395140279635
1.4846402289885219,7.360974899501738,1.8088176686917588
1.5452308435739004,7.5556323431792025,1.9253703205100778
1.6058404168390257,7.745710777682183,2.0406702145108375
1.666456838186637,7.919407115847444,2.1537328847172703
1.7271256246345406,8.07849947693792,2.2638404366678766
1.7877551020408164,8.237765256512107,2.3717579332043157
1.8483673469387751,8.378208759519278,2.4775869115473044
1.9088412958125527,8.480176602797018,2.5757643778879284
1.9695918367346936,8.593465398706327,2.671602639701133
2.0300408583902354,8.713910647173844,2.7658258920713097
2.090705689306119,8.832656686462517,2.8600081535742916
2.1514285714285712,8.932225849469836,2.951303437350037
2.211819793545022,9.034860050234984,3.040472888581388
2.27265306122449,9.139080402699815,3.1292485804454215
2.333265306122449,9.246925649474415,3.217531578410474
2.393841636866089,9.326497365354806,3.3027613538072025
2.4544897959183674,9.402420018345586,3.3849427206094886
2.5151020408163265,9.474599064698666,3.4649034140946147
2.575557606271835,9.514656249136086,3.539833995339037
2.6363265306122448,9.518905980770366,3.6066632009997246
2.696742322429353,9.505577492930689,3.6657953756488104
2.7575510204081635,9.482731162043953,3.718287754449707
2.818163265306122,9.475834607173041,3.767578305777463
2.8787755102040813,9.456067765315245,3.8129226249233676
2.939387755102041,9.446574813269176,3.855599888706904
3.0,9.438084544790165,3.896666247274974
