time_ns,front_position (Marshak),front_position (Ablation with varying rho),front_position (2D effects + lam_eff),front_position (Ablation with const rho),front_position (gold loss),front_position (No Marshak),front_position (Vacuum loss),front_position (Be Loss),front_position (Copper Loss),front_position (Gold 100 Loss),front_position (Gold 100 Wall Loss)
0.01,0.0,0.0,0.0,0.0,0.0,0.0004250285327618177,0.0,0.0,0.0,0.0,0.0
0.025005005005005007,5.1641321258888255e-05,4.7344033773771485e-05,4.734380296932268e-05,5.164132125888825e-05,5.1641321258888255e-05,0.0006720963838587674,5.1641321258888255e-05,5.1641321258888255e-05,5.1641321258888255e-05,5.1641321258888255e-05,0.0
0.04001001001001001,0.00011261104741515637,0.00010858813207932253,0.00010855073815507424,0.00011260029112997329,0.00011260274032046363,0.0008501157814585383,0.00011260900611706957,0.00011260911251958629,0.00011260008464945483,0.00011252797538436972,1.684059914394823e-06
0.05501501501501502,0.00017571349996915405,0.000171516052521745,0.00017135378971545743,0.0001756834550874308,0.00017569205680471235,0.0009959228354134747,0.00017570675067365713,0.0001757081490976472,0.00017568492659478097,0.00017549913764278833,3.3708058467527665e-06
0.07002002002002002,0.00022761325025325767,0.00022302302512843016,0.00022276836015022608,0.00022755109716937998,0.00022757389713913713,0.0011268591139655352,0.00022759674241478714,0.00022760247778186196,0.00022756007705403792,0.00022721987317438346,4.832563063210517e-06
0.08502502502502503,0.0002776936159733492,0.00027281635652302676,0.0002724615691665855,0.00027759692067315,0.00027764137291780706,0.0012477481452357409,0.0002776654225397171,0.0002776780761180008,0.00027762208410847853,0.0002771716376280992,6.280794606047027e-06
0.10003003003003003,0.000325156466521532,0.0003201163003203603,0.00031964909378528133,0.00032502071869942574,0.0003250931800518061,0.0013613933861799821,0.0003251164332948495,0.0003251367602209355,0.00032506917798006703,0.0003245244025127813,7.69465769436397e-06
0.11503503503503502,0.0003705540195412042,0.000365338178828025,0.0003647573351117878,0.00037037369997036917,0.00037048018164847433,0.0014695936720144419,0.0003705011488183894,0.0003705301533673877,0.0003704515715655224,0.00036981671398117114,9.080482712568259e-06
0.13004004004004005,0.00041430326531166856,0.00040890414820177944,0.00040820768042404643,0.0004140732986196108,0.0004142195246572809,0.0015735843624196558,0.00041423691984797774,0.00041427535336737727,0.00041418650608638535,0.0004134671772806804,1.0443273929554604e-05
0.14504504504504506,0.000451994277598067,0.00044621712577501963,0.0004454173943141444,0.00045171093776592917,0.00045190087474898807,0.0016742571704006122,0.0004519122347492758,0.000451962168211364,0.0004518634036599099,0.00045106181952075155,1.1785802805739407e-05
0.16005005005005007,0.0004964448068497909,0.0004900900500867863,0.0004891690041792856,0.000496078993569724,0.0004963438969999666,0.00177228082671929,0.0004963474930084506,0.000496409175312462,0.0004963028019518546,0.0004954375234755109,1.329012580042325e-05
