time_ns,shock_radius_mm,shock_radius_cm,gold_radius_mm,gold_radius_cm
0.012982982982982985,0.10000562969168042,0.010000562969168042,0.10000343225653216,0.010000343225653217
0.012982982982982985,0.10000562969168042,0.010000562969168042,0.10000343225653216,0.010000343225653217
0.012982982982982985,0.10000562969168042,0.010000562969168042,0.10000343225653216,0.010000343225653217
0.014474474474474475,0.10000928140462642,0.010000928140462642,0.10000491011082323,0.010000491011082323
0.015965965965965966,0.10001322645547833,0.010001322645547834,0.10000618213135741,0.010000618213135741
0.017457457457457456,0.1000170118591675,0.01000170118591675,0.10000731335862538,0.010000731335862538
0.01894894894894895,0.10002066345319707,0.010002066345319707,0.10000833928423902,0.010000833928423903
0.020440440440440442,0.10002433305261361,0.010002433305261361,0.1000092935462564,0.01000092935462564
0.021931931931931933,0.10002821098264547,0.010002821098264548,0.10001020756037743,0.010001020756037742
0.023423423423423427,0.10003216999308102,0.010003216999308102,0.10001109123798871,0.010001109123798872
0.02491491491491492,0.1000359828159695,0.01000359828159695,0.10001194011650419,0.010001194011650418
0.02640640640640641,0.10003978779799907,0.010003978779799907,0.10001275861882153,0.010001275861882153
0.027897897897897903,0.10004402003195678,0.010004402003195679,0.10001356633221513,0.010001356633221513
0.02938938938938939,0.10004844692445006,0.010004844692445006,0.10001436860651883,0.010001436860651882
0.030880880880880885,0.10005257491914593,0.010005257491914592,0.10001515465116165,0.010001515465116165
0.03237237237237237,0.10005663187576132,0.010005663187576131,0.10001592338049523,0.010001592338049523
0.03386386386386386,0.10006069151016152,0.010006069151016152,0.10001667606807714,0.010001667606807714
0.03535535535535536,0.10006532827179797,0.010006532827179797,0.1000174265938915,0.01000174265938915
0.036846846846846845,0.10007026212965658,0.010007026212965658,0.10001817971972526,0.010001817971972526
0.03833833833833835,0.10007479902454997,0.010007479902454996,0.10001892592471541,0.01000189259247154
0.039829829829829834,0.10007918988922795,0.010007918988922795,0.10001966235040227,0.010001966235040228
0.041321321321321325,0.1000839953345398,0.01000839953345398,0.10002039607099582,0.010002039607099581
0.04281281281281282,0.10008934009305866,0.010008934009305866,0.10002113470954879,0.01000211347095488
0.04430430430430431,0.10009457294272092,0.010009457294272092,0.10002187498670992,0.010002187498670993
0.0457957957957958,0.10009959066758646,0.010009959066758646,0.10002261282153874,0.010002261282153873
0.047287287287287295,0.10010432178634517,0.010010432178634517,0.10002334396119077,0.010002334396119077
0.04877877877877878,0.10010901614886102,0.010010901614886101,0.10002406798790879,0.010002406798790879
0.05027027027027028,0.10011370974397275,0.010011370974397275,0.1000247850083172,0.01000247850083172
0.051761761761761775,0.1001184103089347,0.01001184103089347,0.1000254952302286,0.01000254952302286
0.05325325325325326,0.10012371116377801,0.0100123711163778,0.10002620505845536,0.010002620505845536
0.05474474474474475,0.10012937971778083,0.010012937971778083,0.10002691765581544,0.010002691765581544
0.05623623623623625,0.1001346844850485,0.01001346844850485,0.10002762876116175,0.010002762876116175
0.05772772772772773,0.1001397936248964,0.01001397936248964,0.10002833624498034,0.010002833624498034
0.05921921921921922,0.10014489016908655,0.010014489016908655,0.10002903988077777,0.010002903988077776
0.060710710710710714,0.10014979355593397,0.010014979355593397,0.10002973797378628,0.010002973797378628
0.06220220220220221,0.10015473860831897,0.010015473860831898,0.10003043095057561,0.01000304309505756
0.06369369369369371,0.10015969920938325,0.010015969920938325,0.10003111899720044,0.010003111899720044
0.06518518518518518,0.10016513295944622,0.010016513295944622,0.10003180568540665,0.010003180568540665
0.06667667667667668,0.10017088512268837,0.010017088512268837,0.10003249307570931,0.010003249307570931
0.06816816816816818,0.10017638693695374,0.010017638693695374,0.10003317907495987,0.010003317907495987
0.06965965965965966,0.1001817325542695,0.01001817325542695,0.10003386245243952,0.010003386245243951
0.07115115115115116,0.10018699370478097,0.010018699370478097,0.10003454257928976,0.010003454257928975
0.07264264264264265,0.10019260436219292,0.010019260436219292,0.1000352216018989,0.01000352216018989
0.07413413413413415,0.10019859652018902,0.010019859652018901,0.100035901647912,0.0100035901647912
0.07562562562562562,0.10020413449014523,0.010020413449014522,0.10003657975458519,0.010003657975458519
0.07711711711711712,0.10020959192405632,0.010020959192405633,0.10003725536753635,0.010003725536753636
0.0786086086086086,0.10021499096256256,0.010021499096256256,0.10003792811243695,0.010003792811243695
0.0801001001001001,0.10022035497974816,0.010022035497974816,0.10003859778005851,0.010003859778005851
0.0815915915915916,0.10022569945868316,0.010022569945868316,0.1000392642657664,0.01000392642657664
0.0830830830830831,0.1002321082618641,0.01002321082618641,0.10003993292258989,0.010003993292258989
0.08457457457457457,0.10023929221762339,0.010023929221762339,0.10004060724366186,0.010004060724366185
0.08606606606606607,0.10024611820975285,0.010024611820975285,0.10004128502881557,0.010004128502881557
0.08755755755755756,0.10025227162490813,0.010025227162490814,0.10004196278308877,0.010004196278308878
0.08904904904904905,0.10025825452459575,0.010025825452459575,0.10004263957197722,0.010004263957197721
0.09054054054054055,0.10026411661823269,0.010026411661823269,0.10004331475814154,0.010004331475814154
0.09203203203203204,0.10027060274158657,0.010027060274158657,0.10004399096957131,0.01000439909695713
0.09352352352352353,0.10027755237988945,0.010027755237988944,0.10004466996231343,0.010004466996231342
0.09501501501501501,0.10028413634945423,0.010028413634945423,0.10004534995014928,0.010004534995014929
0.09650650650650652,0.10029045962964034,0.010029045962964033,0.10004602969903477,0.010004602969903477
0.097997997997998,0.10029683570741979,0.010029683570741979,0.1000467092977575,0.01000467092977575
0.09948948948948949,0.10030387151610531,0.010030387151610531,0.10004739116373923,0.010004739116373923
0.10098098098098099,0.10031175014296265,0.010031175014296265,0.10004807824396167,0.010004807824396167
0.10247247247247247,0.10031908251477295,0.010031908251477295,0.10004876816680058,0.010004876816680058
0.10396396396396396,0.10032601021423677,0.010032601021423677,0.1000494592242397,0.01000494592242397
0.10545545545545547,0.1003326703664296,0.01003326703664296,0.10005015030530327,0.010005015030530327
0.10694694694694695,0.1003391559499153,0.01003391559499153,0.10005084069486209,0.01000508406948621
0.10843843843843844,0.10034592174325052,0.010034592174325053,0.10005153126940858,0.010005153126940858
0.10992992992992995,0.1003522840032048,0.01003522840032048,0.10005222057622845,0.010005222057622845
0.11142142142142142,0.1003586229839714,0.01003586229839714,0.1000529084952772,0.01000529084952772
0.11291291291291292,0.10036573289682282,0.010036573289682282,0.10005359745212924,0.010005359745212924
0.11440440440440441,0.10037347667140387,0.010037347667140387,0.10005434077251062,0.010005434077251062
0.1158958958958959,0.10038090546995387,0.010038090546995388,0.10005514863759231,0.010005514863759231
0.11738738738738738,0.10038833943840543,0.010038833943840543,0.1000559558850159,0.01000559558850159
0.11887887887887888,0.10039510647153528,0.010039510647153528,0.10005676013466208,0.010005676013466209
0.12037037037037036,0.10040182498993237,0.010040182498993237,0.10005756124687798,0.010005756124687798
0.12186186186186188,0.10040963355385589,0.010040963355385589,0.10005836285164978,0.010005836285164977
0.12335335335335337,0.10041827759885734,0.010041827759885734,0.10005916753582443,0.010005916753582443
0.12484484484484486,0.10042640178159624,0.010042640178159624,0.1000599734214912,0.01000599734214912
0.12633633633633634,0.10043445187808275,0.010043445187808276,0.10006078013222083,0.010006078013222083
0.12782782782782784,0.10044169919132998,0.010044169919132998,0.10006158507820898,0.010006158507820898
0.12931931931931934,0.10044888398460891,0.010044888398460891,0.1000624302223739,0.01000624302223739
0.1308108108108108,0.10045601675954528,0.010045601675954528,0.10006332028193213,0.010006332028193213
0.1323023023023023,0.1004630727226905,0.01004630727226905,0.10006420572996692,0.010006420572996692
0.1337937937937938,0.10047007229054994,0.010047007229054994,0.10006508648844552,0.010006508648844552
0.1352852852852853,0.10047861520335162,0.010047861520335162,0.10006596742690418,0.010006596742690419
0.13677677677677683,0.10048751011212352,0.010048751011212352,0.1000668495177507,0.01000668495177507
0.1382682682682683,0.10049599095649411,0.010049599095649411,0.10006773139456249,0.010006773139456249
0.13975975975975977,0.10050410740453875,0.010050410740453875,0.10006861191296096,0.010006861191296096
0.1412512512512513,0.10051195371056797,0.010051195371056797,0.10006949026446847,0.010006949026446848
0.14274274274274276,0.10051960298349227,0.010051960298349228,0.10007036589332466,0.010007036589332465
0.14423423423423426,0.10052752295934902,0.010052752295934903,0.10007123957289539,0.010007123957289539
0.14572572572572576,0.10053470794866001,0.010053470794866001,0.1000721092949994,0.010007210929499941
0.14721721721721723,0.10054287349334229,0.010054287349334229,0.1000729777542986,0.010007297775429861
0.14870870870870873,0.10055178419487212,0.010055178419487212,0.10007384688429231,0.010007384688429231
0.15020020020020025,0.10056031377200216,0.010056031377200216,0.10007471560173442,0.010007471560173443
0.1516916916916917,0.10056897359628303,0.010056897359628303,0.10007558418230919,0.010007558418230918
0.1531831831831832,0.10057673565069766,0.010057673565069767,0.10007645030867468,0.010007645030867467
0.15467467467467472,0.10058492297525935,0.010058492297525935,0.10007731504674545,0.010007731504674546
0.1561661661661662,0.1005934205346973,0.010059342053469731,0.10007817913065017,0.010007817913065018
0.15765765765765768,0.10060166613728747,0.010060166613728747,0.10007904191440234,0.010007904191440233
0.15914914914914918,0.10061017905515189,0.010061017905515189,0.10007990400683742,0.010007990400683741
0.16064064064064065,0.1006185055496827,0.01006185055496827,0.10008076493561947,0.010008076493561948
0.16213213213213215,0.10062736356886536,0.010062736356886535,0.10008162589206804,0.010008162589206804
0.16362362362362368,0.10063593494383205,0.010063593494383205,0.10008248617009285,0.010008248617009285
0.16511511511511512,0.10064426581075725,0.010064426581075725,0.10008334519861725,0.010008334519861726
0.16660660660660662,0.10065291641230659,0.01006529164123066,0.1000842036585273,0.01000842036585273
0.16809809809809814,0.10066067840418651,0.010066067840418651,0.10008505959538466,0.010008505959538467
0.1695895895895896,0.1006702078644641,0.01006702078644641,0.10008591678743425,0.010008591678743425
0.1710810810810811,0.10068113520648522,0.010068113520648523,0.10008677807911112,0.010008677807911112
0.1725725725725726,0.10069140198136559,0.010069140198136558,0.10008764193368014,0.010008764193368014
0.17406406406406408,0.10070165359034652,0.010070165359034652,0.10008850819641203,0.010008850819641204
0.17555555555555558,0.10071067515209167,0.010071067515209167,0.10008937426283135,0.010008937426283135
0.1770470470470471,0.10071948646282455,0.010071948646282455,0.10009023966895567,0.010009023966895566
0.17853853853853854,0.10072809893798462,0.010072809893798463,0.10009110399285562,0.010009110399285561
0.18003003003003004,0.10073710855640268,0.010073710855640268,0.10009196798732724,0.010009196798732724
0.18152152152152157,0.10074517186605011,0.01007451718660501,0.10009282980091258,0.010009282980091258
0.18301301301301304,0.1007532583677817,0.01007532583677817,0.1000936894915782,0.01000936894915782
0.1845045045045045,0.10076132026347794,0.010076132026347794,0.1000945470263042,0.01000945470263042
0.18599599599599603,0.10077026998940265,0.010077026998940265,0.1000954040533627,0.01000954040533627
0.1874874874874875,0.10078054547176257,0.010078054547176257,0.10009626295381822,0.010009626295381822
0.188978978978979,0.10078962044512635,0.010078962044512635,0.10009712147808186,0.010009712147808186
0.19047047047047053,0.1007985361831007,0.01007985361831007,0.10009797931067382,0.010009797931067382
0.19196196196196197,0.10080728498672599,0.010080728498672599,0.10009883613493387,0.010009883613493387
0.19345345345345347,0.1008165127911429,0.01008165127911429,0.1000996927656185,0.01000996927656185
0.194944944944945,0.10082473329303371,0.01008247332930337,0.10010054744298309,0.01001005474429831
0.19643643643643646,0.10083298732183214,0.010083298732183214,0.10010140023406319,0.01001014002340632
0.19792792792792793,0.10084122200071184,0.010084122200071184,0.10010225111547705,0.010010225111547704
0.19941941941941946,0.10084943204439603,0.010084943204439603,0.10010310005642516,0.010010310005642516
0.20091091091091093,0.10085979392266554,0.010085979392266554,0.10010395057680502,0.010010395057680501
0.20240240240240243,0.10087045171076482,0.010087045171076482,0.10010480308045468,0.010010480308045468
0.20389389389389395,0.10088073860585517,0.010088073860585517,0.10010565689264643,0.010010565689264643
0.2053853853853854,0.10089064887512524,0.010089064887512524,0.10010651135204227,0.010010651135204227
0.2068768768768769,0.10090093654596295,0.010090093654596295,0.10010736699839658,0.010010736699839658
0.20836836836836842,0.10090999304982341,0.010090999304982341,0.10010822186549431,0.010010822186549431
0.2098598598598599,0.10091897666058539,0.010091897666058539,0.10010907582577153,0.010010907582577153
0.21135135135135136,0.1009278540173427,0.010092785401734269,0.10010992870584223,0.010010992870584223
0.21284284284284288,0.10093734748546863,0.010093734748546863,0.10011078141909441,0.01001107814190944
0.21433433433433435,0.10094633315147858,0.010094633315147858,0.10011163318503422,0.010011163318503422
0.21582582582582585,0.1009558827458226,0.010095588274582259,0.10011249621593163,0.010011249621593162
0.21731731731731738,0.10096528606031449,0.01009652860603145,0.10011338865515147,0.010011338865515147
0.21880880880880882,0.10097526123752885,0.010097526123752885,0.10011428106602167,0.010011428106602167
0.22030030030030032,0.10098405733614314,0.010098405733614315,0.10011517166323003,0.010011517166323003
0.22179179179179184,0.10099287047298731,0.010099287047298731,0.10011606048113916,0.010011606048113917
0.2232832832832833,0.10100164544914332,0.010100164544914332,0.10011694747296936,0.010011694747296936
0.22477477477477478,0.10101114208929901,0.0101011142089299,0.1001178336868975,0.01001178336868975
0.2262662662662663,0.10102031341577869,0.01010203134157787,0.10011871864622719,0.01001187186462272
0.22775775775775778,0.10103024932229229,0.01010302493222923,0.10011960342562126,0.010011960342562127
0.2292492492492493,0.10103998576657036,0.010103998576657036,0.10012048772097551,0.010012048772097552
0.23074074074074077,0.10105032461847732,0.010105032461847732,0.10012137234529808,0.010012137234529808
0.23223223223223224,0.10105942133312394,0.010105942133312394,0.10012228011221043,0.010012228011221043
0.23372372372372374,0.10106852543829012,0.010106852543829013,0.10012319520499913,0.010012319520499913
0.23521521521521527,0.10107757368327307,0.010107757368327306,0.10012410840560788,0.010012410840560789
0.23670670670670677,0.10108798431278451,0.010108798431278451,0.10012502159969301,0.010012502159969301
0.23819819819819824,0.10109771547495944,0.010109771547495944,0.10012593383368178,0.010012593383368178
0.2396896896896897,0.10110736952946385,0.010110736952946385,0.10012684499587073,0.010012684499587072
0.2411811811811812,0.1011168923017865,0.01011168923017865,0.10012775490592986,0.010012775490592986
0.24267267267267273,0.1011271482688188,0.01011271482688188,0.1001286645314908,0.01001286645314908
0.2441641641641642,0.10113612299521807,0.010113612299521808,0.10012957217511995,0.010012957217511994
0.2456556556556557,0.10114595408100635,0.010114595408100635,0.10013047896062831,0.01001304789606283
0.24714714714714717,0.10115646564815971,0.01011564656481597,0.1001313857523985,0.01001313857523985
0.2486386386386387,0.1011676194445433,0.010116761944454331,0.10013229334113163,0.010013229334113163
0.25013013013013013,0.10117733339601467,0.010117733339601467,0.1001331998718995,0.010013319987189951
0.2516216216216216,0.10118699460115288,0.010118699460115288,0.10013410527485511,0.01001341052748551
0.25311311311311313,0.10119655393442836,0.010119655393442836,0.10013500942167934,0.010013500942167934
0.25460460460460466,0.10120693492064405,0.010120693492064405,0.10013591331848191,0.010013591331848192
0.2560960960960961,0.10121597495972764,0.010121597495972764,0.10013681531953073,0.010013681531953072
0.2575875875875876,0.1012250782276586,0.01012250782276586,0.10013771551421956,0.010013771551421956
0.25907907907907907,0.10123563253246323,0.010123563253246324,0.1001386156410456,0.01001386156410456
0.2605705705705706,0.10124841398682861,0.010124841398682862,0.10013954078695975,0.010013954078695975
0.26206206206206206,0.1012595153970254,0.01012595153970254,0.10014047470836121,0.010014047470836122
0.26355355355355364,0.1012703931918933,0.010127039319189329,0.10014140854145304,0.010014140854145304
0.26504504504504506,0.10128102251801886,0.010128102251801887,0.10014234196919193,0.010014234196919193
0.2665365365365366,0.10129242088400828,0.010129242088400828,0.10014327588285812,0.010014327588285812
0.26802802802802805,0.10130228631253008,0.010130228631253008,0.10014420845942362,0.010014420845942363
0.2695195195195195,0.10131213201731505,0.010131213201731505,0.10014513967885441,0.010014513967885441
0.2710110110110111,0.10132275758688837,0.010132275758688837,0.10014607043928445,0.010014607043928444
0.2725025025025026,0.10133508035794671,0.01013350803579467,0.10014700265871736,0.010014700265871736
0.273993993993994,0.10134572902553929,0.010134572902553929,0.10014793439998575,0.010014793439998575
0.2754854854854855,0.10135626043979827,0.010135626043979827,0.10014886551917423,0.010014886551917424
0.276976976976977,0.10136662924596863,0.010136662924596864,0.10014979582599512,0.010014979582599512
