z_cm,r_cm,T_cell_HeV
0.00026881720430107527,7.168458781362007e-05,1866486.3982116815
0.00026881720430107527,0.0002867383512544803,1866486.3982116815
0.00026881720430107527,0.0005734767025089606,1866485.99204111
0.00026881720430107527,0.0008602150537634409,1866485.2609236657
0.00026881720430107527,0.0011469534050179211,1866484.216446445
0.00026881720430107527,0.0014336917562724014,1866482.8624525801
0.00026881720430107527,0.0017204301075268817,1866481.2006678793
0.00026881720430107527,0.002007168458781362,1866479.2319992916
0.00026881720430107527,0.0022939068100358423,1866476.9569677298
0.00026881720430107527,0.0025806451612903226,1866474.3758862892
0.00026881720430107527,0.002867383512544803,1866471.4889446658
0.00026881720430107527,0.003154121863799283,1866468.2962533701
0.00026881720430107527,0.0034408602150537634,1866464.7978687154
0.00026881720430107527,0.0037275985663082437,1866460.993807803
0.00026881720430107527,0.004014336917562724,1866456.8840579563
0.00026881720430107527,0.004301075268817204,1866452.4685828956
0.00026881720430107527,0.004587813620071685,1866447.7473269145
0.00026881720430107527,0.004874551971326165,1866442.720217789
0.00026881720430107527,0.005161290322580645,1866437.3871688475
0.00026881720430107527,0.0054480286738351254,1866431.7480804776
0.00026881720430107527,0.005734767025089606,1866425.802841241
0.00026881720430107527,0.006021505376344086,1866419.55132871
0.00026881720430107527,0.006308243727598566,1866412.993410107
0.00026881720430107527,0.006594982078853047,1866406.1289427937
0.00026881720430107527,0.006881720430107527,1866398.957774651
0.00026881720430107527,0.007168458781362007,1866391.4797443775
0.00026881720430107527,0.0074551971326164874,1866383.6946817231
0.00026881720430107527,0.007741935483870968,1866375.6024076715
0.00026881720430107527,0.008028673835125448,1866367.2027345865
0.00026881720430107527,0.008315412186379928,1866358.4954663243
0.00026881720430107527,0.008602150537634409,1866349.4803983225
0.00026881720430107527,0.008888888888888889,1866340.1573176687
0.00026881720430107527,0.00917562724014337,1866330.5260031521
0.00026881720430107527,0.00946236559139785,1866320.5862253003
0.00026881720430107527,0.00974910394265233,1866310.337746406
0.00026881720430107527,0.01003584229390681,1866299.7803205436
0.00026881720430107527,0.01032258064516129,1866288.9136935766
0.00026881720430107527,0.01060931899641577,1866277.737603159
0.00026881720430107527,0.010896057347670251,1866266.2517787288
0.00026881720430107527,0.011182795698924731,1866254.4559414985
0.00026881720430107527,0.011469534050179211,1866242.3498044377
0.00026881720430107527,0.011756272401433692,1866229.9330722545
0.00026881720430107527,0.012043010752688172,1866217.2054413692
0.00026881720430107527,0.012329749103942652,1866204.166599889
0.00026881720430107527,0.012616487455197133,1866190.8162275753
0.00026881720430107527,0.012903225806451613,1866177.1539958103
0.00026881720430107527,0.013189964157706093,1866163.1795675603
0.00026881720430107527,0.013476702508960573,1866148.8925973354
0.00026881720430107527,0.013763440860215054,1866134.292731148
0.00026881720430107527,0.014050179211469534,1866119.379606468
0.00026881720430107527,0.014336917562724014,1866104.1528521758
0.00026881720430107527,0.014623655913978495,1866088.6120885129
0.00026881720430107527,0.014910394265232975,1866072.7569270323
0.00026881720430107527,0.015197132616487455,1866056.5869705414
0.00026881720430107527,0.015483870967741937,1866040.1018130502
0.00026881720430107527,0.015770609318996417,1866023.301039711
0.00026881720430107527,0.016057347670250896,1866006.1842267604
0.00026881720430107527,0.016344086021505375,1865988.750941455
0.00026881720430107527,0.016630824372759857,1865971.0007420108
0.00026881720430107527,0.01691756272401434,1865952.9331775343
0.00026881720430107527,0.017204301075268817,1865934.5477879562
0.00026881720430107527,0.017491039426523296,1865915.8441039613
0.00026881720430107527,0.017777777777777778,1865896.8216469157
0.00026881720430107527,0.01806451612903226,1865877.4799287934
0.00026881720430107527,0.01835125448028674,1865857.818452099
0.00026881720430107527,0.018637992831541217,1865837.836709791
0.00026881720430107527,0.0189247311827957,1865817.5341852
0.00026881720430107527,0.01921146953405018,1865796.9103519456
0.00026881720430107527,0.01949820788530466,1865775.9646738528
0.00026881720430107527,0.019784946236559138,1865754.6966048637
0.00026881720430107527,0.02007168458781362,1865733.10558895
0.00026881720430107527,0.020358422939068102,1865711.1910600176
0.00026881720430107527,0.02064516129032258,1865688.9524418167
0.00026881720430107527,0.02093189964157706,1865666.389147842
0.00026881720430107527,0.02121863799283154,1865643.500581237
0.00026881720430107527,0.021505376344086023,1865620.286134688
0.00026881720430107527,0.021792114695340502,1865596.745190325
0.00026881720430107527,0.02207885304659498,1865572.8771196117
0.00026881720430107527,0.022365591397849462,1865548.6812832376
0.00026881720430107527,0.022652329749103944,1865524.1570310069
0.00026881720430107527,0.022939068100358423,1865499.3037017211
0.00026881720430107527,0.0232258064516129,1865474.120623064
0.00026881720430107527,0.023512544802867383,1865448.6071114803
0.00026881720430107527,0.023799283154121866,1865422.7624720526
0.00026881720430107527,0.024086021505376344,1865396.5859983738
0.00026881720430107527,0.024372759856630823,1865370.0769724182
0.00026881720430107527,0.024659498207885305,1865343.23466441
0.00026881720430107527,0.024946236559139787,1865316.0583326847
0.00026881720430107527,0.025232974910394265,1865288.547223552
0.00026881720430107527,0.025519713261648744,1865260.7005711521
0.00026881720430107527,0.025806451612903226,1865232.517597309
0.00026881720430107527,0.026093189964157708,1865203.9975113817
0.00026881720430107527,0.026379928315412186,1865175.1395101089
0.00026881720430107527,0.026666666666666665,1865145.9427774537
0.00026881720430107527,0.026953405017921147,1865116.4064844404
0.00026881720430107527,0.02724014336917563,1865086.5297889905
0.00026881720430107527,0.027526881720430108,1865056.3118357523
0.00026881720430107527,0.027813620071684586,1865025.7517559282
0.00026881720430107527,0.028100358422939068,1864994.8486670954
0.00026881720430107527,0.02838709677419355,1864963.6016730254
0.00026881720430107527,0.02867383512544803,1864932.009863495
0.00026881720430107527,0.028960573476702507,1864900.072314095
0.00026881720430107527,0.02924731182795699,1864867.7880860353
0.00026881720430107527,0.02953405017921147,1864835.1562259407
0.00026881720430107527,0.02982078853046595,1864802.1757656457
0.00026881720430107527,0.03010752688172043,1864768.845721983
0.00026881720430107527,0.03039426523297491,1864735.165096564
0.00026881720430107527,0.030681003584229392,1864701.1328755578
0.00026881720430107527,0.03096774193548387,1864666.7480294614
0.00026881720430107527,0.031254480286738356,1864632.0095128648
0.00026881720430107527,0.031541218637992835,1864596.9162642104
0.00026881720430107527,0.031827956989247314,1864561.4672055459
0.00026881720430107527,0.03211469534050179,1864525.6612422701
0.00026881720430107527,0.03240143369175627,1864489.497262873
0.00026881720430107527,0.03268817204301075,1864452.9741386676
0.00026881720430107527,0.03297491039426523,1864416.090723516
0.00026881720430107527,0.03326164874551971,1864378.8458535476
0.00026881720430107527,0.0335483870967742,1864341.238346869
0.00026881720430107527,0.03383512544802868,1864303.2670032661
0.00026881720430107527,0.034121863799283156,1864264.9306039012
0.00026881720430107527,0.034408602150537634,1864226.2279109948
0.00026881720430107527,0.03469534050179211,1864187.1576675074
0.00026881720430107527,0.03498207885304659,1864147.7185968054
0.00026881720430107527,0.03526881720430107,1864107.90940232
