z_cm,r_cm,T_cell_HeV
7.575757575757576e-05,2.5252525252525253e-05,1495745.7927168503
7.575757575757576e-05,0.00010101010101010101,1495745.7927168503
7.575757575757576e-05,0.00020202020202020202,1495716.6076383477
7.575757575757576e-05,0.00030303030303030303,1495664.0536491086
7.575757575757576e-05,0.00040404040404040404,1495588.9292805074
7.575757575757576e-05,0.000505050505050505,1495491.4625019971
7.575757575757576e-05,0.0006060606060606061,1495371.714968641
7.575757575757576e-05,0.0007070707070707071,1495229.6752227994
7.575757575757576e-05,0.0008080808080808081,1495065.2896528544
7.575757575757576e-05,0.0009090909090909091,1494878.4751196234
7.575757575757576e-05,0.00101010101010101,1494669.1248068546
7.575757575757576e-05,0.0011111111111111111,1494437.1111478854
7.575757575757576e-05,0.0012121212121212121,1494182.2873353546
7.575757575757576e-05,0.0013131313131313131,1493904.488076381
7.575757575757576e-05,0.0014141414141414141,1493603.5299114054
7.575757575757576e-05,0.0015151515151515152,1493279.2112604715
7.575757575757576e-05,0.0016161616161616162,1492931.3122858775
7.575757575757576e-05,0.0017171717171717172,1492559.594621465
7.575757575757576e-05,0.0018181818181818182,1492163.8009977094
7.575757575757576e-05,0.0019191919191919192,1491743.6547796868
7.575757575757576e-05,0.00202020202020202,1491298.8594277392
7.575757575757576e-05,0.002121212121212121,1490829.097886126
7.575757575757576e-05,0.0022222222222222222,1490334.0319019628
7.575757575757576e-05,0.0023232323232323234,1489813.3012747013
7.575757575757576e-05,0.0024242424242424242,1489266.5230348925
7.575757575757576e-05,0.002525252525252525,1488693.2905498354
7.575757575757576e-05,0.0026262626262626263,1488093.1725527225
7.575757575757576e-05,0.0027272727272727275,1487465.7120910808
7.575757575757576e-05,0.0028282828282828283,1486810.4253894878
7.575757575757576e-05,0.002929292929292929,1486126.8006207955
7.575757575757576e-05,0.0030303030303030303,1485414.2965792916
7.575757575757576e-05,0.0031313131313131315,1484672.341248421
7.575757575757576e-05,0.0032323232323232323,1483900.3302548088
7.575757575757576e-05,0.003333333333333333,1483097.6251993787
7.575757575757576e-05,0.0034343434343434343,1482263.5518553262
7.575757575757576e-05,0.0035353535353535356,1481397.398221556
7.575757575757576e-05,0.0036363636363636364,1480498.4124189191
7.575757575757576e-05,0.003737373737373737,1479565.8004151727
7.575757575757576e-05,0.0038383838383838384,1478598.7235629833
7.575757575757576e-05,0.003939393939393939,1477596.2959335225
7.575757575757576e-05,0.00404040404040404,1476557.5814261714
7.575757575757576e-05,0.004141414141414141,1475481.5906325972
7.575757575757576e-05,0.004242424242424242,1474367.2774308738
7.575757575757576e-05,0.004343434343434344,1473213.5352824
7.575757575757576e-05,0.0044444444444444444,1472019.1932010478
7.575757575757576e-05,0.004545454545454545,1470783.0113601708
7.575757575757576e-05,0.004646464646464647,1469503.6762987752
7.575757575757576e-05,0.004747474747474748,1468179.795683181
7.575757575757576e-05,0.0048484848484848485,1466809.8925747976
7.575757575757576e-05,0.004949494949494949,1465392.3991480633
7.575757575757576e-05,0.00505050505050505,1463925.6497950081
7.575757575757576e-05,0.005151515151515152,1462407.8735441163
7.575757575757576e-05,0.0052525252525252525,1460837.1857109617
7.575757575757576e-05,0.005353535353535353,1459211.578686216
7.575757575757576e-05,0.005454545454545455,1457528.911752757
7.575757575757576e-05,0.005555555555555556,1455786.899807372
7.575757575757576e-05,0.0056565656565656566,1453983.1008434375
7.575757575757576e-05,0.005757575757575757,1452114.9020284757
7.575757575757576e-05,0.005858585858585858,1450179.5041838258
7.575757575757576e-05,0.00595959595959596,1448173.9044420607
7.575757575757576e-05,0.006060606060606061,1446094.8768200537
7.575757575757576e-05,0.006161616161616161,1443938.9504004882
7.575757575757576e-05,0.006262626262626263,1441702.38476035
7.575757575757576e-05,0.006363636363636364,1439381.1422194894
7.575757575757576e-05,0.006464646464646465,1436970.8564029408
7.575757575757576e-05,0.0065656565656565654,1434466.7965139663
7.575757575757576e-05,0.006666666666666666,1431863.8265963364
7.575757575757576e-05,0.006767676767676768,1429156.3589185462
7.575757575757576e-05,0.006868686868686869,1426338.30043212
7.575757575757576e-05,0.0069696969696969695,1423402.9910313701
7.575757575757576e-05,0.007070707070707071,1420343.1320602484
7.575757575757576e-05,0.007171717171717172,1417150.7031566103
7.575757575757576e-05,0.007272727272727273,1413816.8650728492
7.575757575757576e-05,0.0073737373737373735,1410331.8455343093
7.575757575757576e-05,0.007474747474747474,1406684.8044519261
7.575757575757576e-05,0.007575757575757576,1402863.6738366561
7.575757575757576e-05,0.007676767676767677,1398854.9664916832
7.575757575757576e-05,0.0077777777777777776,1394643.5458735877
7.575757575757576e-05,0.007878787878787877,1390212.3472582602
7.575757575757576e-05,0.00797979797979798,1385542.0372946602
7.575757575757576e-05,0.00808080808080808,1380610.5948484563
7.575757575757576e-05,0.008181818181818182,1375392.790237369
7.575757575757576e-05,0.008282828282828284,1369859.5318016622
7.575757575757576e-05,0.008383838383838382,1363977.0371048162
7.575757575757576e-05,0.008484848484848484,1357705.7691548856
7.575757575757576e-05,0.008585858585858586,1350999.0530649512
7.575757575757576e-05,0.008686868686868687,1343801.25095637
7.575757575757576e-05,0.008787878787878789,1336045.315023916
7.575757575757576e-05,0.008888888888888889,1327649.447466868
7.575757575757576e-05,0.008989898989898989,1318512.4484013775
7.575757575757576e-05,0.00909090909090909,1308507.0868578148
7.575757575757576e-05,0.009191919191919192,1297470.405797215
7.575757575757576e-05,0.009292929292929294,1285189.1117144953
7.575757575757576e-05,0.009393939393939395,1271376.7729679097
7.575757575757576e-05,0.009494949494949494,1255636.7264689766
7.575757575757576e-05,0.009595959595959595,1237398.6209554528
7.575757575757576e-05,0.009696969696969697,1215802.8332334112
7.575757575757576e-05,0.009797979797979799,1189472.1901368336
7.575757575757576e-05,0.0098989898989899,1156009.2748299888
7.575757575757576e-05,0.009974747474747475,216876.18575013313
0.00030303030303030303,2.5252525252525253e-05,1485526.1152143972
0.00030303030303030303,0.00010101010101010101,1485526.1152143972
0.00030303030303030303,0.00020202020202020202,1485495.054363835
0.00030303030303030303,0.00030303030303030303,1485439.1219161807
0.00030303030303030303,0.00040404040404040404,1485359.1665137156
0.00030303030303030303,0.000505050505050505,1485255.4290686136
0.00030303030303030303,0.0006060606060606061,1485127.972985183
0.00030303030303030303,0.0007070707070707071,1484976.783343337
0.00030303030303030303,0.0008080808080808081,1484801.7998365099
0.00030303030303030303,0.0009090909090909091,1484602.9301967914
0.00030303030303030303,0.00101010101010101,1484380.0564063622
0.00030303030303030303,0.0011111111111111111,1484133.0377948117
0.00030303030303030303,0.0012121212121212121,1483861.712625988
0.00030303030303030303,0.0013131313131313131,1483565.8988792414
0.00030303030303030303,0.0014141414141414141,1483245.3945635732
0.00030303030303030303,0.0015151515151515152,1482899.9777388275
0.00030303030303030303,0.0016161616161616162,1482529.4063383953
0.00030303030303030303,0.0017171717171717172,1482133.4178467146
0.00030303030303030303,0.0018181818181818182,1481711.7288623783
0.00030303030303030303,0.0019191919191919192,1481264.0345647559
0.00030303030303030303,0.00202020202020202,1480790.0080942996
0.00030303030303030303,0.002121212121212121,1480289.2998518269
0.00030303030303030303,0.0022222222222222222,1479761.5367188777
0.00030303030303030303,0.0023232323232323234,1479206.3211990017
0.00030303030303030303,0.0024242424242424242,1478623.2304782004
0.00030303030303030303,0.002525252525252525,1478011.815401454
0.00030303030303030303,0.0026262626262626263,1477371.5993611903
0.00030303030303030303,0.0027272727272727275,1476702.0770925777
0.00030303030303030303,0.0028282828282828283,1476002.713369625
0.00030303030303030303,0.002929292929292929,1475272.941595158
0.00030303030303030303,0.0030303030303030303,1474512.162276825
0.00030303030303030303,0.0031313131313131315,1473719.7413802973
0.00030303030303030303,0.0032323232323232323,1472895.008549795
0.00030303030303030303,0.003333333333333333,1472037.2551849172
0.00030303030303030303,0.0034343434343434343,1471145.7323615036
0.00030303030303030303,0.0035353535353535356,1470219.6485828646
0.00030303030303030303,0.0036363636363636364,1469258.1673461646
