z_cm,r_cm,T_cell_HeV
0.00039473684210526315,0.00013157894736842105,1608230.231883771
0.00039473684210526315,0.0005263157894736842,1608230.231883771
0.00039473684210526315,0.0010526315789473684,1607883.6434531177
0.00039473684210526315,0.0015789473684210526,1607255.497574166
0.00039473684210526315,0.002105263157894737,1606348.2267117894
0.00039473684210526315,0.002631578947368421,1605154.1545352428
0.00039473684210526315,0.003157894736842105,1603659.834691641
0.00039473684210526315,0.0036842105263157894,1601846.4809785222
0.00039473684210526315,0.004210526315789474,1599689.3772525312
0.00039473684210526315,0.004736842105263157,1597156.6851018136
0.00039473684210526315,0.005263157894736842,1594207.6264505743
0.00039473684210526315,0.005789473684210527,1590789.8376485198
0.00039473684210526315,0.00631578947368421,1586835.5190648392
0.00039473684210526315,0.006842105263157894,1582255.7531901083
0.00039473684210526315,0.007368421052631579,1576931.948302192
0.00039473684210526315,0.007894736842105263,1570702.6384245227
0.00039473684210526315,0.008421052631578947,1563342.550485336
0.00039473684210526315,0.008947368421052631,1554528.344735849
0.00039473684210526315,0.009473684210526315,1543780.4222470787
0.00039473684210526315,0.009869046052631579,1389890.9643174985
0.00039473684210526315,0.010002625448301763,1153339.3701966482
0.00039473684210526315,0.010005652421151081,1152377.218397329
0.00039473684210526315,0.010009286959765887,1151219.676881951
0.00039473684210526315,0.010013651013095764,1149826.502471381
0.00039473684210526315,0.0100188910073521,1148148.9045812048
0.00039473684210526315,0.010025182759017568,1146127.6089962316
0.00039473684210526315,0.010032737373981516,1143690.4254091657
0.00039473684210526315,0.010041808330733783,1140749.1634650198
0.00039473684210526315,0.010052699985277956,1137195.6795416959
0.00039473684210526315,0.010065777783127661,1132896.7416522524
0.00039473684210526315,0.010081480521027043,1127687.2518537664
0.00039473684210526315,0.01010033506981044,1121361.1273161254
0.00039473684210526315,0.01012297405239446,1113658.7442722826
0.00039473684210526315,0.01015015707004858,1104249.1617301612
0.00039473684210526315,0.010182796189145114,1092704.098744859
0.00039473684210526315,0.010221986543540378,1078458.2764194626
0.00039473684210526315,0.010269043079382657,1060745.9771473976
0.00039473684210526315,0.010325544675238173,1038493.3949968915
