time_ns,front_position_marshak_cm,front_position_gold_loss_cm,front_position_gold_loss_lam_eff_cm,front_position_gold_loss_lam_eff_power_1_cm,front_position_gold_loss_lam_eff_power_2_cm
0.01,0.0,0.0,0.0,0.0,0.0
0.012992992992992993,9.85445133304208e-05,9.85445133304208e-05,8.172633320742144e-05,8.172632652733848e-05,8.172633320741714e-05
0.01598598598598599,0.00022897560799969312,0.00021395347347626418,0.00017697284124295034,0.00017511656320370097,0.00017643419783248021
0.01897897897897898,0.0003589270610589512,0.0003217191898861611,0.000246469316979904,0.00024009814713938223,0.00024478297499592577
0.021971971971971975,0.0004658188145603647,0.0004032975810444427,0.0003043895484042372,0.000295201761981548,0.0003020206940888486
0.024964964964964968,0.0005761211218936375,0.0005012845475685745,0.0003826013088596779,0.0003685996097523732,0.00037911619056544817
0.02795795795795796,0.0006833527554853648,0.0005968560969027317,0.00045042488486531253,0.0004326414056548028,0.0004462673449059731
0.030950950950950955,0.0007842853300968699,0.0006849283910913187,0.0005107835885462079,0.0004885858480173448,0.0005057056610245633
0.03394394394394395,0.0008883497521170245,0.0007791924182861488,0.000575250747604543,0.0005492006656757205,0.0005694487674031947
0.03693693693693694,0.000995659609257793,0.0008662425598478277,0.0006410516595541712,0.000611409659967191,0.0006346259003606046
0.039929929929929935,0.0010986271746972571,0.0009391650174314794,0.0007044687783978492,0.000668849226378956,0.0006970347286024075
0.04292292292292293,0.0011966967623091404,0.0010148058607287317,0.0007520467243309139,0.0007173581021764244,0.0007447113197618472
0.04591591591591592,0.0012955997354566666,0.001095535152116312,0.0007894627054298091,0.0007597788858665326,0.0007829503705587482
0.048908908908908914,0.0013975674177554613,0.0011798387045300052,0.0008378982260978543,0.0008051718507446055,0.0008309960872636914
0.05190190190190191,0.0014976538073126894,0.0012619330491531627,0.0008875921543922821,0.0008500434198957506,0.0008800103256767356
0.0548948948948949,0.0015938741411310377,0.001345438164115436,0.0009318012715810209,0.0008907179200528321,0.0009236919917806423
0.057887887887887894,0.0016894295449193543,0.0014224616748118903,0.0009749206726831222,0.0009309042314425537,0.0009663659176840187
0.06088088088088089,0.0017830555552837877,0.0014856322667071613,0.0010168422345878591,0.0009698026538196531,0.0010078383403916485
0.06387387387387387,0.0018787530573590955,0.0015537587670403552,0.001060945846128484,0.0010107471535908648,0.0010514733229025012
0.06686686686686687,0.0019813269293741005,0.0016333688667104272,0.001110833188996633,0.001057525722044641,0.001100899757748742
0.06985985985985986,0.002081386074591441,0.0017109301096726755,0.0011565197408903581,0.0011000813910578156,0.0011461244319278304
0.07285285285285285,0.0021814823028415333,0.0017880599844843632,0.0012011224368959211,0.0011414523827311623,0.001190248289684946
0.07584584584584585,0.0022829635275075097,0.0018669295594961287,0.001251212962413921,0.0011842283221030366,0.0012370160945103697
0.07883883883883884,0.0023863609431766675,0.0019557854688418527,0.0013002292164619373,0.001228433283326294,0.0012868102240166563
0.08183183183183183,0.0024949716770708685,0.0020448125232110487,0.0013442321580814476,0.0012862263171247055,0.0013367283634601154
0.08482482482482483,0.0026006586383098412,0.002115428787643885,0.001382350572598211,0.001332238947066088,0.001376539889672542
0.08781781781781782,0.002706256243679847,0.002186298255350622,0.0014210876174189466,0.001357660722288001,0.0014141022631483007
0.09081081081081081,0.0028169976916088595,0.0022666103256430625,0.0014658283570458707,0.0013913541437284896,0.0014576212082931229
0.0938038038038038,0.0029288119484731506,0.002349940925461657,0.001510999364779212,0.001432558583180942,0.0015022189427192352
0.0967967967967968,0.0030397491314196703,0.002432501768716597,0.0015538782107009695,0.0014736518549340544,0.001544753407319472
0.09978978978978979,0.0031435677678669136,0.00251392753800252,0.0015891912481462332,0.0015063459091082566,0.0015796388480969394
0.10278278278278279,0.003246618287448085,0.0025921472137262203,0.0016246995929579473,0.0015385706582475144,0.0016146202043120185
0.10577577577577578,0.0033579259781521633,0.0026689283949037582,0.001669470579291852,0.0015802757343213905,0.0016588701665560242
0.10876876876876877,0.0034723429990196355,0.0027481610848723464,0.0017162057509739765,0.0016242162519836398,0.0017051298063894696
