index,x,y
0,0.05415162454873651,0.052910052910050354
1,0.08303249097472937,0.052910052910050354
2,0.10830324909747308,0.052910052910050354
3,0.14079422382671497,0.10582010582010781
4,0.1841155234657042,0.10582010582010781
5,0.22743682310469343,0.052910052910050354
6,0.2707581227436822,0.052910052910050354
7,0.3176895306859208,0.15873015873015817
8,0.36101083032491005,0.15873015873015817
9,0.41155234657039746,0.15873015873015817
10,0.4584837545126355,0.21164021164021563
11,0.5270758122743682,0.264550264550266
12,0.5667870036101086,0.3703703703703738
13,0.6101083032490977,0.4761904761904745
14,0.6714801444043323,0.4761904761904745
15,0.7256317689530685,0.5820105820105823
16,0.7617328519855595,0.6878306878306901
17,0.8303249097472922,0.8465608465608483
18,0.9169675090252707,1.1640211640211646
19,1.0036101083032491,1.3756613756613802
20,1.140794223826715,1.904761904761905
21,1.2129963898916967,2.275132275132279
22,1.3718411552346572,3.0158730158730194
23,1.4945848375451267,3.597883597883598
24,1.6245487364620939,4.232804232804234
25,1.7148014440433217,4.6560846560846585
26,1.815884476534296,5.185185185185187
27,1.916967509025271,5.555555555555557
28,1.9855595667870034,5.8730158730158735
29,2.0866425992779782,6.296296296296298
30,2.1516245487364625,6.666666666666668
31,2.2490974729241877,6.984126984126988
32,2.3574007220216613,7.460317460317462
33,2.4512635379061374,7.93650793650794
34,2.55956678700361,8.412698412698418
35,2.6462093862815883,8.67724867724868
36,2.7256317689530682,8.941798941798943
37,2.8122743682310465,9.25925925925926
38,2.895306859205776,9.523809523809526
39,2.967509025270758,9.682539682539684
