time_ns,E_marshak_hJ,E_foam_gold_loss_hJ,E_wall_gold_loss_hJ,E_foam_gold_loss_lam_eff_hJ,E_wall_gold_loss_lam_eff_hJ,E_foam_gold_loss_lam_eff_power_1_hJ,E_wall_gold_loss_lam_eff_power_1_hJ,E_foam_gold_loss_lam_eff_power_2_hJ,E_wall_gold_loss_lam_eff_power_2_hJ
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012992992992992993,7.07417248959491e-05,7.07417248959491e-05,0.0,7.07417248959491e-05,0.0,7.07417248959491e-05,0.0,7.07417248959491e-05,0.0
0.01598598598598599,0.00020662016092477567,0.000205176745812902,2.8868302237473953e-06,0.0001985158258028262,5.280841127953217e-06,0.00019851582552377178,5.280841225464992e-06,0.00019851582580282618,5.2808411279532205e-06
0.01897897897897898,0.000329621614543878,0.00032560598582472255,5.369192202526494e-06,0.0003074772035305261,8.514699110132393e-06,0.0003069866642099333,8.590163621002419e-06,0.00030743573381512184,8.521086718022759e-06
0.021971971971971975,0.00045131581124824543,0.00044540885205602497,7.3695326503178804e-06,0.00042056466503629535,1.0749139586974632e-05,0.00041842116878853614,1.0965752345393827e-05,0.000420354843364283,1.0770984587245805e-05
0.024964964964964968,0.0005760242414313988,0.0005685522600159176,9.3831578218189e-06,0.0005394536357752913,1.3002526994758792e-05,0.0005348706626311422,1.334835584322074e-05,0.0005389722534186174,1.3039054869521094e-05
0.02795795795795796,0.000695760907651724,0.0006867240767489471,1.134765244274403e-05,0.0006530603360775092,1.5165793008554706e-05,0.0006457706578800334,1.5638501493128886e-05,0.0006522706725333588,1.5216885245773646e-05
0.030950950950950955,0.0008220363171826321,0.0008115379686728312,1.3230294464314774e-05,0.0007739513645924274,1.7186238499634556e-05,0.0007635543924659441,1.779353190867635e-05,0.0007727796099576991,1.7254918791398633e-05
0.03394394394394395,0.0009546489304866633,0.0009427497240220311,1.5133017575777152e-05,0.0009017985086438678,1.921154461221255e-05,0.0008877915788790497,1.9960325296006086e-05,0.0009001462912916887,1.9299476205686394e-05
0.03693693693693694,0.001082929183328405,0.001069627095516008,1.7053642760834216e-05,0.0010253381529955797,2.124654977159866e-05,0.0010072182167896423,2.2142917058535402e-05,0.0010231149771669902,2.135547073808557e-05
0.039929929929929935,0.0012080119467799146,0.0011916265860870163,2.2364715374077536e-05,0.0011444036536493486,2.62233336212093e-05,0.0011217640390058469,2.7219339471150952e-05,0.0011415063006872527,2.6363144871179118e-05
0.04292292292292293,0.001337585707238519,0.0013170838985285592,2.6727143358878486e-05,0.001267344483734939,3.062197168354359e-05,0.001239802669087435,3.186028457646897e-05,0.0012636678943510776,3.080505887676842e-05
0.04591591591591592,0.0014711161980212335,0.0014476646275049857,3.035048953414881e-05,0.0013954672378393518,3.427595974376767e-05,0.0013626127848329,3.5745707260888457e-05,0.0013909225867436649,3.450083902433907e-05
0.048908908908908914,0.0016013718454838913,0.0015753641824941733,3.4130957885129336e-05,0.001520763903047278,3.813584284766325e-05,0.001482172828479249,3.9879727586294384e-05,0.001515258894018351,3.840931162432402e-05
0.05190190190190191,0.0017289780244131078,0.0017002878808527778,3.78643469611253e-05,0.0016433602820771788,4.194125481743853e-05,0.0015986354631601126,4.3964435466700434e-05,0.0016367921121721106,4.2266324530028676e-05
0.0548948948948949,0.0018588771134159642,0.0018275554837982608,4.1539747354118204e-05,0.001768484418020586,4.5682690845472036e-05,0.0017173283269417304,4.799002900706836e-05,0.0017607546113150218,4.6062165522685944e-05
0.057887887887887894,0.001990877146322629,0.0019557002923439107,4.7803902283402185e-05,0.0018951625455622039,5.096654921740971e-05,0.0018380401690939775,5.200270058784439e-05,0.0018862893315456822,5.1172417134175004e-05
0.06088088088088089,0.002130617195155754,0.002090653837559127,5.363249731439621e-05,0.0020287890003716797,5.6654175221693176e-05,0.001964638793010088,5.9233549521879335e-05,0.002018676895813707,5.689130200042135e-05
0.06387387387387387,0.0022775240527090936,0.002233608282830257,5.8772569734766e-05,0.002169913203729154,6.17228334117432e-05,0.0020968998577693583,6.576819969458373e-05,0.0021583196918571546,6.201250334895998e-05
0.06686686686686687,0.0024207472840986188,0.0023731494732308783,6.436150015384654e-05,0.002307506903238123,6.733784751215042e-05,0.002225955260209025,7.160140852546913e-05,0.0022942681714004775,6.770701965624571e-05
0.06985985985985986,0.0025687092665589405,0.002517219898456791,6.992147073536876e-05,0.0024496259973856797,7.292637862096635e-05,0.0023596530620830173,7.777683300211601e-05,0.0024345931070059983,7.338168643875228e-05
0.07285285285285285,0.0027218874048377407,0.0026665259929733722,7.552659926344997e-05,0.002597044797282571,7.856940834993735e-05,0.002497989852846278,8.397996172181199e-05,0.002580069451798053,7.911947818531455e-05
0.07584584584584585,0.0028801446126050703,0.0028195139346893043,8.40008160468738e-05,0.0027488067741311397,8.579613846880908e-05,0.002640868489075306,9.026599249997888e-05,0.0027301166945382796,8.565448137984234e-05
0.07883883883883884,0.0030432104696178634,0.0029763070814247355,9.194828061324681e-05,0.0029044465914858267,9.351838212818154e-05,0.0027871444056442726,9.82777739734284e-05,0.0028838889254753468,9.336048462329835e-05
0.08183183183183183,0.0032028209509010414,0.003130528906606435,9.926099009620773e-05,0.003056809917181273,0.00010080501048319489,0.002928377544888463,0.00010682125587373836,0.0030337308580915736,0.00010077788443003541
0.08482482482482483,0.0033681678071157024,0.0032907994282447735,0.00010696079814930597,0.0032151522761103605,0.0001084818919429293,0.003075136934119478,0.00011486226352495958,0.0031893142891294512,0.00010856991532462387
0.08781781781781782,0.003539474466016962,0.003456846810655767,0.00011470630709970252,0.0033793606165114644,0.00011622660812071173,0.003227704960511394,0.00012334393046034382,0.003350625275475654,0.00011644995853258678
0.09081081081081081,0.0037075241312066643,0.0036192144415988984,0.00012333664853278557,0.0035402953061962183,0.00012409359014700308,0.0033762687573822047,0.00013195585376903069,0.0035084616888845597,0.00012446740945513436
0.0938038038038038,0.0038726870760334717,0.003777861031038207,0.00013295021859839425,0.0036970608684147054,0.00013459352500170708,0.003521441146532498,0.00014061363642450773,0.003662365340679564,0.00013424868591492382
0.0967967967967968,0.004035834969903932,0.003934349444205453,0.0001422256576496448,0.0038509821675359723,0.00014458847757423685,0.003664365077638928,0.0001492603341387095,0.0038132979746417816,0.00014423939992716593
0.09978978978978979,0.004210292887425946,0.004102398585666867,0.00015174727154625264,0.004017147046236824,0.00015397799035001585,0.003816597092361428,0.00016161701016610425,0.003975831605299335,0.0001537760275545731
0.10278278278278279,0.004395236232161715,0.004280890566608239,0.00016139250154667559,0.004194142044593314,0.00016377628929858403,0.0039778237562355994,0.0001728529378100928,0.004148935546427603,0.0001637271410981297
0.10577577577577578,0.004576332290772391,0.004455468544144529,0.00017124637531215663,0.00436702292955947,0.00017376477975227794,0.00413565751010371,0.0001836453073030175,0.00431770563210516,0.00017389850669922053
0.10876876876876877,0.004753892332389284,0.0046251237144347935,0.00018384917877521258,0.0045362610601392215,0.00018383439543079755,0.004289585559866133,0.00019479490961433614,0.004482589066127461,0.00018417373892047904
0.11176176176176177,0.004944851006537901,0.004807266491225087,0.00019589573309692515,0.004717173828892238,0.00019748254864717548,0.0044563906489899,0.00020593766791021322,0.004659471791577528,0.0001969584822999586
0.11475475475475476,0.0051486588444949475,0.005002999602300969,0.0002076336645449312,0.004909893286992779,0.00021008592508804433,0.004635472824630123,0.00021725686994515734,0.0048480008770615535,0.0002095344782506436
0.11774774774774775,0.005362853274178856,0.0052092472060772665,0.00021988986971172077,0.005113999319788166,0.00022236950103760256,0.004822329654213063,0.00023195347467343472,0.005047018893011309,0.0002219885329324151
0.12074074074074075,0.005586719210577202,0.005424860692014889,0.0002324550341141944,0.0053278357710755805,0.00023519288560199962,0.005016490588877829,0.0002462818999913386,0.005255279610849128,0.00023501765020275485
0.12373373373373374,0.005821012393786911,0.005649738997006087,0.00024724302596822797,0.005551671730364757,0.00024832598189726085,0.005220587621927365,0.00026053303420513354,0.005473134496706434,0.0002484092180128288
0.12672672672672675,0.00606555454389528,0.005883691007439036,0.0002625450677334655,0.005783828097035314,0.0002649931637716953,0.0054338324965687735,0.0002753961423908574,0.005700451898075551,0.00026218273591384393
0.12971971971971974,0.00632369248068651,0.006131227859733945,0.0002779778782793335,0.006028142514598978,0.00028126913506581715,0.005659112128241704,0.000290675352282779,0.005938407235123451,0.0002806161844140196
0.13271271271271273,0.006595057822747888,0.006391899138580583,0.0002940734785381033,0.0062861496371677756,0.00029757171185988197,0.005896014056255443,0.00030642411774337665,0.006187439240009567,0.0002980482653480134
