z_cm,r_cm,T_vert_HeV
0.0,0.0,0.7054012096450628
0.0,0.00023510971786833856,0.7054012096450628
0.0,0.0007053291536050156,0.7054012096450628
0.0,0.0011755485893416929,0.705401130938289
0.0,0.0016457680250783699,0.7054009892632215
0.0,0.0021159874608150473,0.7054007868637024
0.0,0.002586206896551724,0.7054005244823481
0.0,0.003056426332288401,0.7054002024508699
0.0,0.0035266457680250786,0.7053998209416901
0.0,0.003996865203761755,0.7053993800518142
0.0,0.004467084639498433,0.7053988798373673
0.0,0.00493730407523511,0.7053983203299511
0.0,0.005407523510971787,0.7053977015452133
0.0,0.005877742946708463,0.7053970234876891
0.0,0.006347962382445141,0.7053962861537052
0.0,0.006818181818181819,0.7053954895332073
0.0,0.0072884012539184955,0.7053946336109569
0.0,0.007758620689655172,0.7053937183673405
0.0,0.008228840125391849,0.7053927437789324
0.0,0.008699059561128528,0.7053917098188963
0.0,0.009169278996865204,0.7053906164572761
0.0,0.009639498432601881,0.705389463661212
0.0,0.010109717868338558,0.705388251395103
0.0,0.010579937304075235,0.7053869796207282
0.0,0.011050156739811912,0.7053856482973436
0.0,0.011520376175548588,0.7053842573817536
0.0,0.011990595611285267,0.7053828068283686
0.0,0.012460815047021944,0.7053812965892505
0.0,0.01293103448275862,0.7053797266141459
0.0,0.013401253918495297,0.7053780968505157
0.0,0.013871473354231976,0.7053764072435544
0.0,0.014341692789968653,0.7053746577362083
0.0,0.01481191222570533,0.705372848269187
0.0,0.015282131661442006,0.7053709787809727
0.0,0.015752351097178683,0.705369049207827
0.0,0.01622257053291536,0.7053670594837952
0.0,0.016692789968652037,0.7053650095407081
0.0,0.017163009404388713,0.7053628993081836
0.0,0.017633228840125394,0.7053607287136249
0.0,0.01810344827586207,0.7053584976822191
0.0,0.018573667711598747,0.7053562061369341
0.0,0.019043887147335424,0.7053538539985144
0.0,0.0195141065830721,0.7053514411854757
0.0,0.019984326018808778,0.7053489676141
0.0,0.020454545454545454,0.7053464331984289
0.0,0.02092476489028213,0.7053438378502556
0.0,0.021394984326018808,0.705341181479118
0.0,0.021865203761755485,0.7053384639922902
0.0,0.02233542319749216,0.7053356852947733
0.0,0.02280564263322884,0.7053328452892861
0.0,0.02327586206896552,0.7053299438762551
0.0,0.023746081504702195,0.7053269809538039
0.0,0.024216300940438872,0.7053239564177425
0.0,0.02468652037617555,0.7053208701615555
0.0,0.025156739811912226,0.705317722076391
0.0,0.025626959247648903,0.7053145120510473
0.0,0.02609717868338558,0.7053112399719603
0.0,0.026567398119122256,0.7053079057231914
0.0,0.027037617554858933,0.7053045091864121
0.0,0.027507836990595613,0.7053010502408915
0.0,0.02797805642633229,0.7052975287634806
0.0,0.028448275862068967,0.705293944628598
0.0,0.028918495297805644,0.7052902977082139
0.0,0.02938871473354232,0.7052865878718353
0.0,0.029858934169278997,0.7052828149864884
0.0,0.030329153605015674,0.7052789789167023
0.0,0.03079937304075235,0.7052750795244921
0.0,0.03126959247648903,0.705271116669341
0.0,0.031739811912225704,0.7052670902081813
0.0,0.03221003134796238,0.7052629999953777
0.0,0.03268025078369906,0.7052588458827062
0.0,0.033150470219435735,0.7052546277193351
0.0,0.03362068965517241,0.7052503453518055
0.0,0.03409090909090909,0.7052459986240099
0.0,0.034561128526645765,0.7052415873771712
0.0,0.03503134796238244,0.7052371114498212
0.0,0.035501567398119126,0.705232570677778
0.0,0.0359717868338558,0.7052279648941241
0.0,0.03644200626959248,0.7052232939291817
0.0,0.036912225705329156,0.7052185576104899
0.0,0.03738244514106583,0.7052137557627799
0.0,0.03785266457680251,0.7052088882079498
0.0,0.038322884012539186,0.7052039547650389
0.0,0.03879310344827586,0.7051989552502016
0.0,0.03926332288401254,0.7051938894766802
0.0,0.03973354231974922,0.7051887572547776
0.0,0.040203761755485894,0.7051835583918292
0.0,0.04067398119122257,0.705178292692173
0.0,0.04114420062695925,0.7051729599571216
0.0,0.041614420062695924,0.7051675599849302
0.0,0.0420846394984326,0.7051620925707669
0.0,0.04255485893416928,0.7051565575066804
0.0,0.043025078369905954,0.7051509545815676
0.0,0.04349529780564263,0.7051452835811398
0.0,0.04396551724137931,0.7051395442878899
0.0,0.044435736677115985,0.7051337364810558
0.0,0.04490595611285266,0.7051278599365864
0.0,0.045376175548589345,0.7051219144271039
0.0,0.04584639498432602,0.7051158997218668
0.0,0.0463166144200627,0.7051098155867314
0.0,0.046786833855799376,0.7051036617841133
0.0,0.04725705329153605,0.7050974380729462
0.0,0.04772727272727273,0.7050911442086415
0.0,0.048197492163009406,0.7050847799430462
0.0,0.04866771159874608,0.7050783450243994
0.0,0.04913793103448276,0.7050718391972889
0.0,0.049608150470219436,0.7050652622026052
0.0,0.05007836990595611,0.7050586137774961
0.0,0.05054858934169279,0.7050518936553188
0.0,0.05101880877742947,0.7050451015655915
0.0,0.051489028213166144,0.7050382372339442
0.0,0.05195924764890282,0.7050313003820672
0.0,0.0524294670846395,0.7050242907276595
0.0,0.052899686520376174,0.7050172079843754
0.0,0.05336990595611285,0.7050100518617696
0.0,0.05384012539184953,0.7050028220652419
0.0,0.054310344827586204,0.704995518295979
0.0,0.05478056426332288,0.7049881402508965
0.0,0.05525078369905956,0.7049806876225787
0.0,0.05572100313479624,0.7049731600992166
0.0,0.05619122257053292,0.7049655573645451
0.0,0.056661442006269595,0.704957879097778
0.0,0.05713166144200627,0.7049501249735418
0.0,0.05760188087774295,0.7049422946618081
0.0,0.058072100313479626,0.7049343878278238
0.0,0.0585423197492163,0.7049264041320391
0.0,0.05901253918495298,0.704918343230035
0.0,0.059482758620689656,0.7049102047724485
0.0,0.05995297805642633,0.7049019884048948
0.0,0.06042319749216301,0.7048936937678895
0.0,0.060893416927899686,0.7048853204967666
0.0,0.06136363636363636,0.7048768682215962
0.0,0.06183385579937304,0.7048683365670999
0.0,0.06230407523510972,0.7048597251525626
0.0,0.06277429467084639,0.7048510335917435
0.0,0.06324451410658308,0.7048422614927846
0.0,0.06371473354231974,0.7048334084581157
0.0,0.06418495297805643,0.7048244740843583
0.0,0.0646551724137931,0.7048154579622264
0.0,0.06512539184952978,0.7048063596764245
0.0,0.06559561128526645,0.7047971788055432
0.0,0.06606583072100314,0.7047879149219516
0.0,0.0665360501567398,0.7047785675916876
