z_cm,r_cm,T_vert_HeV
0.0,0.0,0.6203932907059558
0.0,0.00023510971786833856,0.6203932907059558
0.0,0.0007053291536050156,0.6203932907059558
0.0,0.0011755485893416929,0.6203931878949002
0.0,0.0016457680250783699,0.6203930028150163
0.0,0.0021159874608150473,0.6203927383695138
0.0,0.002586206896551724,0.6203923954890223
0.0,0.003056426332288401,0.6203919745558909
0.0,0.0035266457680250786,0.6203914757328916
0.0,0.003996865203761755,0.6203908990727872
0.0,0.004467084639498433,0.6203902445634444
0.0,0.00493730407523511,0.6203895121491947
0.0,0.005407523510971787,0.6203887017420152
0.0,0.005877742946708463,0.6203878132278379
0.0,0.006347962382445141,0.620386846470325
0.0,0.006818181818181819,0.6203858013132344
0.0,0.0072884012539184955,0.6203846775819585
0.0,0.007758620689655172,0.620383475084555
0.0,0.008228840125391849,0.6203821936124536
0.0,0.008699059561128528,0.6203808329409481
0.0,0.009169278996865204,0.6203793928295439
0.0,0.009639498432601881,0.620377873022204
0.0,0.010109717868338558,0.6203762732475219
0.0,0.010579937304075235,0.6203745932188427
0.0,0.011050156739811912,0.6203728326343433
0.0,0.011520376175548588,0.6203709911770838
0.0,0.011990595611285267,0.6203690685150355
0.0,0.012460815047021944,0.620367064301089
0.0,0.01293103448275862,0.6203649781730495
0.0,0.013401253918495297,0.6203628097536187
0.0,0.013871473354231976,0.6203605586503667
0.0,0.014341692789968653,0.6203582244556958
0.0,0.01481191222570533,0.6203558067467962
0.0,0.015282131661442006,0.6203533050855964
0.0,0.015752351097178683,0.6203507190187055
0.0,0.01622257053291536,0.6203480480773532
0.0,0.016692789968652037,0.6203452917773224
0.0,0.017163009404388713,0.6203424496188794
0.0,0.017633228840125394,0.6203395210866982
0.0,0.01810344827586207,0.6203365056497823
0.0,0.018573667711598747,0.6203334027613817
0.0,0.019043887147335424,0.6203302118589072
0.0,0.0195141065830721,0.6203269323638406
0.0,0.019984326018808778,0.6203235636816408
0.0,0.020454545454545454,0.6203201052016488
0.0,0.02092476489028213,0.620316556296987
0.0,0.021394984326018808,0.6203129163244566
0.0,0.021865203761755485,0.6203091846244315
0.0,0.02233542319749216,0.6203053605207488
0.0,0.02280564263322884,0.6203014433205967
0.0,0.02327586206896552,0.6202974323143985
0.0,0.023746081504702195,0.6202933267756944
0.0,0.024216300940438872,0.6202891259610186
0.0,0.02468652037617555,0.6202848291097757
0.0,0.025156739811912226,0.6202804354441107
0.0,0.025626959247648903,0.6202759441687792
0.0,0.02609717868338558,0.6202713544710117
0.0,0.026567398119122256,0.6202666655203765
0.0,0.027037617554858933,0.6202618764686377
0.0,0.027507836990595613,0.6202569864496124
0.0,0.02797805642633229,0.6202519945790211
0.0,0.028448275862068967,0.6202468999543383
0.0,0.028918495297805644,0.6202417016546381
0.0,0.02938871473354232,0.6202363987404353
0.0,0.029858934169278997,0.6202309902535259
0.0,0.030329153605015674,0.6202254752168216
0.0,0.03079937304075235,0.6202198526341818
0.0,0.03126959247648903,0.6202141214902425
0.0,0.031739811912225704,0.620208280750241
0.0,0.03221003134796238,0.6202023293598371
0.0,0.03268025078369906,0.620196266244931
0.0,0.033150470219435735,0.6201900903114765
0.0,0.03362068965517241,0.6201838004452924
0.0,0.03409090909090909,0.6201773955118677
0.0,0.034561128526645765,0.620170874356165
0.0,0.03503134796238244,0.6201642358024189
0.0,0.035501567398119126,0.6201574786539302
0.0,0.0359717868338558,0.6201506016928574
0.0,0.03644200626959248,0.6201436036800031
0.0,0.036912225705329156,0.6201364833545965
0.0,0.03738244514106583,0.6201292394340708
0.0,0.03785266457680251,0.6201218706138397
0.0,0.038322884012539186,0.6201143755670646
0.0,0.03879310344827586,0.6201067529444214
0.0,0.03926332288401254,0.6200990013738612
0.0,0.03973354231974922,0.6200911194603671
0.0,0.040203761755485894,0.6200831057857054
0.0,0.04067398119122257,0.6200749589081735
0.0,0.04114420062695925,0.620066677362342
0.0,0.041614420062695924,0.6200582596587925
0.0,0.0420846394984326,0.6200497042838506
0.0,0.04255485893416928,0.6200410096993135
0.0,0.043025078369905954,0.6200321743421727
0.0,0.04349529780564263,0.6200231966243319
0.0,0.04396551724137931,0.6200140749323189
0.0,0.044435736677115985,0.6200048076269933
0.0,0.04490595611285266,0.6199953930432474
0.0,0.045376175548589345,0.6199858294897029
0.0,0.04584639498432602,0.6199761152484006
0.0,0.0463166144200627,0.6199662485744857
0.0,0.046786833855799376,0.6199562276958867
0.0,0.04725705329153605,0.6199460508129876
0.0,0.04772727272727273,0.6199357160982952
0.0,0.048197492163009406,0.6199252216960996
0.0,0.04866771159874608,0.6199145657221291
0.0,0.04913793103448276,0.6199037462631963
0.0,0.049608150470219436,0.6198927613768418
