z_cm,r_cm,T_vert_HeV
0.0,0.0,0.7038341512777837
0.0,0.00023510971786833856,0.7038341512777837
0.0,0.0007053291536050156,0.7038341512777837
0.0,0.0011755485893416929,0.703834005566125
0.0,0.0016457680250783699,0.703833743279241
0.0,0.0021159874608150473,0.7038333685702307
0.0,0.002586206896551724,0.7038328828125351
0.0,0.003056426332288401,0.703832286618475
0.0,0.0035266457680250786,0.7038315803050743
0.0,0.003996865203761755,0.7038307640493361
0.0,0.004467084639498433,0.7038298379521796
0.0,0.00493730407523511,0.7038288020687248
0.0,0.005407523510971787,0.7038276564241558
0.0,0.005877742946708463,0.7038264010226841
0.0,0.006347962382445141,0.7038250358529259
0.0,0.006818181818181819,0.7038235608912855
0.0,0.0072884012539184955,0.7038219761041709
0.0,0.007758620689655172,0.7038202814494916
0.0,0.008228840125391849,0.7038184768777022
0.0,0.008699059561128528,0.7038165623325436
0.0,0.009169278996865204,0.7038145377515849
0.0,0.009639498432601881,0.703812403066621
0.0,0.010109717868338558,0.703810158203974
0.0,0.010579937304075235,0.7038078030847202
0.0,0.011050156739811912,0.7038053376248663
0.0,0.011520376175548588,0.7038027617354847
0.0,0.011990595611285267,0.7038000753228196
0.0,0.012460815047021944,0.7037972782883702
0.0,0.01293103448275862,0.7037943705289555
0.0,0.013401253918495297,0.7037913519367659
0.0,0.013871473354231976,0.7037882223994026
0.0,0.014341692789968653,0.7037849817999089
0.0,0.01481191222570533,0.7037816300167933
0.0,0.015282131661442006,0.7037781669240476
0.0,0.015752351097178683,0.7037745923911592
0.0,0.01622257053291536,0.7037709062831192
0.0,0.016692789968652037,0.7037671084604274
0.0,0.017163009404388713,0.703763198779094
0.0,0.017633228840125394,0.703759177090639
0.0,0.01810344827586207,0.7037550432420888
0.0,0.018573667711598747,0.7037507970759711
0.0,0.019043887147335424,0.7037464384303078
0.0,0.0195141065830721,0.7037419671386077
0.0,0.019984326018808778,0.7037373830298548
0.0,0.020454545454545454,0.7037326859284978
0.0,0.02092476489028213,0.7037278756544382
0.0,0.021394984326018808,0.7037229520230158
0.0,0.021865203761755485,0.7037179148449948
0.0,0.02233542319749216,0.7037127639265478
0.0,0.02280564263322884,0.7037074990692391
0.0,0.02327586206896552,0.7037021200700074
0.0,0.023746081504702195,0.7036966267211476
0.0,0.024216300940438872,0.7036910188102916
0.0,0.02468652037617555,0.7036852961203879
0.0,0.025156739811912226,0.7036794584296812
0.0,0.025626959247648903,0.7036735055116907
0.0,0.02609717868338558,0.7036674371351882
0.0,0.026567398119122256,0.7036612530641738
0.0,0.027037617554858933,0.7036549530578536
0.0,0.027507836990595613,0.7036485368706141
0.0,0.02797805642633229,0.703642004251997
0.0,0.028448275862068967,0.7036353549466728
0.0,0.028918495297805644,0.7036285886944152
0.0,0.02938871473354232,0.7036217052300717
0.0,0.029858934169278997,0.7036147042835367
0.0,0.030329153605015674,0.7036075855797214
0.0,0.03079937304075235,0.7036003488385243
0.0,0.03126959247648903,0.7035929937748004
0.0,0.031739811912225704,0.7035855200983302
0.0,0.03221003134796238,0.7035779275137866
0.0,0.03268025078369906,0.7035702157207024
0.0,0.033150470219435735,0.7035623844134362
0.0,0.03362068965517241,0.703554433281138
0.0,0.03409090909090909,0.7035463620077128
0.0,0.034561128526645765,0.7035381702717856
0.0,0.03503134796238244,0.7035298577466623
0.0,0.035501567398119126,0.7035214241002935
0.0,0.0359717868338558,0.7035128689952338
0.0,0.03644200626959248,0.7035041920886029
