time_ns,front_position (Marshak),front_position (Ablation with varying rho),front_position (2D effects + lam_eff),front_position (No Marshak)
0.01,0.0,0.0,0.0,0.0019249843902035967
0.011991991991991992,3.464297910149999e-05,2.766435362158834e-05,2.7664353621586113e-05,0.002108011020770919
0.013983983983983983,8.184589980300283e-05,7.164881989945096e-05,7.164105397304594e-05,0.002276369044082218
0.015975975975975977,0.0001302760593928341,0.00011835192663178764,0.00011830603183149904,0.002433105338044354
0.017967967967967968,0.0001719138682768789,0.0001578664004406156,0.00015779469623306705,0.002580338572200181
0.019959959959959958,0.00021330383024228792,0.00019804717654631372,0.00019794625640557034,0.002719612602623434
0.021951951951951952,0.0002527594229998548,0.0002367311369916355,0.00023658803582693772,0.002852093664224993
0.023943943943943943,0.00029112756839369514,0.00027437477547699845,0.00027419022890032545,0.002978688273498334
0.025935935935935933,0.00032852814159889566,0.00031117269141254416,0.00031094295439029203,0.003100117641613077
0.027927927927927927,0.00036509770731509033,0.0003472368136198807,0.0003469584972140098,0.003216966731721788
0.02991991991991992,0.00040094292260148344,0.0003826149074499229,0.00038228495300871913,0.0033297177829613284
0.03191191191191191,0.00043614532862101525,0.0004172605882892726,0.00041687647710551525,0.0034387739203578125
0.0339039039039039,0.00047077007924498885,0.00045138544537452453,0.000450944607075604,0.003544476214689158
0.035895895895895896,0.0005048705131923945,0.0004850280749125164,0.00048452770528751833,0.003647116285184957
0.03788788788788788,0.000538491073408546,0.0005182162216145816,0.0005176538080950032,0.003746945790750843
0.03987987987987988,0.0005716693492432082,0.0005509791243899371,0.0005503523007216821,0.003844183700083751
0.04187187187187187,0.0006044375424258299,0.0005833429565777989,0.0005826495785753526,0.003939021944741327
0.043863863863863865,0.0006368235437425868,0.000615466587560123,0.0006147039883911791,0.0040316298741722165
0.04585585585585585,0.0006688517412445461,0.0006470436827504209,0.0006462099118330188,0.004122157809143412
0.047847847847847846,0.0007005436386960354,0.0006782647695345891,0.0006773582358032316,0.004210739907028949
0.04983983983983984,0.0007319183368165252,0.0007091782351610281,0.0007081967950301018,0.004297496495148111
0.05183183183183183,0.0007629929133238393,0.000739802359462641,0.0007387439361196422,0.0043825359880980365
0.05382382382382382,0.0007937827270168328,0.0007701048263469201,0.0007689677730708296,0.004465956476292461
0.055815815815815815,0.0008243016639495303,0.0008003948721107888,0.000799176586321886,0.004547847052100886
0.0578078078078078,0.0008545623388377431,0.0008302151536302706,0.0008289138508509133,0.004628288924696346
0.0597997997997998,0.0008845762614156799,0.0008597357960194041,0.0008583503922100667,0.004707356363356295
0.06179179179179179,0.0009143539750432946,0.0008890091281216695,0.0008875379287812607,0.004785117500416801
0.06378378378378378,0.000943905173106941,0.0009180561825126758,0.0009164974265423036,0.004861635018587808
0.06577577577577577,0.0009732387974851451,0.000946888390797734,0.0009452403714019964,0.0049369667423554125
0.06776776776776776,0.0010023631224012712,0.0009753896513297601,0.0009736512910718195,0.0050111661493396475
0.06975975975975976,0.0010312858262729607,0.0010041043067619362,0.001002272892111976,0.005084282814463776
0.07175175175175175,0.0010600140536279172,0.0010323989272302124,0.0010304727085629017,0.0051563627974198865
0.07374374374374373,0.0010885544687440486,0.0010604261380827845,0.001058404456023504,0.0052274489820351155
0.07573573573573572,0.0011169133023536245,0.00108823971543663,0.0010861212929001202,0.005297581374641083
0.07772772772772772,0.001145096392485657,0.0011158642172915854,0.0011136476133375062,0.005366797367341928
0.07971971971971971,0.0011731092203517263,0.0011431228098888657,0.001140807360160006,0.00543513197109991
0.0817117117117117,0.0012009569419892405,0.0011707377576940135,0.0011683206174223169,0.005502618022763031
0.0837037037037037,0.0012286444162827146,0.001197966144621635,0.0011954455313393161,0.005569286369509173
0.08569569569569568,0.0012561762298557184,0.0012249482240768,0.0012223236842188738,0.005635166033646641
0.08768768768768767,0.0012835567192673904,0.0012517358453648653,0.0012490063530393735,0.005700284360269139
0.08967967967967967,0.0013107899908615685,0.001278354465645414,0.0012755188005477798,0.005764667149896262
0.09167167167167166,0.0013378799385709316,0.0013045574749553164,0.001301615405472971,0.005828338777924395
0.09366366366366365,0.001364830259940252,0.0013312458457743243,0.0013281943819970759,0.005891322302456501
0.09565565565565565,0.0013916444705723582,0.001357572487010461,0.0013544098147604178,0.005953639561863442
0.09764764764764763,0.0014183259172002225,0.001383668082625885,0.0013803939116599731,0.006015311263247285
0.09963963963963962,0.0014448777895315847,0.001409582238875234,0.0014061957490241668,0.0060763570628225745
0.10163163163163162,0.0014713031310203898,0.0014353406541407902,0.0014318408149355379,0.0061367956391000945
0.10362362362362361,0.001497604848668805,0.0014606235453078207,0.0014570105573239003,0.006196644759645503
0.1056156156156156,0.0015237857219791285,0.0014865107859455742,0.0014827814834864664,0.0062559213420891255
0.1076076076076076,0.0015498484111376848,0.0015120553557913478,0.001508207888339686,0.0063063996263289564
0.10959959959959958,0.0015757954645131342,0.0015373805125962381,0.0015334147191476515,0.006351575943051032
0.11159159159159159,0.0016001696616925994,0.0015610718677195482,0.0015569903200496238,0.006397992572683444
0.11358358358358357,0.001623708899573027,0.0015838571179203685,0.0015796593360529307,0.006445656854891768
0.11557557557557556,0.0016484269116933336,0.0016073482508055306,0.0016030269284932602,0.006494575872907989
0.11756756756756756,0.0016739906391761144,0.0016324860634374884,0.0016280295601523507,0.0065447564580968795
0.11955955955955955,0.0017001156528069492,0.0016579486509943557,0.001653350188632212,0.006596205195062868
0.12155155155155153,0.0017250630484938378,0.0016821257046476994,0.0016773862627909595,0.006648928427258292
0.12354354354354354,0.0017494597124750753,0.0017056608090152022,0.001700779285333188,0.006702932263052935
0.12553553553553554,0.0017753242708259127,0.0017301459800638415,0.0017251145209341767,0.006758222582224185
