z_cm,r_cm,T_cell_HeV
0.0004716981132075472,1.572327044025157e-05,1868551.9795698016
0.0004716981132075472,6.289308176100629e-05,1868551.9795698016
0.0004716981132075472,0.00012578616352201257,1868551.9307041413
0.0004716981132075472,0.00018867924528301886,1868551.842740328
0.0004716981132075472,0.00025157232704402514,1868551.7170648794
0.0004716981132075472,0.00031446540880503143,1868551.5541295118
0.0004716981132075472,0.0003773584905660377,1868551.3541280834
0.0004716981132075472,0.000440251572327044,1868551.1171528106
0.0004716981132075472,0.0005031446540880503,1868550.8432463326
0.0004716981132075472,0.0005660377358490565,1868550.5324231414
0.0004716981132075472,0.0006289308176100629,1868550.1846797233
0.0004716981132075472,0.0006918238993710692,1868549.799999858
0.0004716981132075472,0.0007547169811320754,1868549.3783576055
0.0004716981132075472,0.0008176100628930817,1868548.9197190832
0.0004716981132075472,0.000880503144654088,1868548.4240435748
0.0004716981132075472,0.0009433962264150943,1868547.8912842441
0.0004716981132075472,0.0010062893081761006,1868547.3213886027
0.0004716981132075472,0.0010691823899371068,1868546.714298828
0.0004716981132075472,0.001132075471698113,1868546.0699519734
0.0004716981132075472,0.0011949685534591195,1868545.3882801079
0.0004716981132075472,0.0012578616352201257,1868544.6692104086
0.0004716981132075472,0.001320754716981132,1868543.9126652137
0.0004716981132075472,0.0013836477987421384,1868543.1185620513
0.0004716981132075472,0.0014465408805031446,1868542.2868136459
0.0004716981132075472,0.0015094339622641509,1868541.4173279079
0.0004716981132075472,0.001572327044025157,1868540.5100079142
0.0004716981132075472,0.0016352201257861633,1868539.5647518714
0.0004716981132075472,0.0016981132075471698,1868538.5814530754
0.0004716981132075472,0.001761006289308176,1868537.5599998606
0.0004716981132075472,0.0018238993710691822,1868536.5002755413
0.0004716981132075472,0.0018867924528301887,1868535.4021583484
0.0004716981132075472,0.001949685534591195,1868534.265521358
0.0004716981132075472,0.002012578616352201,1868533.0902324165
0.0004716981132075472,0.0020754716981132076,1868531.8761540586
0.0004716981132075472,0.0021383647798742136,1868530.6231434206
0.0004716981132075472,0.00220125786163522,1868529.3310521473
0.0004716981132075472,0.002264150943396226,1868527.9997262969
0.0004716981132075472,0.0023270440251572325,1868526.6290062352
0.0004716981132075472,0.002389937106918239,1868525.2187265318
0.0004716981132075472,0.002452830188679245,1868523.7687158452
0.0004716981132075472,0.0025157232704402514,1868522.2787968027
0.0004716981132075472,0.002578616352201258,1868520.7487858804
0.0004716981132075472,0.002641509433962264,1868519.1784932713
0.0004716981132075472,0.0027044025157232704,1868517.5677227513
0.0004716981132075472,0.002767295597484277,1868515.9162715387
0.0004716981132075472,0.002830188679245283,1868514.223930146
