r_cm,z_article_sim_mm,z_experiment_mm,z_model_2D_mm
0.0005617977528088,3.0,3.0098503806323196,2.7849123702626652
0.0050561797752808,3.0,3.008295243872694,2.784610161715837
0.0101123595505617,3.0,3.0064516637244862,2.783692335668986
0.0151685393258427,3.0,3.0046066235590105,2.782162889023926
0.0207865168539325,3.0,3.002556578930704,2.7797468879641842
0.0241573033707865,3.0,3.0007838428309306,2.7779355737935587
0.0303370786516853,3.0,2.9966397141169523,2.773911303968035
0.0348314606741572,2.99443413729128,2.993625802324967,2.770413638779363
0.0404494382022471,2.9888682745825594,2.9900277089664593,2.76536700619411
0.046629213483146,2.98330241187384,2.9864835833089587,2.7589523664211217
0.0499999999999999,2.98330241187384,2.984670676565309,2.7550733218824246
0.0561797752808989,2.9721706864564004,2.979125715717752,2.7472671397139967
0.0601123595505617,2.96103896103896,2.9732782499767927,2.741832973556848
0.0651685393258427,2.949907235621521,2.96192565341961,2.7343150229766486
0.0702247191011235,2.9387755102040813,2.9488037686836517,2.726201722929484
0.0741573033707865,2.9276437847866417,2.9372497155059967,2.7194815488153323
0.0775280898876404,2.916512059369201,2.928192482130897,2.71343704636749
0.0803370786516853,2.910946196660482,2.9212100340629457,2.7082001561999
0.0853932584269663,2.894248608534322,2.9088131917458897,2.6983178093555398
0.0898876404494382,2.883116883116883,2.8940714965562817,2.689043573616971
0.0926966292134831,2.8719851576994424,2.885046057121241,2.6830141354268355
0.095505617977528,2.855287569573284,2.870471956286865,2.676806166344589
