r_cm,zF_cm_t2.0ns,zF_cm_t6.0ns,zF_cm_t10.0ns
0.0,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.007894736842105263,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.015789473684210527,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.02368421052631579,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.031578947368421054,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.039473684210526314,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.04736842105263158,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.05526315789473685,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.06315789473684211,0.010526315789473684,0.08421052631578947,0.16842105263157894
0.07105263157894737,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.07894736842105263,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.0868421052631579,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.09473684210526316,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.10263157894736842,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.1105263157894737,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.11842105263157895,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.12631578947368421,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.13421052631578947,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.14210526315789473,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.15,0.010526315789473684,0.07368421052631578,0.14736842105263157
0.15000116666666666,0.010526315789473684,0.0,0.0
0.1500025675034966,0.0,0.0,0.0
0.15000424951248875,0.0,0.0,0.0
0.15000626912975548,0.0,0.0,0.0
0.15000869411911233,0.0,0.0,0.0
0.15001160584574375,0.0,0.0,0.0
0.15001510200623294,0.0,0.0,0.0
0.15001929990655583,0.0,0.0,0.0
0.1500243403980251,0.0,0.0,0.0
0.15003039260324613,0.0,0.0,0.0
0.15003765959065424,0.0,0.0,0.0
0.15004638518802918,0.0,0.0,0.0
0.1500568621636002,0.0,0.0,0.0
0.15006944204924005,0.0,0.0,0.0
0.1500845469353437,0.0,0.0,0.0
0.1501026836331434,0.0,0.0,0.0
0.15012446067964483,0.0,0.0,0.0
0.15015060875574787,0.0,0.0,0.0
0.15018200520263733,0.0,0.0,0.0
0.15021970345903668,0.0,0.0,0.0
0.15026496840702758,0.0,0.0,0.0
0.15031931881238628,0.0,0.0,0.0
0.15038457828342877,0.0,0.0,0.0
0.1504629364581773,0.0,0.0,0.0
0.15055702247284813,0.0,0.0,0.0
0.15066999317673518,0.0,0.0,0.0
0.15080563905334485,0.0,0.0,0.0
0.15096851140173348,0.0,0.0,0.0
0.15116407504533735,0.0,0.0,0.0
0.15139889169210405,0.0,0.0,0.0
0.15168084009817087,0.0,0.0,0.0
0.1520193804221992,0.0,0.0,0.0
0.1524258716401919,0.0,0.0,0.0
0.1529139526709507,0.0,0.0,0.0
0.1535,0.0,0.0,0.0
