r_cm,zF_cm_t2.0ns,zF_cm_t6.0ns,zF_cm_t10.0ns
0.0,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.007894736842105263,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.015789473684210527,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.02368421052631579,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.031578947368421054,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.039473684210526314,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.04736842105263158,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.05526315789473685,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.06315789473684211,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.07105263157894737,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.07894736842105263,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.0868421052631579,0.010526315789473684,0.08421052631578947,0.15789473684210525
0.09473684210526316,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.10263157894736842,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.1105263157894737,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.11842105263157895,0.010526315789473684,0.07368421052631578,0.15789473684210525
0.12631578947368421,0.010526315789473684,0.07368421052631578,0.14736842105263157
0.13421052631578947,0.010526315789473684,0.07368421052631578,0.14736842105263157
0.14210526315789473,0.010526315789473684,0.07368421052631578,0.14736842105263157
0.15,0.010526315789473684,0.07368421052631578,0.14736842105263157
0.150002,0.0,0.0,0.0
0.15000440143456564,0.0,0.0,0.0
0.15000728487855217,0.0,0.0,0.0
0.15001074707958084,0.0,0.0,0.0
0.15001490420419258,0.0,0.0,0.0
0.1500198957355607,0.0,0.0,0.0
0.1500258891535422,0.0,0.0,0.0
0.15003308555409572,0.0,0.0,0.0
0.15004172639661445,0.0,0.0,0.0
0.1500521016055648,0.0,0.0,0.0
0.1500645592982644,0.0,0.0,0.0
0.15007951746519288,0.0,0.0,0.0
0.1500974779947432,0.0,0.0,0.0
0.15011904351298294,0.0,0.010526315789473684,0.0
0.15014493760344635,0.0,0.0,0.0
0.1501760290853887,0.0,0.0,0.0
0.15021336116510542,0.0,0.0,0.0
0.15025818643842492,0.0,0.0,0.0
0.15031200891880686,0.0,0.0,0.0
0.15037663450120572,0.0,0.0,0.0
0.15045423155490442,0.0,0.0,0.0
0.15054740367837646,0.0,0.0,0.0
0.15065927705730647,0.0,0.0,0.0
0.15079360535687536,0.0,0.0,0.0
0.15095489566773967,0.0,0.0,0.0
0.15114855973154603,0.0,0.0,0.0
0.15138109552001974,0.0,0.0,0.0
0.15166030526011454,0.0,0.0,0.0
0.15199555722057834,0.0,0.0,0.0
0.15239810004360693,0.0,0.0,0.0
0.15288144016829294,0.0,0.0,0.0
0.15346179500948437,0.0,0.0,0.0
0.15415863709747182,0.0,0.0,0.0
0.1549953474359155,0.0,0.0,0.0
0.156,0.0,0.0,0.0
