time_ns,foam_energy_hJ,gold_energy_hJ
0.029950860948702644,0.07541989754454487,0.0002271971980610028
0.09061224489795919,0.17144965108708873,0.0004205988723904947
0.15122448979591838,0.3285617922485891,0.0008097659214520265
0.21183673469387754,0.5459269250845746,0.0015938936917418488
0.272310588231393,0.8234367615212388,0.002910281997528922
0.33302074870728976,1.1543542738343984,0.0048761094916072445
0.3936734693877551,1.4959483140244454,0.007383073253670097
0.4542857142857143,1.8814520151513368,0.010667656432961197
0.5148979591836735,2.2849283218949177,0.014716302380662198
0.5754975066849378,2.731882517971378,0.019642635703740637
0.6361224489795918,3.193347929576471,0.025511060406941476
0.696734693877551,3.6732087906262794,0.03216489656931107
0.7573469387755102,4.198280699290521,0.040121870600743306
0.8179591836734694,4.730670105191062,0.04898180818995207
0.8785632144528263,5.280532396182975,0.05891984969894957
0.9391836734693877,5.84998081697121,0.06995797440063609
0.9997881048679579,6.468468735332626,0.08253311447807206
1.0604081632653062,7.110672423127654,0.09661350509900901
1.121020408163265,7.772455159297172,0.11216134515020607
1.1816326530612244,8.409165140678418,0.12851172122373938
1.2422137223558585,8.989315444144331,0.14499647630309406
1.3027960973160277,9.523712460785658,0.16126577950931242
1.3634610339783644,10.033407995698383,0.1776416516983128
1.4240816326530612,10.498262432453737,0.19372808838966665
1.4846938775510203,10.93667483055675,0.20961778741578813
1.5452323305220403,11.352626397470713,0.22529533473298663
1.6058868703132603,11.757495854654021,0.24102113716252135
1.666369759348951,12.138020257460472,0.25656386407072157
1.7271090153227888,12.496773169988792,0.27191325499526636
1.7876689322377548,12.845713207594468,0.28706659313920996
1.8481511623672076,13.172992482126958,0.30206475703771296
1.9089795918367345,13.448915399712979,0.3163009644950198
1.9695095295680511,13.722762895104804,0.3301202554545241
2.030204081632653,13.998486639617346,0.34388005304182045
2.090816326530612,14.270877212617181,0.3576578905493506
2.1514285714285712,14.51965665684123,0.37111070860406187
2.2120408163265304,14.764013263368154,0.38437001964273676
2.27265306122449,15.006776996109494,0.39755234655837385
2.333265306122449,15.250673321559365,0.4107420645570215
2.393733935803473,15.464617386656048,0.4235868073683173
2.4544897959183674,15.664867599685211,0.43608592474263963
2.5151020408163265,15.857087448841845,0.448254126475963
2.575606892256389,16.012089709124854,0.4598108658285938
2.6363265306122448,16.11413794785331,0.4702392847747931
2.6969387755102043,16.183514261399356,0.47956028746899515
2.7575510204081635,16.228608846275876,0.4878752329472889
2.818163265306122,16.28078982351571,0.49565306900625994
2.8787260957925414,16.31525433581366,0.5028404891501445
2.9393314527966883,16.352835229396863,0.5096112620331248
2.999784540169346,16.389647695703026,0.5160678149265917
