time_ns,detector_mm,flux_raw,flux_normalised,temperature_hev,arrival_time_ns
0.029999158574214847,0.5,2.024077178982568e-09,5.826413912716081e-21,9.958862846713983e-06,0.8671398668972948
0.049910189529737775,0.5,2.0232850983578253e-09,5.824133866470851e-21,9.957888405097309e-06,0.8671398668972948
0.06979736299375236,0.5,2.022959076834203e-09,5.8231953961591446e-21,9.957487240409545e-06,0.8671398668972948
0.08977093013553143,0.5,2.022790490652234e-09,5.822710111859557e-21,9.957279778573218e-06,0.8671398668972948
0.10968669636427607,0.5,2.0226916182496936e-09,5.8224255023853096e-21,9.957158100348863e-06,0.8671398668972948
0.1296267186226812,0.5,2.022629531882446e-09,5.8222467834719815e-21,9.957081690914399e-06,0.8671398668972948
0.14957282734692362,0.5,2.02258837118367e-09,5.8221283002093385e-21,9.957031033643584e-06,0.8671398668972948
0.16953020134228186,0.5,2.022559879551618e-09,5.822046285529707e-21,9.956995967986231e-06,0.8671398668972948
0.18944509436076215,0.5,2.022540129559577e-09,5.821989434126214e-21,9.956971660756416e-06,0.8671398668972948
0.2093959731543624,0.5,2.0225261720377166e-09,5.821949256656501e-21,9.95695448248054e-06,0.8671398668972948
0.22931722292687612,0.5,2.022516389886629e-09,5.821921098213837e-21,9.956942443005956e-06,0.8671398668972948
0.2491828589450677,0.5,2.0225095229556667e-09,5.821901331387496e-21,9.956933991439908e-06,0.8671398668972948
0.2691729437949094,0.5,2.0225046702339928e-09,5.82188736256982e-21,9.956928018875587e-06,0.8671398668972948
0.2891275167785235,0.5,2.0225012726549318e-09,5.821877582457621e-21,9.956923837244766e-06,0.8671398668972948
0.30906040268456375,0.5,2.022498917465477e-09,5.8218708029193955e-21,9.956920938550389e-06,0.8671398668972948
0.3289699080435206,0.5,2.022497278059764e-09,5.821866083802776e-21,9.956918920819021e-06,0.8671398668972948
0.34889488204299196,0.5,2.0224961483376255e-09,5.821862831837458e-21,9.956917530390191e-06,0.8671398668972948
0.36881513578735015,0.5,2.0224953675333138e-09,5.82186058425068e-21,9.956916569398835e-06,0.8671398668972948
0.3887752676468592,0.5,2.0224948269445982e-09,5.821859028137284e-21,9.956915904057721e-06,0.8671398668972948
0.4087248322147651,0.5,2.022494455878593e-09,5.821857960004034e-21,9.95691544736023e-06,0.8671398668972948
0.4286577181208054,0.5,2.022494200237113e-09,5.821857224126425e-21,9.956915132723926e-06,0.8671398668972948
0.4485440454486613,0.5,2.02249402474915e-09,5.8218567189749816e-21,9.956914916738286e-06,0.8671398668972948
0.4685198840889792,0.5,2.022493902282825e-09,5.821856366449145e-21,9.956914766010176e-06,0.8671398668972948
0.48837530140202023,0.5,2.022493819254363e-09,5.8218561274472975e-21,9.956914663821075e-06,0.8671398668972948
0.5083892617449665,0.5,2.0224937610843745e-09,5.821855960001889e-21,9.956914592227084e-06,0.8671398668972948
0.5283221476510068,0.5,2.022493721509344e-09,5.8218558460830566e-21,9.956914543519246e-06,0.8671398668972948
0.548208923145352,0.5,2.0224936942882985e-09,5.821855767725828e-21,9.956914510016345e-06,0.8671398668972948
0.5681879194630872,0.5,2.022493675493457e-09,5.821855713623876e-21,9.95691448688418e-06,0.8671398668972948
0.5881039966751609,0.5,2.0224936626269477e-09,5.821855676586944e-21,9.95691447104844e-06,0.8671398668972948
0.6080536912751678,0.5,2.0224936537412887e-09,5.821855651009102e-21,9.95691446011222e-06,0.8671398668972948
0.627958689945916,0.5,2.0224936476429824e-09,5.821855633454802e-21,9.956914452606595e-06,0.8671398668972948
0.6479194630872483,0.5,2.022493643435419e-09,5.821855621343107e-21,9.956914447428044e-06,0.8671398668972948
0.6677498717990749,0.5,2.0224936405589377e-09,5.821855613063002e-21,9.956914443887751e-06,0.8671398668972948
0.6877543290033289,0.5,2.0224936385619814e-09,5.821855607314657e-21,9.956914441429953e-06,0.8671398668972948
0.7076670062556142,0.5,2.022493637197144e-09,5.821855603385901e-21,9.95691443975015e-06,0.8671398668972948
