r_cm,z_F_radial_cm
0.0,0.11510132161799252
8.008008008008008e-05,0.11510128053717639
0.00016016016016016016,0.11510115729477206
0.00024024024024024023,0.11510095189091146
0.0003203203203203203,0.11510066432581452
0.0004004004004004004,0.11510029459978914
0.00048048048048048047,0.1150998427132312
0.0005605605605605605,0.11509930866662457
0.0006406406406406406,0.11509869246054101
0.0007207207207207207,0.1150979940956404
0.0008008008008008008,0.11509721357267043
0.0008808808808808808,0.11509635089246681
0.0009609609609609609,0.11509540605595332
0.001041041041041041,0.11509437906414156
0.001121121121121121,0.1150932699181312
0.0012012012012012011,0.11509207861910976
0.0012812812812812813,0.11509080516835284
0.0013613613613613614,0.11508944956722399
0.0014414414414414415,0.11508801181717462
0.0015215215215215216,0.11508649191974422
0.0016016016016016017,0.11508488987656014
0.0016816816816816816,0.11508320568933772
0.0017617617617617617,0.11508143935988024
0.0018418418418418418,0.11507959089007903
0.0019219219219219219,0.11507766028191323
0.002002002002002002,0.11507564753744995
0.002082082082082082,0.1150735526588443
0.002162162162162162,0.11507137564833929
0.002242242242242242,0.11506911650826587
0.0023223223223223224,0.11506677524104293
0.0024024024024024023,0.11506435184917738
0.0024824824824824826,0.11506184633526384
0.0025625625625625625,0.11505925870198508
0.0026426426426426424,0.11505658895211165
0.0027227227227227227,0.11505383708850216
0.0028028028028028026,0.11505100311410293
0.002882882882882883,0.11504808703194838
0.002962962962962963,0.11504508884516075
0.003043043043043043,0.11504200855695022
0.003123123123123123,0.11503884617061484
0.0032032032032032033,0.11503560168954059
0.0032832832832832832,0.1150322751172013
0.003363363363363363,0.11502886645715871
0.0034434434434434434,0.11502537571306247
0.0035235235235235233,0.11502180288865009
0.0036036036036036037,0.11501814798774695
0.0036836836836836835,0.11501441101426634
0.003763763763763764,0.11501059197220935
0.0038438438438438438,0.11500669086566495
0.003923923923923924,0.11500270769881005
0.004004004004004004,0.11499864247590932
0.004084084084084084,0.11499449520131524
0.004164164164164164,0.11499026587946831
0.004244244244244244,0.11498595451489667
0.004324324324324324,0.1149815611122164
0.004404404404404405,0.11497708567613135
0.004484484484484484,0.1149725282114333
0.0045645645645645645,0.1149678887230017
0.004644644644644645,0.11496316721580388
0.004724724724724724,0.11495836369489501
