index,x,y
0,0.4317718940936863,0.14227642276422792
1,0.645621181262729,0.30487804878048763
2,0.853360488798371,0.4620596205962064
3,1.091649694501018,0.6626016260162602
4,1.281059063136456,0.8252032520325203
5,1.4643584521384931,0.9823848238482387
6,1.6293279022403255,1.155826558265583
7,1.763747454175152,1.3130081300813012
8,1.8920570264765781,1.4430894308943092
9,1.9959266802443993,1.5406504065040652
10,2.1059063136456215,1.6761517615176156
11,2.2281059063136452,1.8224932249322496
12,2.405295315682281,2.0067750677506777
13,2.5274949083503055,2.115176151761518
14,2.655804480651731,2.245257452574526
15,2.7657841140529524,2.353658536585366
16,2.9063136456211818,2.4403794037940383
17,3.065173116089613,2.5271002710027104
18,3.224032586558044,2.6084010840108407
19,3.4195519348268837,2.6571815718157183
20,3.5906313645621184,2.7168021680216805
21,3.8044806517311605,2.754742547425475
22,4.024439918533605,2.7926829268292686
23,4.158859470468432,2.8306233062330626
24,4.329938900203666,2.8685636856368566
25,4.439918533604888,2.873983739837399
