time_ns,foam_energy_hJ,gold_energy_hJ
0.02994921981786449,0.0007540201498384598,2.690813492214844e-05
0.09056375951619294,0.0016598573339336204,9.457180051578808e-05
0.15116563482271153,0.003070387764298895,0.00031131140679675393
0.21183673469387754,0.004914930686268107,0.0007725623503334407
0.27244707075594193,0.007110466134922063,0.0015858473355433202
0.3330612244897959,0.009582673543702692,0.002776465337358456
0.3936734693877551,0.011980773392513149,0.0042676295391653974
0.45425167916234394,0.014566832816748644,0.006141858194074949
0.5148979591836735,0.017147868824060216,0.008364571587355334
0.5754466798308093,0.019908757176490408,0.010990955354960122
0.6361224489795918,0.02261237124316878,0.014002644884031938
0.696734693877551,0.02535400631752002,0.01730900433511875
0.7573389260512059,0.028233908376955157,0.021142936025301522
0.8179591836734694,0.031059512710821115,0.025265205906324258
0.8785519057005993,0.033875152800096016,0.029764175270515326
0.9391836734693877,0.036722518604686054,0.03461255483902172
0.9997959183673469,0.03976000105601902,0.039990018080051405
1.0603030572645076,0.04278603807437364,0.04583344688255894
1.121020408163265,0.04583469013553936,0.05211806522972955
1.18158309594638,0.04861740678614237,0.0585523153613757
1.2422081288514515,0.05104275618100153,0.06485997345377473
1.3028126449851483,0.05320046313653097,0.07098150600671124
1.363469387755102,0.05522452110174203,0.07700667927714774
1.4240663268217901,0.056991075093664204,0.08281896834700922
1.4846938775510203,0.05863944982937816,0.08847778423566852
1.5453061224489795,0.06017785632759116,0.09399557083361908
1.605909730137111,0.061663024204881525,0.09944757729658249
1.666530612244898,0.06302559774469653,0.10478726787298062
1.727142857142857,0.06427585539345962,0.10997844692022567
1.7877551020408164,0.06550822741100217,0.11507489384158998
1.8483673469387751,0.06660649078345472,0.12007567706376104
1.9088227369741249,0.06743968651702734,0.12469838225969511
1.969478434072165,0.0683311530387261,0.12921648123785134
2.0301459054326414,0.0692645049265875,0.13368426552016116
2.090816326530612,0.07016664885556928,0.1381494737854422
2.1513441497375347,0.07093119935883108,0.14245331092298127
2.212014009740068,0.07172365129751156,0.14667637178251744
2.27265306122449,0.07249942547023505,0.1508692630647002
2.3330553802700367,0.07329665784203113,0.15503780576829232
2.3938775510204082,0.0739207354459257,0.15907483601792818
2.4544620283053877,0.07449846129466858,0.16294407243956685
2.5151020408163265,0.07506277867968855,0.1667029623840145
2.5755326519505726,0.07540389164603756,0.17022589787903358
2.636136559145282,0.07552440660382172,0.17330532027908166
2.6969387755102043,0.0755015330890882,0.17605011293518652
2.7573375781435705,0.07542029852015372,0.17842888254684455
2.8178872731434925,0.07541780561268327,0.18069552168058825
2.8787755102040813,0.07533239081128532,0.1827810955059802
2.939387755102041,0.07530459437941957,0.18474093289900023
2.9996005470366494,0.0752683337892631,0.18662723913458543
