time_ns,front_position_mm,front_position_cm
0.029922761578454766,0.0,0.0
0.09017299600055448,0.018867924528301886,0.0018867924528301887
0.15115479337731133,0.03773584905660377,0.0037735849056603774
0.21183673469387754,0.05660377358490566,0.0056603773584905665
0.2724489795918367,0.09433962264150943,0.009433962264150943
0.33305544524602154,0.11320754716981132,0.011320754716981133
0.3936734693877551,0.1509433962264151,0.01509433962264151
0.4542563926956569,0.16981132075471697,0.016981132075471698
0.5148979591836735,0.20754716981132074,0.020754716981132074
0.5755102040816327,0.22641509433962265,0.022641509433962266
0.6361224489795918,0.2641509433962264,0.026415094339622643
0.696734693877551,0.2830188679245283,0.02830188679245283
0.7573393007089404,0.32075471698113206,0.03207547169811321
0.8178734746768489,0.33962264150943394,0.033962264150943396
0.8785714285714287,0.3773584905660377,0.03773584905660377
0.9391836734693877,0.3962264150943396,0.03962264150943396
0.9997959183673469,0.43396226415094336,0.04339622641509434
1.0600959315253726,0.4528301886792453,0.04528301886792453
1.1209002095556735,0.49056603773584906,0.04905660377358491
1.1816326530612244,0.5094339622641509,0.0509433962264151
1.2422448979591836,0.5471698113207547,0.05471698113207547
1.3027365592428857,0.5660377358490566,0.05660377358490566
1.363469387755102,0.5849056603773585,0.05849056603773585
1.4239239701647943,0.6037735849056604,0.06037735849056604
1.4846938775510203,0.6226415094339622,0.062264150943396226
1.5451936217446596,0.6415094339622641,0.06415094339622641
1.60586822346794,0.660377358490566,0.0660377358490566
1.666530612244898,0.6792452830188679,0.06792452830188679
1.727142857142857,0.6981132075471698,0.06981132075471698
1.7874066302811407,0.7169811320754716,0.07169811320754717
1.8483673469387751,0.7358490566037735,0.07358490566037736
1.9089506194101995,0.7547169811320754,0.07547169811320754
1.9695918367346936,0.7547169811320754,0.07547169811320754
2.030204081632653,0.7735849056603773,0.07735849056603773
2.090816326530612,0.7924528301886792,0.07924528301886792
2.150700885312446,0.7924528301886792,0.07924528301886792
2.2115410288759505,0.8113207547169811,0.08113207547169811
2.2722013135794112,0.8113207547169811,0.08113207547169811
2.333265306122449,0.830188679245283,0.0830188679245283
2.3938775510204082,0.830188679245283,0.0830188679245283
2.4544897959183674,0.8490566037735848,0.08490566037735849
2.515015947518747,0.8679245283018867,0.08679245283018867
2.5749095699692273,0.8679245283018867,0.08679245283018867
2.6363265306122448,0.8679245283018867,0.08679245283018867
2.6969387755102043,0.8867924528301886,0.08867924528301886
2.7575510204081635,0.8867924528301886,0.08867924528301886
2.818163265306122,0.9056603773584906,0.09056603773584906
2.8787755102040813,0.9056603773584906,0.09056603773584906
2.939387755102041,0.9245283018867925,0.09245283018867925
2.999885272183855,0.9245283018867925,0.09245283018867925
