z_cm,r_cm,T_cell_HeV
0.0004716981132075472,1.2578616352201259e-05,1790960.8384822442
0.0004716981132075472,5.0314465408805034e-05,1790960.8384822442
0.0004716981132075472,0.00010062893081761007,1790960.741776602
0.0004716981132075472,0.0001509433962264151,1790960.5677016026
0.0004716981132075472,0.00020125786163522014,1790960.3190119632
0.0004716981132075472,0.00025157232704402514,1790959.9966169258
0.0004716981132075472,0.0003018867924528302,1790959.600919918
0.0004716981132075472,0.00035220125786163527,1790959.1321277046
0.0004716981132075472,0.0004025157232704403,1790958.5903534347
0.0004716981132075472,0.0004528301886792453,1790957.9756590663
0.0004716981132075472,0.0005031446540880503,1790957.2880754573
0.0004716981132075472,0.0005534591194968554,1790956.5276128782
0.0004716981132075472,0.0006037735849056604,1790955.6942669502
0.0004716981132075472,0.0006540880503144654,1790954.7880221985
0.0004716981132075472,0.0007044025157232705,1790953.8088542798
0.0004716981132075472,0.0007547169811320755,1790952.7567314354
0.0004716981132075472,0.0008050314465408805,1790951.631615465
0.0004716981132075472,0.0008553459119496856,1790950.4334623988
0.0004716981132075472,0.0009056603773584906,1790949.1622229654
0.0004716981132075472,0.0009559748427672957,1790947.8178429261
0.0004716981132075472,0.0010062893081761006,1790946.4002633144
0.0004716981132075472,0.0010566037735849057,1790944.9094206057
0.0004716981132075472,0.0011069182389937108,1790943.34524684
0.0004716981132075472,0.0011572327044025157,1790941.707669706
0.0004716981132075472,0.0012075471698113208,1790939.9966125987
0.0004716981132075472,0.001257861635220126,1790938.2119946533
0.0004716981132075472,0.0013081761006289308,1790936.3537307645
0.0004716981132075472,0.001358490566037736,1790934.4217315896
0.0004716981132075472,0.001408805031446541,1790932.415903544
0.0004716981132075472,0.001459119496855346,1790930.3361487817
0.0004716981132075472,0.001509433962264151,1790928.1823651728
0.0004716981132075472,0.001559748427672956,1790925.9544462722
0.0004716981132075472,0.001610062893081761,1790923.6522812818
0.0004716981132075472,0.0016603773584905662,1790921.2757550073
0.0004716981132075472,0.0017106918238993711,1790918.8247478115
0.0004716981132075472,0.0017610062893081762,1790916.2991355592
0.0004716981132075472,0.0018113207547169811,1790913.6987895644
0.0004716981132075472,0.0018616352201257862,1790911.0235765246
0.0004716981132075472,0.0019119496855345914,1790908.2733584594
0.0004716981132075472,0.0019622641509433963,1790905.447992639
0.0004716981132075472,0.002012578616352201,1790902.5473315136
0.0004716981132075472,0.0020628930817610065,1790899.5712226355
0.0004716981132075472,0.0021132075471698114,1790896.519508578
0.0004716981132075472,0.0021635220125786163,1790893.392026855
0.0004716981132075472,0.0022138364779874216,1790890.1886098282
0.0004716981132075472,0.0022641509433962265,1790886.9090846207
0.0004716981132075472,0.0023144654088050314,1790883.553273017
0.0004716981132075472,0.0023647798742138368,1790880.1209913685
0.0004716981132075472,0.0024150943396226416,1790876.6120504863
0.0004716981132075472,0.0024654088050314465,1790873.0262555347
0.0004716981132075472,0.002515723270440252,1790869.3634059236
0.0004716981132075472,0.0025660377358490568,1790865.623295187
0.0004716981132075472,0.0026163522012578617,1790861.8057108691
0.0004716981132075472,0.002666666666666667,1790857.9104343958
0.0004716981132075472,0.002716981132075472,1790853.937240947
0.0004716981132075472,0.002767295597484277,1790849.885899324
0.0004716981132075472,0.002817610062893082,1790845.7561718118
0.0004716981132075472,0.002867924528301887,1790841.5478140332
0.0004716981132075472,0.002918238993710692,1790837.2605748028
0.0004716981132075472,0.002968553459119497,1790832.894195973
0.0004716981132075472,0.003018867924528302,1790828.4484122742
0.0004716981132075472,0.003069182389937107,1790823.9229511518
0.0004716981132075472,0.003119496855345912,1790819.317532595
0.0004716981132075472,0.0031698113207547173,1790814.6318689599
0.0004716981132075472,0.003220125786163522,1790809.8656647885
0.0004716981132075472,0.003270440251572327,1790805.018616619
0.0004716981132075472,0.0033207547169811324,1790800.0904127916
0.0004716981132075472,0.0033710691823899373,1790795.0807332455
0.0004716981132075472,0.0034213836477987422,1790789.9892493107
0.0004716981132075472,0.0034716981132075476,1790784.8156234913
0.0004716981132075472,0.0035220125786163525,1790779.559509242
0.0004716981132075472,0.0035723270440251574,1790774.220550738
0.0004716981132075472,0.0036226415094339623,1790768.798382633
0.0004716981132075472,0.0036729559748427676,1790763.2926298133
0.0004716981132075472,0.0037232704402515725,1790757.7029071418
0.0004716981132075472,0.0037735849056603774,1790752.0288191922
0.0004716981132075472,0.0038238993710691827,1790746.2699599757
0.0004716981132075472,0.0038742138364779876,1790740.425912656
0.0004716981132075472,0.003924528301886793,1790734.496249256
0.0004716981132075472,0.003974842767295598,1790728.4805303556
0.0004716981132075472,0.004025157232704402,1790722.3783047756
0.0004716981132075472,0.004075471698113208,1790716.1891092537
0.0004716981132075472,0.004125786163522013,1790709.9124681067
0.0004716981132075472,0.0041761006289308174,1790703.5478928837
0.0004716981132075472,0.004226415094339623,1790697.094882005
0.0004716981132075472,0.004276729559748428,1790690.5529203888
0.0004716981132075472,0.004327044025157233,1790683.9214790652
0.0004716981132075472,0.004377358490566038,1790677.2000147775
0.0004716981132075472,0.004427672955974843,1790670.387969567
0.0004716981132075472,0.004477987421383648,1790663.4847703464
0.0004716981132075472,0.004528301886792453,1790656.4898284548
0.0004716981132075472,0.004578616352201258,1790649.4025391997
0.0004716981132075472,0.004628930817610063,1790642.2222813824
0.0004716981132075472,0.004679245283018868,1790634.9484168035
0.0004716981132075472,0.0047295597484276735,1790627.5802897564
0.0004716981132075472,0.004779874213836478,1790620.117226497
0.0004716981132075472,0.004830188679245283,1790612.558534698
0.0004716981132075472,0.004880503144654089,1790604.9035028843
0.0004716981132075472,0.004930817610062893,1790597.1513998434
0.0004716981132075472,0.004981132075471698,1790589.3014740208
0.0004716981132075472,0.005031446540880504,1790581.3529528896
0.0004716981132075472,0.005081761006289308,1790573.305042298
0.0004716981132075472,0.0051320754716981136,1790565.156925795
0.0004716981132075472,0.005182389937106919,1790556.9077639286
0.0004716981132075472,0.005232704402515723,1790548.5566935227
0.0004716981132075472,0.005283018867924529,1790540.1028269227
0.0004716981132075472,0.005333333333333334,1790531.5452512181
0.0004716981132075472,0.0053836477987421385,1790522.883027435
0.0004716981132075472,0.005433962264150944,1790514.1151896971
0.0004716981132075472,0.005484276729559749,1790505.2407443589
0.0004716981132075472,0.005534591194968554,1790496.2586691065
0.0004716981132075472,0.005584905660377359,1790487.1679120227
0.0004716981132075472,0.005635220125786164,1790477.9673906208
0.0004716981132075472,0.005685534591194969,1790468.6559908409
0.0004716981132075472,0.005735849056603773,1790459.23256601
0.0004716981132075472,0.005786163522012579,1790449.6959357613
0.0004716981132075472,0.005836477987421384,1790440.0448849164
0.0004716981132075472,0.005886792452830188,1790430.278162323
0.0004716981132075472,0.0059371069182389945,1790420.3944796498
0.0004716981132075472,0.005987421383647799,1790410.3925101382
0.0004716981132075472,0.0060377358490566035,1790400.270887303
0.0004716981132075472,0.00608805031446541,1790390.0282035898
0.0004716981132075472,0.006138364779874214,1790379.663008975
0.0004716981132075472,0.006188679245283019,1790369.1738095188
0.0004716981132075472,0.006238993710691825,1790358.5590658593
0.0004716981132075472,0.006289308176100629,1790347.817191652
0.0004716981132075472,0.006339622641509434,1790336.946551948
0.0004716981132075472,0.00638993710691824,1790325.9454615116
0.0004716981132075472,0.006440251572327044,1790314.812183072
0.0004716981132075472,0.006490566037735849,1790303.5449255109
0.0004716981132075472,0.006540880503144655,1790292.1418419757
0.0004716981132075472,0.0065911949685534595,1790280.6010279255
0.0004716981132075472,0.006641509433962264,1790268.9205190972
0.0004716981132075472,0.00669182389937107,1790257.0982893964
0.0004716981132075472,0.006742138364779875,1790245.1322487034
0.0004716981132075472,0.006792452830188679,1790233.020240598
0.0004716981132075472,0.006842767295597485,1790220.7600399903
0.0004716981132075472,0.00689308176100629,1790208.3493506655
0.0004716981132075472,0.006943396226415094,1790195.7858027266
0.0004716981132075472,0.0069937106918239005,1790183.0669499428
0.0004716981132075472,0.007044025157232705,1790170.190266989
0.0004716981132075472,0.007094339622641509,1790157.153146578
0.0004716981132075472,0.007144654088050316,1790143.9528964842
0.0004716981132075472,0.00719496855345912,1790130.5867364425
0.0004716981132075472,0.0072452830188679245,1790117.05179493
0.0004716981132075472,0.00729559748427673,1790103.345105818
0.0004716981132075472,0.007345911949685535,1790089.4636048917
0.0004716981132075472,0.00739622641509434,1790075.4041262309
0.0004716981132075472,0.007446540880503145,1790061.163398448
0.0004716981132075472,0.00749685534591195,1790046.7380407718
0.0004716981132075472,0.007547169811320755,1790032.1245589806
0.0004716981132075472,0.00759748427672956,1790017.3193411664
0.0004716981132075472,0.0076477987421383654,1790002.3186533332
0.0004716981132075472,0.00769811320754717,1789987.118634815
0.0004716981132075472,0.007748427672955975,1789971.715293511
0.0004716981132075472,0.007798742138364781,1789956.1045009294
0.0004716981132075472,0.007849056603773587,1789940.2819870247
0.0004716981132075472,0.007899371069182391,1789924.243334835
0.0004716981132075472,0.007949685534591196,1789907.9839748922
0.0004716981132075472,0.007987629716981132,1767702.051333357
0.0004716981132075472,0.008000875149433921,347480.9767236197
0.0004716981132075472,0.008001884140383695,346833.97964484943
0.0004716981132075472,0.008003095653255295,346052.51339240535
0.0004716981132075472,0.008004550337698589,345107.4385082515
0.0004716981132075472,0.008006297002450702,343962.7285242408
0.0004716981132075472,0.008008394253005858,342573.55838259566
0.0004716981132075472,0.00801091245799384,340883.7171882542
0.0004716981132075472,0.008013936110244596,338822.0302864177
0.0004716981132075472,0.00801756666175932,336297.2865623568
0.0004716981132075472,0.008021925927709221,333190.83736239973
0.0004716981132075472,0.008027160173675682,329345.4380571841
0.0004716981132075472,0.008033445023270146,324547.78316230327
0.0004716981132075472,0.008040991350798155,318499.9796309321
