z_cm,r_cm,T_vert_HeV
0.0,0.0,0.7346136464553591
0.0,0.003947368421052632,0.7346136464553591
0.0,0.011842105263157895,0.7346136464553591
0.0,0.019736842105263157,0.7344670382825322
0.0,0.027631578947368424,0.7342005998870453
0.0,0.035526315789473684,0.7338140660792948
0.0,0.043421052631578944,0.7333022671650988
0.0,0.05131578947368422,0.7326568620736628
0.0,0.05921052631578948,0.7318663591630699
0.0,0.06710526315789474,0.7309156155639384
0.0,0.075,0.7297849337749357
0.0,0.08289473684210527,0.7284486358358712
0.0,0.09078947368421053,0.7268728150924613
0.0,0.09868421052631579,0.7250116752316168
0.0,0.10657894736842105,0.7228012833158725
0.0,0.11447368421052632,0.7201482847185607
0.0,0.12236842105263158,0.7169081144940018
0.0,0.13026315789473686,0.712839591459643
0.0,0.1381578947368421,0.7075016867070499
0.0,0.14605263157894738,0.6999938640387953
0.0,0.15000041666666666,0.6275007579553057
0.0,0.15000133363220117,0.1959091128480412
0.0,0.15000243464856622,0.1957750983431841
0.0,0.15000375665794438,0.19561375105829973
0.0,0.1500053440174528,0.19541939005010686
0.0,0.15000724998744858,0.19518510579368872
0.0,0.1500095385185631,0.1949024729621388
0.0,0.1500122863974246,0.19456118649690632
0.0,0.15001558582306462,0.19414859640808468
0.0,0.15001954750045401,0.19364910730043505
0.0,0.15002430435496442,0.1930433950330001
0.0,0.1500300159923869,0.1923073732631493
0.0,0.15003687405415334,0.19141081410576657
0.0,0.15004510864744294,0.1903154857262309
0.0,0.15005499606592276,0.18897260949523687
0.0,0.15006686806017397,0.18731935111682887
0.0,0.15008112296885295,0.18527392649051067
0.0,0.15009823908406883,0.1827286819753347
0.0,0.1501187906994233,0.17954007942902028
0.0,0.15014346737916928,0.17551351542277943
0.0,0.15017309709502294,0.170378279708493
0.0,0.1502086740069335,0.16374087840723406
0.0,0.15025139181993394,0.15498590352120345
0.0,0.15030268383628786,0.14303758736864514
0.0,0.15036427104679478,0.12567389411214955
0.0,0.15043821987485118,0.09673493278740374
0.0,0.15052701151074288,0.010640038456526972
0.0,0.15063362516252798,2.2426069450937577e-05
0.0,0.15076163801681103,2.242530792648163e-05
0.0,0.15091534526337191,2.242530792648163e-05
0.0,0.15109990421081249,2.242530792648163e-05
0.0,0.15132150732870359,2.242530792648163e-05
0.0,0.15158759002228253,2.242530792648163e-05
0.0,0.15190708011112236,2.242530792648163e-05
0.0,0.1522906973824824,2.242530792648163e-05
0.0,0.1525,2.242530792648163e-05
0.005263157894736842,0.0,0.7346136464553591
0.005263157894736842,0.003947368421052632,0.7286923054168348
0.005263157894736842,0.011842105263157895,0.7286091234477297
0.005263157894736842,0.019736842105263157,0.7283747291339254
0.005263157894736842,0.027631578947368424,0.7280040507223777
0.005263157894736842,0.035526315789473684,0.7274938202477791
0.005263157894736842,0.043421052631578944,0.7268360997845627
0.005263157894736842,0.05131578947368422,0.726019249515388
0.005263157894736842,0.05921052631578948,0.7250276145477532
0.005263157894736842,0.06710526315789474,0.7238406662164971
0.005263157894736842,0.075,0.7224315847555763
0.005263157894736842,0.08289473684210527,0.7207650225306019
