time_ns,foam_energy_hJ,gold_energy_hJ
0.03,0.011397037118929735,0.0003173567607639028
0.09061224489795919,0.01829291016904462,0.00031730377026697055
0.15122448979591838,0.030244022961499212,0.00032999074704593266
0.21180298118484442,0.06611432546780113,0.0006930507008537837
0.2724489795918367,0.12210083594863895,0.0017601637883170444
0.3330612244897959,0.2030157619936239,0.004160122130902485
0.3936734693877551,0.3111890841125594,0.008769508368869526
0.454242828456699,0.443981862393888,0.016362764643343887
0.514885851245901,0.6098872592572712,0.0284633724046488
0.5755102040816327,0.787481896723033,0.044876511835570614
0.6361224489795918,0.9835886862010084,0.06635506673663753
0.696734693877551,1.1875400619470347,0.09325383023825101
0.7573469387755102,1.3976570916253332,0.124910769705657
0.8179591836734694,1.6117871464104963,0.161430150196517
0.8785519565670897,1.8282891096462097,0.20287882212907707
0.9391475006861364,2.04564137376189,0.24902948855811616
0.9997767553388966,2.2706955111926996,0.2999815661555118
1.060403779739938,2.4933478574883323,0.3557953009233459
1.1209803811390535,2.7097386002009203,0.41507725461287803
1.1816199459175087,2.9162260556622233,0.47660973603508344
1.242232903617505,3.1410351243630092,0.5435509008388124
1.302857142857143,3.359315020031148,0.6146800896784239
1.3634026799118353,3.5737134389358842,0.6892410258825004
1.4240725256796076,3.7891448157061145,0.7672731450073995
1.4846938775510203,4.0039851894352925,0.8484560642096192
1.5453061224489795,4.222026039298617,0.9346748134326132
1.6059142636775465,4.430556879005932,1.0229752482400973
1.666530612244898,4.6391741063396905,1.1137534542435379
1.7271058414473344,4.843251698172157,1.2072489506225272
1.7877551020408164,5.042271670963049,1.302434123137251
1.8483673469387751,5.2556100973674305,1.4029110272690006
1.9089526473718046,5.4746936302785745,1.5082214110296486
1.9695918367346936,5.689873429565463,1.6182056505593734
2.0302022818100376,5.896772969103636,1.7299262363461787
2.090816326530612,6.104096434117729,1.8438567281681448
2.151417497699901,6.311876745643675,1.961026117557198
2.2120408163265304,6.521301257189876,2.082044955391127
2.27265306122449,6.723210606702005,2.2047757105551438
2.333265306122449,6.929566477050582,2.330493532188698
2.3938095541066002,7.134773042942803,2.459023140905477
2.4544897959183674,7.339574819396653,2.5914251959924397
2.5151020408163265,7.526965580136987,2.722610579945732
2.575648912591197,7.72948809025027,2.856930719648186
2.6363265306122448,7.930735308798872,2.9958286273997174
2.6969387755102043,8.125423393635602,3.1360468528225844
2.7575510204081635,8.315228333541983,3.2772705600023397
2.8181286022466367,8.506376537543273,3.4200361193929205
2.8787755102040813,8.705796940364884,3.567295847214965
2.939387755102041,8.912396671362817,3.7197640163683423
3.0,9.11400004900991,3.8757472436292253
