time_ns,front_position (Marshak),front_position (HR),front_position (gold loss),front_position (ablation_varying_rho),front_position (ablation_varying_rho_lam_eff)
0.01,0.0,0.00047475112536195653,0.0,0.0,0.0
0.015995995995995996,5.0539613251761043e-05,0.0006328703649559212,5.0539613251761043e-05,4.459784191719427e-05,4.459784186188305e-05
0.02199199199199199,0.0001194173672492387,0.0007647836729020286,0.00011924914338072297,0.00011094907179592257,0.00011091432000799
0.02798798798798799,0.00019013171387448,0.0008823748725236846,0.0001896877637998259,0.00017885871481558254,0.00017868455830910386
0.03398398398398399,0.00025027719306096015,0.0010079025208029817,0.0002495061703412324,0.00023546016397676695,0.000235180940100139
0.039979979979979985,0.00030865524663978115,0.001123797402173883,0.0003076656776123359,0.00029239451183653417,0.00029196943869803054
0.045975975975975976,0.00036321598250555994,0.001232946702032565,0.00036202750265728885,0.00034566588211723455,0.00034507135788716507
0.051971971971971974,0.0004206508159412177,0.001337162694720143,0.0004192781687574511,0.00040168283334247434,0.0004009056087413797
0.05796796796796797,0.0004801185713382135,0.0014376713684403134,0.0004785763651243586,0.00046022593264586774,0.0004592246501531003
0.06396396396396396,0.0005357451360881812,0.0015335414235849876,0.0005340285516117861,0.0005150394696148406,0.0005138069658514057
0.06995995995995996,0.000587300495768061,0.0016277790118940857,0.0005854141451650008,0.0005655278631849207,0.0005640759506709836
0.07595595595595596,0.000642737975811049,0.0017253565463959813,0.0006407046853196418,0.0006198607233511744,0.0006181618891353343
0.08195195195195194,0.0007016099343259044,0.0018036331580460975,0.0006994400863033724,0.0006777259205938885,0.0006757383704379371
0.08794794794794794,0.000760278437807322,0.0019356211914589967,0.0007579792357676011,0.0007350980357459542,0.0007328133987729855
0.09394394394394394,0.0008377874913354891,0.0021397113006286325,0.0008353794591339481,0.0008111331913325941,0.000808460975974635
0.09993993993993994,0.0009270982632124795,0.002332172321225459,0.0009245634902680247,0.0008990592061754553,0.0008958708261173525
0.10593593593593593,0.0010158086011018991,0.002515878880651888,0.0010131141820711705,0.0009862858306362125,0.0009825308209135055
0.11193193193193193,0.001106713774937773,0.002692819177838485,0.0011038523926119868,0.0010756587971566148,0.0010712935990779308
0.11792792792792793,0.0011949494714733459,0.0028617953077572527,0.0011919190388225904,0.0011624607307747323,0.001157448310331304
0.12392392392392393,0.0012802664651342351,0.003029730181519139,0.0012770659052098686,0.001246396368213791,0.0012407202979710648
0.12991991991991994,0.0013587125915375084,0.003197241167820582,0.0013553446317011047,0.0013234448878404834,0.001317113636047296
0.13591591591591592,0.0014408666941557152,0.0033647930396999417,0.0014373478339214918,0.0014040903552838646,0.0013970663709528491
0.14191191191191194,0.0015335269735038902,0.0035301479629393146,0.0015298676034427917,0.0014952266560656353,0.0014874000018445265
0.14790790790790792,0.0016260418080194915,0.0036978163895342825,0.0016222289357113204,0.0015862846879667878,0.001577589487193757
0.1539039039039039,0.0017077737213439328,0.003869867826168285,0.001703794145173549,0.0016665308728658291,0.0016569979513335262
0.15989989989989992,0.0017939465254425489,0.004046449014340932,0.0017898179613760332,0.0017510193253452372,0.0017406190208031753
0.1658958958958959,0.0018966677180777827,0.004221206731762375,0.0018924072158391346,0.0018519308635388727,0.0018405050299122273
0.1718918918918919,0.0019891108764441383,0.004348754899124081,0.0019848744386686233,0.001942318705484299,0.0019298417985816041
0.1778878878878879,0.0020824978692293838,0.004600182217353081,0.0020780923461507267,0.002035330075362548,0.002021777404098794
0.1838838838838839,0.0022116756782916136,0.00490046056759041,0.002206539327643488,0.0021609327402629676,0.002146028012638538
0.1898798798798799,0.002355921359531466,0.0052232879203838204,0.0023500450150725173,0.0023012963908118932,0.0022847517492136193
0.1958758758758759,0.0025068835411221823,0.005550668083338007,0.002500482746895908,0.0024485545114727287,0.002430188153297806
0.2018718718718719,0.0026718437955004265,0.005891668203790698,0.0026649046900186595,0.0026097679506840396,0.002589346546365889
0.20786786786786787,0.002835524408555073,0.006230512590875043,0.0028282428889654407,0.0027695232359677613,0.0027468933307856986
0.21386386386386388,0.0029867252337145225,0.0065642120078205244,0.0029788703100953754,0.002919121892079234,0.0028942394474607428
0.21985985985985987,0.003140215259953074,0.006893960221701768,0.003131069028086089,0.0030675858943123384,0.0030403914558635166
0.22585585585585588,0.0033085228465439516,0.007205642961901486,0.00329813734944303,0.0032305000492734914,0.003200774554823793
0.23185185185185186,0.0034706374120976576,0.007520474584698654,0.003459370408862281,0.0033877639222886346,0.003355378568656249
0.23784784784784788,0.003633610056777302,0.007876912357493328,0.0036215683008893338,0.0035456196516626356,0.0035104965895455583
0.24384384384384386,0.0038024289389594927,0.008231623825811097,0.0037892329376013976,0.003712065070826298,0.003673995302022935
0.24983983983983987,0.003968049570358034,0.00851394725750115,0.003953491370531629,0.003874238926382595,0.003833044831727534
0.25583583583583586,0.004149354652448968,0.008927927737132708,0.004133649245922748,0.004043918705822279,0.003999446782465861
0.26183183183183184,0.004336480015984549,0.009340938274937474,0.0043191670256954575,0.004225386772671602,0.004177357747684846
0.2678278278278278,0.004532400405762247,0.009753797173968414,0.004513446828990665,0.004414793354038097,0.004362925371680925
0.27382382382382386,0.004750681179688931,0.01016761455512604,0.004730193284046588,0.004625337064353678,0.004569228043773758
0.27981981981981985,0.004972522887408423,0.010588804087999601,0.004949810698394623,0.004842242087802181,0.004781510441182874
0.28581581581581583,0.005190690100967837,0.011006899748347345,0.0051658762381534456,0.005054033932522343,0.004988445366845754
0.2918118118118118,0.005393479383366263,0.01142263198556188,0.005366586251316383,0.005246319484653406,0.005175912481929668
0.2978078078078078,0.005595787242515054,0.011836635868403519,0.005566012389050139,0.005437885270455024,0.005362636000930053
0.30380380380380384,0.005815486800032755,0.012249468523744183,0.005783261279719301,0.005647103386311472,0.005566723071158272
0.3097997997997998,0.006039986533072817,0.01266162269856166,0.006005742490101129,0.005864906958592704,0.005779026982305992
0.3157957957957958,0.006250364730267204,0.01307353744669627,0.006212955884037529,0.006068972111275235,0.005977401272094807
