r_cm,z_F_radial_cm
0.0,0.19547518071004538
0.00015015015015015014,0.19547517487143723
0.0003003003003003003,0.19547515735561327
0.0004504504504504504,0.19547512816257506
0.0006006006006006006,0.19547508729232524
0.0007507507507507507,0.19547503474486744
0.0009009009009009008,0.19547497052020643
0.001051051051051051,0.19547489461834788
0.0012012012012012011,0.19547480703929868
0.0013513513513513512,0.19547470778306664
0.0015015015015015015,0.19547459684966068
0.0016516516516516516,0.19547447423909067
0.0018018018018018016,0.1954743399513676
0.001951951951951952,0.19547419398650362
0.002102102102102102,0.19547403634451166
0.0022522522522522522,0.19547386702540595
0.0024024024024024023,0.1954736860292016
0.0025525525525525524,0.19547349335591485
0.0027027027027027024,0.19547328900556304
0.002852852852852853,0.19547307297816435
0.003003003003003003,0.19547284527373823
0.003153153153153153,0.19547260589230503
0.003303303303303303,0.19547235483388622
0.003453453453453453,0.19547209209850433
0.0036036036036036032,0.1954718176861829
0.0037537537537537537,0.1954715315969464
0.003903903903903904,0.19547123383082066
0.004054054054054054,0.19547092438783215
0.004204204204204204,0.19547060326800877
0.004354354354354354,0.19547027047137921
0.0045045045045045045,0.1954699259979733
0.0046546546546546545,0.195469569847822
0.004804804804804805,0.19546920202095705
0.004954954954954955,0.19546882251741154
0.005105105105105105,0.19546843133721944
0.005255255255255255,0.1954680284804158
0.005405405405405405,0.1954676139470367
0.005555555555555555,0.19546718773711935
0.005705705705705706,0.19546674985070184
0.005855855855855856,0.19546630028782344
0.006006006006006006,0.19546583904852452
0.006156156156156156,0.19546536613284635
0.006306306306306306,0.1954648815408312
0.006456456456456456,0.1954643852725227
0.006606606606606606,0.1954638773279651
0.006756756756756756,0.19546335770720413
0.006906906906906906,0.19546282641028626
0.007057057057057056,0.195462283437259
0.0072072072072072065,0.19546172878817117
0.007357357357357357,0.19546116246307232
0.0075075075075075074,0.19546058446201334
0.0076576576576576575,0.19545999478504583
0.007807807807807808,0.19545939343222285
0.007957957957957958,0.19545878040359818
0.008108108108108109,0.19545815569922667
0.008258258258258258,0.19545751931916447
0.008408408408408409,0.19545687126346845
0.008558558558558558,0.19545621153219675
0.008708708708708709,0.1954555401254085
0.008858858858858858,0.19545485704316384
0.009009009009009009,0.19545416228552398
0.009159159159159158,0.19545345585255117
