time_ns,E_marshak,E_gold_loss,E_wall_gold_loss,E_vacuum_loss,E_Be_loss,E_Be_wall_loss,E_Cu_loss,E_Cu_wall_loss
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025005005005005007,0.0002088533291220664,0.0002088533291220664,0.0,0.0002088533262077997,0.0002088533291220664,0.0,0.0002088533291220664,0.0
0.04001001001001001,0.0006188129797331435,0.0006187287767374235,1.6840599143948228e-07,0.0006187922822446265,0.0006187933664682506,3.922652978562962e-08,0.0006187018584040579,2.2224265817089193e-07
0.05501501501501502,0.0010077769550386367,0.0010075283291573645,3.373540962502864e-07,0.001007680541059017,0.0010077105444612803,9.557638748648352e-08,0.001007442279099382,4.5833755621152185e-07
0.07002002002002002,0.0013803578784951003,0.0013799654910381092,4.840045227916058e-07,0.0013801465008680882,0.0013802413504173238,1.4700648672458703e-07,0.0013798207873227722,6.649006720181217e-07
0.08502502502502503,0.0017450027591882837,0.0017444846881611274,6.292470588655892e-07,0.0017446617800113472,0.0017448396012203567,2.0137917571466234e-07,0.0017442869529841773,8.716275724516864e-07
0.10003003003003003,0.002101300797373222,0.0021006611790710104,7.710329337664303e-07,0.0021008133622847144,0.00210109024124342,2.5671257845095987e-07,0.0021004108016679456,1.074780512059949e-06
0.11503503503503502,0.002450956051176727,0.0024502002376718623,9.100107473187854e-07,0.002450309442471391,0.002450698351795287,3.127580058226717e-07,0.002449898456869371,1.2749548622312222e-06
0.13004004004004005,0.0027947221798853665,0.002793854858789739,1.0466763045180529e-06,0.0027939058838310584,0.0027944178057307634,3.6938995370841054e-07,0.002793502938438082,1.472655334490159e-06
0.14504504504504506,0.0032407821802776446,0.0032398072211499013,1.1813067372124132e-06,0.0032397869490844405,0.0032404315545638634,4.264769029231109e-07,0.0032394062416328715,1.6681287718140781e-06
0.16005005005005007,0.0037829517064836816,0.0037818637065177973,1.332107100763143e-06,0.0037817520755702855,0.003782549750496661,4.951531512232246e-07,0.0037814097450462325,1.8895962186860026e-06
0.17505505505505506,0.004305224091561499,0.004304007629577268,1.502144262157873e-06,0.004303773334516488,0.004304759062804093,5.783099832387289e-07,0.004303491047254976,2.1421777445190285e-06
0.19006006006006007,0.004812040548985168,0.0048106883854621245,1.6745315481008021e-06,0.0048103059932805645,0.004811505596998082,6.648277509424986e-07,0.0048101040410139535,2.399309181105129e-06
0.20506506506506508,0.005311021381326231,0.005309536381188854,1.846609331955383e-06,0.00530899210794153,0.005310416547553014,7.527360767102499e-07,0.005308885035033961,2.65670532320407e-06
0.22007007007007007,0.0058034917574312644,0.005801876972625399,2.018486406134701e-06,0.005801159322138191,0.005802817557203031,8.4199811777368e-07,0.005801159670404932,2.9144770965489995e-06
0.23507507507507508,0.006289685853303869,0.006287943416800069,2.1901215091446067e-06,0.006287041020961893,0.006288942352929871,9.324856710944144e-07,0.006287160760487658,3.1725052088293308e-06
0.2500800800800801,0.006769927330027191,0.006768059175260316,2.361378928804512e-06,0.006766961263179324,0.00676911457376139,1.0240108577857755e-06,0.0067672117076531995,3.430525570870534e-06
0.2650850850850851,0.007244565500540682,0.007242573575218827,2.5321419844466304e-06,0.007241270166580591,0.007243683645678953,1.1164065897990876e-06,0.007241661897639051,3.6883093923704012e-06
0.2800900900900901,0.007869723683383229,0.0078676099372547,2.702325809677131e-06,0.007866091786178205,0.00786877298370513,1.2095357901202019e-06,0.00786663469783875,3.9456831061620845e-06
0.29509509509509513,0.008636645205895965,0.00863440382284825,2.887682869924218e-06,0.008632646929788355,0.008635619879680827,1.315802720395107e-06,0.008633360928875195,4.2281003758084375e-06
