r_cm,z_F_radial_cm
0.0,0.13066978749234331
0.00015015015015015014,0.13066976233774152
0.0003003003003003003,0.13066968687395075
0.0004504504504504504,0.13066956110101452
0.0006006006006006006,0.13066938501900555
0.0007507507507507507,0.13066915862802542
0.0009009009009009008,0.13066888192820494
0.001051051051051051,0.13066855491970392
0.0012012012012012011,0.13066817760271116
0.0013513513513513512,0.13066774997744462
0.0015015015015015015,0.1306672720441512
0.0016516516516516516,0.13066674380310697
0.0018018018018018016,0.130666165254617
0.001951951951951952,0.13066553639901538
0.002102102102102102,0.13066485723666524
0.0022522522522522522,0.1306641277679589
0.0024024024024024023,0.13066334799331758
0.0025525525525525524,0.1306625179131916
0.0027027027027027024,0.1306616375280604
0.002852852852852853,0.13066070683843237
0.003003003003003003,0.13065972584484503
0.003153153153153153,0.13065869454786486
0.003303303303303303,0.13065761294808753
0.003453453453453453,0.13065648104613758
0.0036036036036036032,0.13065529884266877
0.0037537537537537537,0.13065406633836377
0.003903903903903904,0.13065278353393445
0.004054054054054054,0.13065145043012158
0.004204204204204204,0.13065006702769508
0.004354354354354354,0.13064863332745388
0.0045045045045045045,0.1306471493302259
0.0046546546546546545,0.13064561503686822
0.004804804804804805,0.13064403044826692
0.004954954954954955,0.13064239556533702
0.005105105105105105,0.13064071038902278
0.005255255255255255,0.13063897492029738
0.005405405405405405,0.13063718916016304
0.005555555555555555,0.13063535310965108
0.005705705705705706,0.13063346676982182
0.005855855855855856,0.13063153014176462
0.006006006006006006,0.13062954322659792
0.006156156156156156,0.13062750602546913
0.006306306306306306,0.1306254185395548
0.006456456456456456,0.13062328077006044
0.006606606606606606,0.13062109271822062
0.006756756756756756,0.13061885438529894
0.006906906906906906,0.13061656577258807
0.007057057057057056,0.1306142268814096
0.0072072072072072065,0.1306118377131144
0.007357357357357357,0.13060939826908213
0.0075075075075075074,0.13060690855072152
0.0076576576576576575,0.13060436855947047
0.007807807807807808,0.1306017782967958
0.007957957957957958,0.13059913776419338
0.008108108108108109,0.13059644696318806
0.008258258258258258,0.13059370589533387
0.008408408408408409,0.1305909145622137
0.008558558558558558,0.13058807296543953
0.008708708708708709,0.1305851811066524
0.008858858858858858,0.1305822389875224
0.009009009009009009,0.13057924660974846
0.009159159159159158,0.13057620397505873
0.009309309309309309,0.13057311108521027
0.009459459459459458,0.13056996794198927
0.00960960960960961,0.13056677454721077
0.00975975975975976,0.13056353090271908
0.00990990990990991,0.13056023701038721
0.01006006006006006,0.1305568928721174
0.01021021021021021,0.13055349848984088
0.01036036036036036,0.13055005386551785
0.01051051051051051,0.1305465590011375
0.01066066066066066,0.1305430138987181
0.01081081081081081,0.13053941856030687
0.01096096096096096,0.13053577298798008
0.01111111111111111,0.130532077183843
0.01126126126126126,0.13052833115002985
0.011411411411411412,0.13052453488870389
0.01156156156156156,0.1305206884020574
0.011711711711711712,0.13051679169231165
0.011861861861861861,0.13051284476171693
0.012012012012012012,0.1305088476125525
0.012162162162162161,0.13050480024712655
0.012312312312312312,0.13050070266777639
0.012462462462462461,0.13049655487686823
0.012612612612612612,0.13049235687679733
0.012762762762762761,0.13048810866998797
0.012912912912912912,0.13048381025889327
0.013063063063063063,0.13047946164599553
0.013213213213213212,0.13047506283380586
0.013363363363363363,0.13047061382486452
0.013513513513513513,0.1304661146217406
0.013663663663663663,0.1304615652270322
0.013813813813813813,0.13045696564336653
0.013963963963963964,0.13045231587339962
0.014114114114114113,0.13044761591981655
0.014264264264264264,0.13044286578533137
0.014414414414414413,0.13043806547268708
0.014564564564564564,0.13043321498465568
0.014714714714714715,0.13042831432403812
0.014864864864864864,0.13042336349366426
0.015015015015015015,0.13041836249639313
0.015165165165165164,0.13041331133511241
0.015315315315315315,0.13040821001273903
0.015465465465465464,0.13040305853221867
0.015615615615615615,0.1303978568965261
0.015765765765765764,0.13039260510866502
0.015915915915915915,0.13038730317166802
0.016066066066066066,0.13038195108859668
0.016216216216216217,0.13037654886254157
0.016366366366366365,0.13037109649662215
0.016516516516516516,0.13036559399398687
0.016666666666666666,0.13036004135781307
0.016816816816816817,0.13035443859130708
0.016966966966966965,0.1303487856977042
0.017117117117117116,0.13034308268026853
0.017267267267267267,0.13033732954229324
0.017417417417417418,0.13033152628710046
0.017567567567567565,0.130325672918041
0.017717717717717716,0.130319769438495
0.017867867867867867,0.13031381585187113
0.018018018018018018,0.13030781216160725
0.01816816816816817,0.13030175837117
0.018318318318318316,0.13029565448405503
0.018468468468468467,0.13028950050378693
0.018618618618618618,0.130283296433919
0.01876876876876877,0.13027704227803374
0.018918918918918916,0.13027073803974232
0.019069069069069067,0.13026438372268503
0.01921921921921922,0.13025797933053082
0.01936936936936937,0.1302515248669778
0.01951951951951952,0.13024502033575278
0.019669669669669668,0.13023846574061163
0.01981981981981982,0.13023186108533893
0.01996996996996997,0.1302252063737484
0.02012012012012012,0.13021850160968243
0.020270270270270268,0.13021174679701242
0.02042042042042042,0.13020494193963855
0.02057057057057057,0.13019808704149005
0.02072072072072072,0.1301911821065249
0.02087087087087087,0.13018422713872999
0.02102102102102102,0.13017722214212113
0.02117117117117117,0.1301701671207429
0.02132132132132132,0.13016306207866887
0.021471471471471472,0.13015590702000146
0.02162162162162162,0.13014870194887188
0.02177177177177177,0.13014144686944026
0.02192192192192192,0.1301341417858956
0.022072072072072072,0.13012678670245578
0.02222222222222222,0.1301193816233674
0.02237237237237237,0.13011192655290602
0.02252252252252252,0.13010442149537615
0.022672672672672672,0.13009686645511095
0.022822822822822823,0.13008926143647254
0.02297297297297297,0.13008160644385183
0.02312312312312312,0.1300739014816686
0.023273273273273273,0.13006614655437151
0.023423423423423424,0.13005834166643795
0.02357357357357357,0.13005048682237424
0.023723723723723722,0.13004258202671543
0.023873873873873873,0.1300346272840255
0.024024024024024024,0.1300266225988972
0.024174174174174175,0.130018567975952
0.024324324324324322,0.13001046341984038
0.024474474474474473,0.13000230893524156
0.024624624624624624,0.1299941045268635
0.024774774774774775,0.12998585019944298
0.024924924924924922,0.1299775459577457
0.025075075075075073,0.12996919180656602
0.025225225225225224,0.12996078775072717
0.025375375375375375,0.1299523337950812
0.025525525525525523,0.12994382994450887
0.025675675675675674,0.12993527620391981
0.025825825825825825,0.12992667257825236
0.025975975975975975,0.1299180190724737
0.026126126126126126,0.12990931569157974
0.026276276276276274,0.12990056244059522
0.026426426426426425,0.1298917593245737
0.026576576576576576,0.12988290634859734
0.026726726726726727,0.12987400351777717
0.026876876876876874,0.12986505083725303
0.027027027027027025,0.1298560483121934
0.027177177177177176,0.12984699594779564
0.027327327327327327,0.12983789374928578
0.027477477477477478,0.12982874172191858
0.027627627627627625,0.12981953987097766
0.027777777777777776,0.12981028820177531
0.027927927927927927,0.1298009867196525
0.028078078078078078,0.12979163542997904
0.028228228228228226,0.1297822343381535
0.028378378378378376,0.12977278344960297
0.028528528528528527,0.1297632827697835
0.02867867867867868,0.12975373230417975
0.028828828828828826,0.12974413205830507
0.028978978978978977,0.12973448203770166
0.029129129129129128,0.12972478224794023
0.02927927927927928,0.12971503269462042
0.02942942942942943,0.1297052333833704
0.029579579579579577,0.12969538431984712
0.029729729729729728,0.1296854855097362
0.02987987987987988,0.12967553695875197
0.03003003003003003,0.12966553867263747
0.030180180180180177,0.12965549065716436
0.030330330330330328,0.12964539291813307
0.03048048048048048,0.12963524546137264
0.03063063063063063,0.1296250482927408
0.03078078078078078,0.12961480141812395
0.03093093093093093,0.1296045048434372
0.03108108108108108,0.12959415857462422
0.03123123123123123,0.12958376261765756
0.03138138138138138,0.12957331697853805
0.03153153153153153,0.12956282166329555
0.03168168168168168,0.12955227667798838
0.03183183183183183,0.12954168202870356
0.03198198198198198,0.1295310377215567
0.03213213213213213,0.1295203437626921
0.03228228228228228,0.12950960015828256
0.032432432432432434,0.12949880691452978
0.03258258258258258,0.12948796403766383
0.03273273273273273,0.1294770715339435
0.03288288288288288,0.12946612940965616
0.03303303303303303,0.12945513767111794
0.03318318318318318,0.12944409632467332
0.03333333333333333,0.1294330053766956
0.033483483483483484,0.1294218648335866
0.033633633633633635,0.12941067470177664
0.033783783783783786,0.12939943498772494
0.03393393393393393,0.1293881456979189
0.03408408408408408,0.12937680683887476
0.03423423423423423,0.1293654184171373
0.03438438438438438,0.1293539804392799
0.03453453453453453,0.1293424929119044
0.034684684684684684,0.12933095584164128
0.034834834834834835,0.1293193692351497
0.034984984984984986,0.12930773309911708
0.03513513513513513,0.1292960474402597
0.03528528528528528,0.1292843122653221
0.03543543543543543,0.12927252758107774
0.03558558558558558,0.12926069339432833
0.035735735735735734,0.12924880971190414
0.035885885885885885,0.1292368765406641
0.036036036036036036,0.12922489388749547
0.03618618618618619,0.12921286175931435
0.03633633633633634,0.129200780163065
0.03648648648648648,0.1291886491057204
0.03663663663663663,0.12917646859428208
0.03678678678678678,0.12916423863577994
0.036936936936936934,0.12915195923727243
0.037087087087087085,0.1291396304058466
0.037237237237237236,0.12912725214861775
0.03738738738738739,0.1291148244727299
0.03753753753753754,0.12910234738535545
0.03768768768768769,0.1290898208936953
0.03783783783783783,0.12907724500497889
0.037987987987987984,0.12906461972646396
0.038138138138138135,0.12905194506543685
0.038288288288288286,0.12903922102921234
0.03843843843843844,0.12902644762513363
0.03858858858858859,0.1290136248605724
0.03873873873873874,0.12900075274292874
0.03888888888888889,0.12898783127963126
0.03903903903903904,0.12897486047813694
0.039189189189189184,0.12896184034593117
0.039339339339339335,0.12894877089052778
0.039489489489489486,0.1289356521194691
0.03963963963963964,0.12892248404032586
0.03978978978978979,0.12890926666069702
0.03993993993993994,0.12889599998821027
0.04009009009009009,0.12888268403052136
0.04024024024024024,0.12886931879531463
0.04039039039039039,0.12885590429030286
0.040540540540540536,0.12884244052322705
0.04069069069069069,0.12882892750185676
0.04084084084084084,0.12881536523398976
0.04099099099099099,0.1288017537274523
0.04114114114114114,0.12878809299009897
0.04129129129129129,0.1287743830298127
0.04144144144144144,0.12876062385450485
0.04159159159159159,0.12874681547211503
0.04174174174174174,0.1287329578906113
0.04189189189189189,0.12871905111798998
0.04204204204204204,0.12870509516227568
0.04219219219219219,0.12869109003152157
0.04234234234234234,0.12867703573380887
0.04249249249249249,0.12866293227724732
0.04264264264264264,0.12864877966997487
0.04279279279279279,0.12863457792015784
0.042942942942942944,0.1286203270359908
0.04309309309309309,0.1286060270256967
0.04324324324324324,0.12859167789752668
0.04339339339339339,0.12857727965976024
0.04354354354354354,0.12856283232070517
0.04369369369369369,0.1285483358886975
0.04384384384384384,0.1285337903721016
0.04399399399399399,0.12851919577930998
0.044144144144144144,0.1285045521187436
0.044294294294294295,0.12848985939885155
0.04444444444444444,0.12847511762811112
