time_ns,E_marshak,E_gold_loss,E_wall_gold_loss,E_vacuum_loss,E_Be_loss,E_Be_wall_loss,E_Cu_loss,E_Cu_wall_loss,E_gold_100_loss,E_gold_100_wall_loss
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025005005005005007,0.0002088533291220664,0.0002088533291220664,0.0,0.0002088533291220664,0.0002088533291220664,0.0,0.0002088533291220664,0.0,0.0002088533291220664,0.0
0.04001001001001001,0.0006188129797331435,0.0006187287767374235,1.6840599143948228e-07,0.0006187922879532118,0.0006187933664682506,3.922652978562962e-08,0.0006187018584040579,2.2224265817089193e-07,0.0006179709497759461,1.684059914394823e-06
0.05501501501501502,0.0010077769550386367,0.0010075283291573645,3.373540962502864e-07,0.001007680546470837,0.0010077105444612803,9.557638748648352e-08,0.001007442279099382,4.5833755621152185e-07,0.0010052920653059797,3.3708058467527665e-06
0.07002002002002002,0.0013803578784951003,0.0013799654910381092,4.840045227916058e-07,0.0013801465060710484,0.0013802413504173238,1.4700648672458703e-07,0.0013798207873227722,6.649006720181217e-07,0.0013764390237670002,4.832563063210517e-06
0.08502502502502503,0.0017450027591882837,0.0017444846881611274,6.292470588655892e-07,0.0017446617851250162,0.0017448396012203567,2.0137917571466234e-07,0.0017442869529841773,8.716275724516864e-07,0.0017398312137181064,6.280794606047027e-06
0.10003003003003003,0.002101300797373222,0.0021006611790710104,7.710329337664303e-07,0.0021008133672923124,0.00210109024124342,2.5671257845095987e-07,0.0021004108016679456,1.074780512059949e-06,0.0020949173254032395,7.69465769436397e-06
0.11503503503503502,0.002450956051176727,0.0024502002376718623,9.100107473187854e-07,0.0024503094473884127,0.002450698351795287,3.127580058226717e-07,0.002449898456869371,1.2749548622312222e-06,0.002443413952800987,9.080482712568259e-06
0.13004004004004005,0.0027947221798853665,0.002793854858789739,1.0466763045180529e-06,0.002793905888668767,0.0027944178057307634,3.6938995370841054e-07,0.002793502938438082,1.472655334490159e-06,0.0027860682188457137,1.0443273929554604e-05
0.14504504504504506,0.0032407821802776446,0.0032398072211499013,1.1813067372124132e-06,0.0032397869538502034,0.0032404315545638634,4.264769029231109e-07,0.0032394062416328715,1.6681287718140781e-06,0.0032310549080734243,1.1785802805739407e-05
0.16005005005005007,0.0037829517064836816,0.0037818637065177973,1.332107100763143e-06,0.0037817520802713176,0.003782549750496661,4.951531512232246e-07,0.0037814097450462325,1.8895962186860026e-06,0.00377209694912554,1.329012580042325e-05
0.17505505505505506,0.004305224091561499,0.004304007629577268,1.502144262157873e-06,0.004303773339156319,0.004304759062804093,5.783099832387289e-07,0.004303491047254976,2.1421777445190285e-06,0.004293087562417221,1.49867810663461e-05
0.19006006006006007,0.004812040548985168,0.0048106883854621245,1.6745315481008021e-06,0.0048103059978562655,0.004811505596998082,6.648277509424986e-07,0.0048101040410139535,2.399309181105129e-06,0.004798549954539095,1.6706693427954463e-05
0.20506506506506508,0.005311021381326231,0.005309536381188854,1.846609331955383e-06,0.0053089921124523385,0.005310416547553014,7.527360767102499e-07,0.005308885035033961,2.65670532320407e-06,0.005296205514242388,1.8423362318247544e-05
0.22007007007007007,0.0058034917574312644,0.005801876972625399,2.018486406134701e-06,0.005801159326588156,0.005802817557203031,8.4199811777368e-07,0.005801159670404932,2.9144770965489995e-06,0.005787381149435477,2.013800883257718e-05
0.23507507507507508,0.006289685853303869,0.006287943416800069,2.1901215091446067e-06,0.006287041025355559,0.006288942352929871,9.324856710944144e-07,0.006287160760487658,3.1725052088293308e-06,0.006272301766431238,2.1850256177893005e-05
0.2500800800800801,0.006769927330027191,0.006768059175260316,2.361378928804512e-06,0.006766961267520293,0.00676911457376139,1.0240108577857755e-06,0.0067672117076531995,3.430525570870534e-06,0.006751289025918351,2.3558750829854843e-05
0.2650850850850851,0.007244565500540682,0.007242573575218827,2.5321419844466304e-06,0.007241270170872059,0.007243683645678953,1.1164065897990876e-06,0.007241661897639051,3.6883093923704012e-06,0.00722469239236354,2.5262327237048317e-05
0.2800900900900901,0.007869723683383229,0.0078676099372547,2.702325809677131e-06,0.007866091790422958,0.00786877298370513,1.2095357901202019e-06,0.00786663469783875,3.9456831061620845e-06,0.007848635208814408,2.6960138810387246e-05
0.29509509509509513,0.008636645205895965,0.00863440382284825,2.887682869924218e-06,0.008632646933990037,0.008635619879680827,1.315802720395107e-06,0.008633360928875195,4.2281003758084375e-06,0.008614283132626655,2.8809731126813813e-05
0.31010010010010014,0.00937582706373966,0.009373441418663772,3.095235749170632e-06,0.009371398003823026,0.009374712277254418,1.4417909104692664e-06,0.009372319947756454,4.547239830784189e-06,0.009352025088283308,3.088127097790796e-05
0.3251051051051051,0.010090181160081015,0.010087639509927044,3.3111980012413544e-06,0.010085267747692627,0.010088965313701733,1.576442907335244e-06,0.010086431322768144,4.880733016447356e-06,0.010064821924725027,3.3036708419850986e-05
0.3401101101101101,0.010790951558545925,0.010788253075960324,3.5296679978895702e-06,0.010785533065978792,0.010789631941593752,1.714693465637889e-06,0.010786956849571606,5.218896703540653e-06,0.010764026950093441,3.521701878452127e-05
0.3551151151151151,0.0114826863102793,0.011479833251182089,3.749092536676661e-06,0.011476753683391098,0.011481263165433426,1.8551442002283684e-06,0.011478449768951392,5.559157274274775e-06,0.011454218984694639,3.7406767633056675e-05
0.37012012012012013,0.012483464120435526,0.01248045856925189,3.9690544326241774e-06,0.012477009476268001,0.012481937831416505,1.9973841411258798e-06,0.012478988628061006,5.900807439388501e-06,0.012453474930269834,3.96018493303589e-05
0.38512512512512515,0.013774850024731345,0.013771680303973568,4.216456475414114e-06,0.01376781661143542,0.013773193859407796,2.195662348186247e-06,0.013770115718755327,6.2885675085426784e-06,0.01374322214095804,4.2071362915433136e-05
0.40013013013013016,0.015010408341149742,0.015007043429179131,4.504678485655806e-06,0.01500266381713954,0.015008463723419817,2.6628726277976165e-06,0.015005362844196738,6.745420350521803e-06,0.01497683150787988,4.4949023939181894e-05
0.41513513513513517,0.016195734586676776,0.016192151976395383,4.809564507495885e-06,0.016187169081775424,0.016193500230790393,2.893711560620332e-06,0.0161903390579225,7.231077258075997e-06,0.016159983897735215,4.799295159150913e-05
0.4301401401401401,0.017355181178012765,0.017351130364494347,5.615845568756388e-06,0.017345756858482695,0.017352716203451246,3.280279709950884e-06,0.01734942974084258,7.727290034519087e-06,0.017317229576133287,5.1095079837905816e-05
0.44514514514514514,0.018498633007900247,0.01849378908803726,6.61630429624723e-06,0.018488336853445645,0.018495836581778984,3.7267495696651754e-06,0.01849252919393829,8.229379346773854e-06,0.018458507141498742,5.422802325790622e-05
0.46015015015015015,0.01962868948495685,0.01962334693800368,6.932489563546252e-06,0.019617509503594158,0.019625541545349214,4.169381189779545e-06,0.019622236097595017,8.736133092273356e-06,0.019586409944429763,5.7384809650713835e-05
0.47515515515515516,0.02074619747372615,0.020740547708756663,7.6122951017031134e-06,0.02073412009887717,0.020742701705856122,4.6361382770660315e-06,0.02073937093800628,9.297250001114444e-06,0.020701777035113587,6.056168265854498e-05
0.4901601601601602,0.02185173757225411,0.021845611940981037,8.247498395374988e-06,0.021838749107157947,0.02184788818363158,5.1116993593760365e-06,0.021844151571152312,1.0589726683920127e-05,0.021805186983938022,6.375539876268001e-05
0.5051651651651652,0.022945845481562418,0.022939240940743958,8.926640957714142e-06,0.022931932934968223,0.02294164020374122,5.599672550919332e-06,0.02293755205310694,1.1106807219221062e-05,0.022897176099025838,6.69630540522489e-05
0.5201701701701702,0.024227102170478024,0.024220011554828696,9.59840024426561e-06,0.02421225346779889,0.024222537612362368,6.096996096464484e-06,0.024218318009499053,1.2045988518106849e-05,0.024176326547456023,7.01820982730674e-05
0.5351751751751752,0.025684460480509038,0.025676876918283357,1.0312781360717915e-05,0.025668635312187174,0.02567943754759223,6.798441648665325e-06,0.02567493181997695,1.3095969968893798e-05,0.025631529246427552,7.353944590793624e-05
0.5501801801801802,0.02710171052673938,0.02709359851650664,1.1077988578989925e-05,0.027084823342782945,0.027096012396710882,7.757075528527047e-06,0.027091355281499876,1.4228873838330071e-05,0.02704648069623099,7.710528682739037e-05
0.5651851851851852,0.02848027532069296,0.028471566298480046,1.1953066164759454e-05,0.028462248324697032,0.028473999503454084,8.322038114872599e-06,0.028469048565454843,1.5432646467497664e-05,0.02842262900486043,8.078363108338363e-05
0.5801901901901902,0.029833480916669243,0.02982391296156178,1.3272556803724085e-05,0.029814275621116607,0.029826687016831836,9.215233577639656e-06,0.0298213618213491,1.6667183332537226e-05,0.029773387649356785,8.451792721321204e-05
