r_mm,arrival_time_ns
-0.49119119119119126,5.319841830228935
-0.49049049049049054,5.2695747822957415
-0.4897897897897899,5.216173273566664
-0.48908908908908916,5.213884998285931
-0.4883883883883885,5.156734931288636
-0.4876876876876878,5.155297571926615
-0.486986986986987,5.153898494118485
-0.48628628628628634,5.152536198165078
-0.4855855855855856,5.086404026829848
-0.48488488488488496,5.085446011559103
-0.48418418418418424,5.084494820279702
-0.4834834834834836,5.08355038407863
-0.48278278278278286,5.0826126349711105
-0.48208208208208214,5.07089336760864
-0.4813813813813814,5.011456303478613
-0.4806806806806807,5.010623360172893
-0.47997997997998004,5.009795894184108
-0.4792792792792793,5.008973854860317
-0.47857857857857866,5.008157192175577
-0.47787787787787794,5.007345856720334
-0.4771771771771772,4.998599942138438
-0.4764764764764765,4.977990434507747
-0.47577577577577584,4.959578557601498
-0.4750750750750751,4.943034432524854
-0.47437437437437446,4.922952760045574
-0.47367367367367375,4.916356364344651
-0.472972972972973,4.915675866655923
-0.4722722722722723,4.914999340228791
-0.4715715715715716,4.914326752985968
-0.47087087087087093,4.913658073197869
-0.4701701701701702,4.912993269477925
-0.46946946946946955,4.912332310777972
-0.46876876876876883,4.908139980182354
-0.46806806806806817,4.898320657436024
-0.4673673673673674,4.888787180985966
-0.4666666666666668,4.8796463990266385
-0.465965965965966,4.870882694357772
-0.4652652652652653,4.86247505535277
-0.46456456456456463,4.85440723636769
-0.4638638638638639,4.846629442753231
-0.46316316316316325,4.839149371007484
-0.4624624624624625,4.831913577714248
-0.46176176176176187,4.824940411464609
-0.4610610610610611,4.818178570413165
-0.46036036036036043,4.806898298431203
-0.4596596596596597,4.803948764413854
-0.458958958958959,4.796060187223689
-0.45825825825825833,4.793255070884198
-0.45755755755755756,4.785543716722709
-0.45685685685685695,4.782905598204781
-0.4561561561561562,4.776700489577165
-0.4554554554554555,4.77622303693878
-0.4547547547547548,4.775747920223718
-0.45405405405405413,4.775275124183822
