r_cm,t_arrival_1D_ns,t_arrival_gold_loss_ns,t_arrival_ablation_ns,t_arrival_ablation_lam_eff_ns
0.0,0.7636047504210984,0.8175015297769465,0.8567129101662753,0.937196845929792
0.0001002004008016032,0.7636047504210984,0.8175017458682947,0.8567131605930737,0.9371970806270177
0.0002004008016032064,0.7636047504210984,0.8175023941434159,0.8567139118711558,0.9371977847186158
0.0003006012024048096,0.7636047504210984,0.8175034746055385,0.8567151639935835,0.9371989582043483
0.0004008016032064128,0.7636047504210984,0.8175049872600442,0.856716916948794,0.9372006010838192
0.000501002004008016,0.7636047504210984,0.8175069321144667,0.8567191707205989,0.9372027133564739
0.0006012024048096192,0.7636047504210984,0.8175093091784927,0.8567219252881858,0.9372052950215992
0.0007014028056112224,0.7636047504210984,0.8175121184639619,0.8567251806261184,0.9372083460783236
0.0008016032064128256,0.7636047504210984,0.8175153599848662,0.8567286684152959,0.937211866525617
0.0009018036072144289,0.7636047504210984,0.8175190337573516,0.856732408593536,0.9372158563622917
0.001002004008016032,0.7636047504210984,0.8175231397997166,0.8567365889319214,0.9372203155870001
0.0011022044088176352,0.7636047504210984,0.8175276781324134,0.8567412094768522,0.9372252441982376
0.0012024048096192384,0.7636047504210984,0.8175326487780484,0.8567462702796171,0.9372306421943408
0.0013026052104208416,0.7636047504210984,0.8175380517613813,0.8567517713963949,0.9372365095734884
0.0014028056112224449,0.7636047504210984,0.817543887109326,0.856757712888256,0.9372428463336995
0.001503006012024048,0.7636047504210984,0.8175501548509516,0.8567640948211631,0.9372496524728365
0.0016032064128256513,0.7636047504210984,0.8175568550174818,0.8567709172659743,0.937256927988603
0.0017034068136272545,0.7636047504210984,0.817563987642295,0.8567781802984429,0.9372646728785443
0.0018036072144288577,0.7636047504210984,0.817571552760926,0.8567858839992218,0.9372728871400479
0.001903807615230461,0.7636047504210984,0.817579550411065,0.856794028453864,0.9372815707703432
0.002004008016032064,0.7636047504210984,0.8175879806325589,0.8568026137528248,0.9372907237665014
0.002104208416833667,0.7636047504210984,0.8175968434674115,0.8568116399914645,0.937300346125436
0.0022044088176352704,0.7636047504210984,0.8176061389597838,0.856821107270051,0.9373104378439023
0.0023046092184368736,0.7636047504210984,0.8176158671559945,0.8568310156937622,0.9373209989184983
0.002404809619238477,0.7636047504210984,0.817626028104521,0.8568413653726881,0.9373320293456635
0.00250501002004008,0.7636047504210984,0.8176366218559993,0.8568521564218345,0.9373435291216803
0.0026052104208416833,0.7636047504210984,0.8176476484632248,0.8568633889611261,0.9373554982426734
0.0027054108216432865,0.7636047504210984,0.8176591079811533,0.8568750631154082,0.9373679367046094
0.0028056112224448897,0.7636047504210984,0.817671000466901,0.8568871790144515,0.9373808445032982
0.002905811623246493,0.7636047504210984,0.8176833259797456,0.8568997367929544,0.9373942216343917
0.003006012024048096,0.7636047504210984,0.8176960845811263,0.8569127365905467,0.9374080680933847
0.0031062124248496994,0.7636047504210984,0.8177092763346456,0.8569261785517933,0.9374223838756146
0.0032064128256513026,0.7636047504210984,0.8177229013060688,0.8569400628261978,0.9374371689762623
0.003306613226452906,0.7636047504210984,0.817736959563326,0.8569543895682069,0.9374524233903505
0.003406813627254509,0.7636047504210984,0.8177514511765113,0.8569691589372131,0.9374681471127457
0.0035070140280561123,0.7636047504210984,0.8177663762178852,0.8569843710975601,0.9374843401381575
0.0036072144288577155,0.7636047504210984,0.817781734761874,0.8570000262185462,0.9375010024611381
0.0037074148296593187,0.7636047504210984,0.817797526885072,0.857016124474429,0.9375181340760838
0.003807615230460922,0.7636047504210984,0.8178137526662413,0.8570326660444301,0.937535734977234
0.003907815631262525,0.7636047504210984,0.8178304121863131,0.8570496511127387,0.9375538051586714
0.004008016032064128,0.7636047504210984,0.8178475055283881,0.8570670798685176,0.9375723446143226
0.004108216432865732,0.7636047504210984,0.8178650327777389,0.8570849525059078,0.937591353337958
0.004208416833667334,0.7636047504210984,0.817882994021809,0.8571032692240321,0.9376108313231913
0.004308617234468938,0.7636047504210984,0.8179013893502152,0.8571220302270025,0.9376307785634811
0.004408817635270541,0.7636047504210984,0.817920218854748,0.8571412357239238,0.9376511950521293
0.0045090180360721445,0.7636047504210984,0.8179394826293728,0.8571608859288992,0.9376720807822824
0.004609218436873747,0.7636047504210984,0.8179591807702308,0.8571809810610365,0.9376934357469312
0.004709418837675351,0.7636047504210984,0.8179793133756403,0.8572015213444532,0.9377152599389109
0.004809619238476954,0.7636047504210984,0.8179998805460977,0.8572225070082821,0.9377375533509015
0.004909819639278557,0.7636047504210984,0.8180208823842787,0.8572439382866781,0.9377603159754272
0.00501002004008016,0.7636047504210984,0.8180423189950393,0.8572658154188235,0.9377835478048577
0.005110220440881764,0.7636047504210984,0.8180641904854169,0.8572881386489334,0.9378072488314079
0.0052104208416833666,0.7636047504210984,0.8180864969646319,0.8573109082262644,0.9378314190471367
0.00531062124248497,0.7636047504210984,0.8181092385440887,0.8573341244051185,0.9378560584439497
0.005410821643286573,0.7636047504210984,0.8181324153373768,0.8573577874448509,0.9378811670135971
0.005511022044088177,0.7636047504210984,0.8181560274602724,0.8573818976098772,0.9379067447476753
0.0056112224448897794,0.7636047504210984,0.8181800750307391,0.8574064551696782,0.9379327916376258
0.005711422845691383,0.7636047504210984,0.8182045581689302,0.8574314603988096,0.9379593076747362
0.005811623246492986,0.7636047504210984,0.8182294769971893,0.857456913576907,0.937986292850141
0.0059118236472945895,0.7636047504210984,0.8182548316400517,0.8574828149886943,0.9380137471548199
0.006012024048096192,0.7636047504210984,0.8182806222242464,0.8575091649239899,0.9380416705795998
0.006112224448897796,0.7636047504210984,0.8183068488786964,0.8575359636777158,0.9380700631151533
0.006212424849699399,0.7636047504210984,0.8183335117345216,0.8575632115499037,0.938098924752001
0.006312625250501002,0.7636047504210984,0.8183606109250392,0.857590908845704,0.9381282554805094
0.006412825651302605,0.7636047504210984,0.8183881465857656,0.8576190558753924,0.9381580552908926
0.006513026052104208,0.7636047504210984,0.8184161188544178,0.8576476529543801,0.9381883241732116
0.006613226452905812,0.7636047504210984,0.8184445278709149,0.857676700403219,0.9382190621173758
0.006713426853707414,0.7636047504210984,0.81847337377738,0.8577061985476123,0.9382502691131412
0.006813627254509018,0.7636047504210984,0.8185026567181417,0.8577361477184231,0.9382819451501129
0.006913827655310621,0.7636047504210984,0.8185323768397355,0.857766548251681,0.9383140902177423
0.0070140280561122245,0.7636047504210984,0.8185625342909054,0.8577974004885922,0.9383467043053306
0.007114228456913827,0.7636047504210984,0.8185931292226057,0.8578287047755491,0.938379787402027
0.007214428857715431,0.7636047504210984,0.8186241617880032,0.8578604614641373,0.9384133394968291
0.007314629258517034,0.7636047504210984,0.8186556321424784,0.8578926709111468,0.9384473605785839
0.007414829659318637,0.7636047504210984,0.8186875404436267,0.8579253334785795,0.9384818506359868
0.00751503006012024,0.7636047504210984,0.8187198868512616,0.8579584495336604,0.938516809657583
0.007615230460921844,0.7636047504210984,0.8187526715274153,0.8579920194488458,0.938552237631767
0.007715430861723447,0.7636047504210984,0.8187858946363411,0.8580260436018337,0.9385881345467828
0.00781563126252505,0.7636047504210984,0.818819556344515,0.858060522375573,0.938624500390725
0.007915831663326654,0.7636047504210984,0.8188536568206378,0.8580954561582746,0.9386613351515378
0.008016032064128256,0.7636047504210984,0.8188881962356369,0.8581308453434208,0.9386986388170159
0.00811623246492986,0.7636047504210984,0.8189231747626681,0.8581666903297753,0.9387364113748047
0.008216432865731463,0.7636047504210984,0.8189585925771176,0.8582029915213947,0.9387746528124002
0.008316633266533067,0.7636047504210984,0.8189944498566043,0.858239749327638,0.9388133631171496
0.008416833667334669,0.7636047504210984,0.8190307467809819,0.8582769641631778,0.9388525422762519
0.008517034068136272,0.7636047504210984,0.8190674835323396,0.8583146364480111,0.9388921902767569
0.008617234468937876,0.7636047504210984,0.8191046602950061,0.8583527666074707,0.9389323071055662
0.00871743486973948,0.7636047504210984,0.8191422772555503,0.8583913550722359,0.9389728927494342
0.008817635270541082,0.7636047504210984,0.8191803346027843,0.8584304022783432,0.9390139471949672
0.008917835671342685,0.7636047504210984,0.8192188325277645,0.8584699086671996,0.9390554704286237
0.009018036072144289,0.7636047504210984,0.819257771223795,0.8585098746855926,0.9390974624367157
0.009118236472945893,0.7636047504210984,0.8192971508864285,0.8585503007857022,0.9391399232054073
0.009218436873747494,0.7636047504210984,0.8193369717134698,0.8585911874251134,0.9391828527207167
0.009318637274549098,0.7636047504210984,0.8193772339049773,0.8586325350668277,0.9392262509685154
0.009418837675350702,0.7636047504210984,0.819417937663265,0.8586743441792758,0.9392701179345289
0.009519038076152305,0.7636047504210984,0.8194590831929058,0.8587166152363295,0.9393144536043364
0.009619238476953907,0.7636047504210984,0.8195006707007326,0.8587593487173142,0.9393592579633718
0.009719438877755511,0.7636047504210984,0.8195427003958417,0.8588025451070219,0.9394045309969237
0.009819639278557115,0.7636047504210984,0.8195851724895946,0.8588462048957244,0.9394502726901356
0.009919839679358717,0.7636047504210984,0.8196280871956204,0.8588903285791848,0.9394964830280063
0.01002004008016032,0.7636047504210984,0.8196714447298186,0.8589349166586722,0.9395431619953893
0.010120240480961924,0.7636047504210984,0.8197152453103611,0.8589799696409738,0.9395903095769953
0.010220440881763528,0.7636047504210984,0.8197594891576953,0.8590254880384096,0.9396379257573899
0.01032064128256513,0.7636047504210984,0.8198041764945456,0.859071472368845,0.9396860105209951
0.010420841683366733,0.7636047504210984,0.819849307545917,0.859117923155704,0.9397345638520906
0.010521042084168337,0.7636047504210984,0.819894882539097,0.8591648409279855,0.939783585734812
0.01062124248496994,0.7636047504210984,0.8199409017036587,0.8592122262202742,0.9398330761531527
0.010721442885771542,0.7636047504210984,0.8199873652714627,0.8592600795727574,0.9398830350909632
0.010821643286573146,0.7636047504210984,0.8200342734766602,0.859308401531238,0.9399334625319524
0.01092184368737475,0.7636047504210984,0.8200816265556958,0.8593571926471497,0.939984358459687
0.011022044088176353,0.7636047504210984,0.8201294247473102,0.8594064534775709,0.9400357228575922
0.011122244488977955,0.7636047504210984,0.8201776682925421,0.8594561845852409,0.9400875557089522
0.011222444889779559,0.7636047504210984,0.820226357434732,0.8595063865385735,0.9401398569969103
0.011322645290581163,0.7636047504210984,0.8202754924195247,0.8595570599116729,0.940192626704469
0.011422845691382766,0.7636047504210984,0.8203250734948718,0.8596082052843492,0.9402458648144906
0.011523046092184368,0.7636047504210984,0.8203751009110344,0.859659823242134,0.9402995713096979
0.011623246492985972,0.7636047504210984,0.8204255749205867,0.8597119143762948,0.9403537461726735
0.011723446893787575,0.7636047504210984,0.8204764957784181,0.8597644792838528,0.9404083893858612
0.011823647294589179,0.7636047504210984,0.8205278637417368,0.8598175185675978,0.9404635009315655
0.011923847695390781,0.7636047504210984,0.820579679070072,0.8598710328361042,0.9405190807919529
0.012024048096192385,0.7636047504210984,0.8206319420252779,0.8599250227037479,0.9405751289490512
0.012124248496993988,0.7636047504210984,0.8206846528715349,0.8599794887907232,0.9406328538966457
0.012224448897795592,0.7636047504210984,0.820737811875355,0.8600344317230576,0.9406920550673834
0.012324649298597194,0.7636047504210984,0.8207916312377849,0.8600898521326318,0.9407517402990305
0.012424849699398798,0.7636047504210984,0.8208467516240501,0.8601457506571936,0.9408119095138583
0.012525050100200401,0.7636047504210984,0.8209023085039778,0.8602021279403771,0.9408725626335335
0.012625250501002005,0.7636047504210984,0.8209583016436884,0.8602589846317195,0.9409336995791199
0.012725450901803607,0.7636047504210984,0.8210147308075761,0.8603163213866781,0.9409953202710784
0.01282565130260521,0.7636047504210984,0.8210715957583119,0.8603741388666495,0.941057424629268
0.012925851703406814,0.7636047504210984,0.8211288962568469,0.8604324377389858,0.9411200125729474
0.013026052104208416,0.7636047504210984,0.8211866320624166,0.8604912186770142,0.9411830840207747
0.01312625250501002,0.7636047504210984,0.8212448029325444,0.8605504823600537,0.9412466388908081
0.013226452905811623,0.7636047504210984,0.821303408623045,0.8606102294734355,0.9413106771005072
0.013326653306613227,0.7636047504210984,0.8213624488880276,0.8606704607085197,0.9413751985667341
0.013426853707414829,0.7636047504210984,0.8214219234799007,0.8607316209472639,0.9414402032057536
0.013527054108216433,0.7636047504210984,0.8214818321493752,0.8607954028590764,0.9415056909332338
0.013627254509018036,0.7636047504210984,0.821542174645468,0.8608596576831653,0.9415716616642472
0.01372745490981964,0.7636047504210984,0.8216029507155056,0.8609243853913755,0.9416381153132718
0.013827655310621242,0.7636047504210984,0.8216641601051289,0.8609895859553733,0.9417050517941914
0.013927855711422845,0.7636047504210984,0.821725802558296,0.861055259346647,0.9417724710202968
0.014028056112224449,0.7636047504210984,0.821787877817286,0.8611214055365074,0.9418403729042866
0.014128256513026053,0.7636047504210984,0.8218503856227041,0.8611880244960894,0.9419087573582671
0.014228456913827655,0.7636047504210984,0.8219133257134834,0.8612551161963512,0.9419776242937544
