r_cm,t_arrival_ablation_lam_eff_ns
0.0,2.850769518460011
5.005005005005005e-05,2.850769807276541
0.0001001001001001001,2.8507706737220775
0.00015015015015015017,2.8507721177844645
0.0002002002002002002,2.8507741394434434
0.00025025025025025025,2.850776738670652
0.00030030030030030034,2.8507799154296256
0.0003503503503503504,2.8507836696758013
0.0004004004004004004,2.8507880013565137
0.00045045045045045046,2.8507929104110037
0.0005005005005005005,2.8507983967704167
0.0005505505505505506,2.8508044603578044
0.0006006006006006007,2.850811101088131
0.0006506506506506507,2.8508183188682708
0.0007007007007007008,2.8508261135970194
0.0007507507507507507,2.8508344851650875
0.0008008008008008008,2.850843433455114
0.0008508508508508509,2.850852958341663
0.0009009009009009009,2.8508630596912354
0.000950950950950951,2.850873737362266
0.001001001001001001,2.8508849912051333
0.001051051051051051,2.8508968210621646
0.0011011011011011012,2.850909226767641
0.0011511511511511513,2.8509222081477974
0.0012012012012012014,2.8509357650208442
0.0012512512512512512,2.850949897196955
0.0013013013013013013,2.8509646044782855
0.0013513513513513514,2.8509798866589797
0.0014014014014014015,2.85099574352517
0.0014514514514514516,2.8510121748549913
0.0015015015015015015,2.851029180418588
0.0015515515515515516,2.8510467599781184
0.0016016016016016017,2.851064913287771
0.0016516516516516518,2.8510836400937603
0.0017017017017017019,2.851102940134352
0.0017517517517517517,2.8511228131398583
0.0018018018018018018,2.8511432588326544
0.001851851851851852,2.851164276927187
0.001901901901901902,2.8511858671299826
0.0019519519519519521,2.8512080291396633
0.002002002002002002,2.8512307626469497
0.0020520520520520523,2.851254067334678
0.002102102102102102,2.8512779428778092
0.002152152152152152,2.85130238894344
0.0022022022022022024,2.8513274051908106
0.0022522522522522522,2.851352991271329
0.0023023023023023025,2.8513791468285685
0.0023523523523523524,2.8514058714982924
0.0024024024024024027,2.851433164908457
0.0024524524524524526,2.8514610266792304
0.0025025025025025025,2.8514894564230056
0.002552552552552553,2.851518453744412
0.0026026026026026027,2.8515480182403317
0.002652652652652653,2.8515781494999115
0.002702702702702703,2.8516088471045786
0.0027527527527527527,2.8516401106280536
0.002802802802802803,2.8516719396363683
0.002852852852852853,2.851704333687879
0.0029029029029029032,2.85173729233328
0.002952952952952953,2.8517708151156254
0.003003003003003003,2.8518049015703415
0.0030530530530530533,2.8518395512252357
0.003103103103103103,2.85187476360053
0.0031531531531531535,2.8519105382088594
0.0032032032032032033,2.851946874555304
0.0032532532532532532,2.851983772137395
0.0033033033033033035,2.8520212304451382
0.0033533533533533534,2.852059248961032
0.0034034034034034037,2.8520978271600828
0.0034534534534534536,2.852136964509821
0.0035035035035035035,2.8521766604703314
0.0035535535535535538,2.8522169144942517
0.0036036036036036037,2.8522577260268127
0.003653653653653654,2.852299094505844
0.003703703703703704,2.852341019361797
0.0037537537537537537,2.8523835000177655
0.003803803803803804,2.8524265358895065
0.003853853853853854,2.8524701263854584
0.0039039039039039042,2.8525142709067617
0.0039539539539539545,2.8525589688472817
0.004004004004004004,2.8526042195936236
0.004054054054054054,2.8526500225251623
0.004104104104104105,2.8526963770140576
0.004154154154154154,2.8527432824252785
0.004204204204204204,2.852790738116624
0.004254254254254255,2.8528387434387428
0.004304304304304304,2.8528872977351596
0.004354354354354354,2.852936400342298
0.004404404404404405,2.852986050589499
0.004454454454454455,2.8530362477990465
0.0045045045045045045,2.8530869912861903
0.004554554554554555,2.8531382803591683
0.004604604604604605,2.8531901143192346
0.0046546546546546545,2.8532424924606783
0.004704704704704705,2.8532954140708457
0.004754754754754755,2.8533488784301713
0.0048048048048048055,2.8534028848122013
0.004854854854854855,2.8534574324836113
0.004904904904904905,2.853512520704237
0.0049549549549549555,2.853568148727102
0.005005005005005005,2.853624315798434
0.005055055055055055,2.853681021157697
0.005105105105105106,2.853739545539839
0.005155155155155155,2.8538024410872316
0.005205205205205205,2.8538659582315677
0.005255255255255256,2.853930097206795
0.005305305305305306,2.853994858249198
0.005355355355355355,2.8540602415973937
0.005405405405405406,2.854126247492335
0.005455455455455456,2.854192876177312
0.0055055055055055055,2.8542601278979562
0.005555555555555556,2.8543280029022413
0.005605605605605606,2.854396501440486
0.0056556556556556555,2.8544656237653543
0.005705705705705706,2.854535370131861
0.005755755755755756,2.8546057407973726
0.0058058058058058064,2.8546767360216068
0.005855855855855856,2.8547483560666382
0.005905905905905906,2.854820601196901
0.0059559559559559565,2.854893471679188
0.006006006006006006,2.854966967782656
0.006056056056056056,2.855041089778827
0.006106106106106107,2.85511583794159
0.006156156156156156,2.8551912125472043
0.006206206206206206,2.8552672138743036
0.006256256256256257,2.8553438422038964
0.006306306306306307,2.855421097819364
0.006356356356356356,2.8554989810064733
0.006406406406406407,2.8555774920533703
0.006456456456456457,2.855656631250589
0.0065065065065065065,2.8557363988910494
0.006556556556556557,2.855816795270061
0.006606606606606607,2.8558978206853283
0.006656656656656657,2.855979475436951
0.006706706706706707,2.856061759827426
0.006756756756756757,2.856144674161651
0.0068068068068068074,2.856228218746928
0.006856856856856857,2.8563123938929658
0.006906906906906907,2.8563971999118825
0.0069569569569569575,2.856482637118207
0.007007007007007007,2.8565687058288822
0.007057057057057057,2.8566554063632723
0.0071071071071071076,2.8567427390431592
0.007157157157157158,2.8568307041927463
0.007207207207207207,2.856919302138665
0.007257257257257258,2.8570085332099793
0.007307307307307308,2.8570983977381794
0.007357357357357357,2.8571888960571927
0.007407407407407408,2.857280028503387
0.007457457457457458,2.857371795415567
0.0075075075075075074,2.857464197134984
0.007557557557557558,2.8575572340053346
0.007607607607607608,2.857650906372768
0.007657657657657658,2.8577457982150345
0.007707707707707708,2.857842744287069
0.007757757757757758,2.8579403190918504
0.0078078078078078084,2.8580385225743075
0.007857857857857859,2.858137354679012
0.007907907907907909,2.8582368153501876
0.007957957957957958,2.8583369045317117
0.008008008008008008,2.8584376221671093
0.008058058058058058,2.858538968199556
0.008108108108108109,2.8586409425718786
0.008158158158158159,2.858743545226556
0.00820820820820821,2.8588467761057172
0.00825825825825826,2.858950635151142
0.008308308308308308,2.8590551223042624
