index,x,y
0,0.04661016949152552,0.006008583690987113
1,0.16101694915254244,0.019742489270386354
2,0.2669491525423729,0.04120171673819745
3,0.35028248587570615,0.06781115879828326
4,0.4293785310734463,0.09699570815450642
5,0.5098870056497173,0.1313304721030043
6,0.576271186440678,0.16309012875536483
7,0.652542372881356,0.19999999999999996
8,0.7118644067796609,0.23347639484978538
9,0.8036723163841806,0.28755364806866945
10,0.8502824858757061,0.3158798283261802
11,0.9025423728813557,0.35021459227467805
12,0.9406779661016946,0.37682403433476397
13,0.9929378531073445,0.41030042918454934
14,1.0282485875706213,0.4377682403433476
15,1.064971751412429,0.45836909871244635
16,1.0889830508474574,0.4763948497854077
