index,x,y
0,0.21383647798742222,0.03416149068322971
1,0.2578616352201264,0.1040372670807459
2,0.31446540880503226,0.16925465838509313
3,0.4088050314465417,0.2670807453416155
4,0.5094339622641513,0.39751552795031087
5,0.5786163522012588,0.49068322981366475
6,0.6855345911949691,0.6024844720496896
7,0.7861635220125784,0.7049689440993787
8,0.8930817610062896,0.8214285714285716
9,1.0062893081761017,0.9378881987577639
10,1.1823899371069184,1.12888198757764
11,1.327044025157233,1.2919254658385093
12,1.4591194968553465,1.4177018633540375
13,1.5534591194968557,1.5434782608695652
14,1.641509433962264,1.6506211180124224
15,1.7232704402515728,1.7531055900621118
16,1.823899371069182,1.8602484472049687
17,1.8867924528301891,1.9627329192546585
18,1.9937106918238992,2.0652173913043477
19,1.9937106918238992,2.0652173913043477
20,2.0691823899371067,2.1956521739130435
21,2.1635220125786163,2.2981366459627326
22,2.2138364779874213,2.400621118012422
23,2.2578616352201255,2.4704968944099375
