r_cm,t_arrival_ablation_lam_eff_ns
0.0,2.924548674610381
0.0001001001001001001,2.9245492367717705
0.0002002002002002002,2.924550923254855
0.00030030030030030034,2.924553734056381
0.0004004004004004004,2.9245576691709214
0.0005005005005005005,2.9245627285908866
0.0006006006006006007,2.924568912306513
0.0007007007007007008,2.924576220305866
0.0008008008008008008,2.9245846525748487
0.0009009009009009009,2.924594209097188
0.001001001001001001,2.924604889854443
0.0011011011011011012,2.9246166948260086
0.0012012012012012014,2.9246296239891056
0.0013013013013013013,2.924643677318787
0.0014014014014014015,2.9246588547879395
0.0015015015015015015,2.924675156367279
0.0016016016016016017,2.924692582025355
0.0017017017017017019,2.9247111317285466
0.0018018018018018018,2.924730805441067
0.001901901901901902,2.9247516031249625
0.002002002002002002,2.9247735247401083
0.002102102102102102,2.924796570244219
0.0022022022022022024,2.9248207395928345
0.0023023023023023025,2.9248460327393313
0.0024024024024024027,2.924872449634923
0.0025025025025025025,2.9248999902286528
0.0026026026026026027,2.924928654467398
0.002702702702702703,2.924958442295873
0.002802802802802803,2.9249893536566263
0.0029029029029029032,2.9250213884900416
0.003003003003003003,2.9250545467343367
0.003103103103103103,2.9250888283255674
0.0032032032032032033,2.9251242331976237
0.0033033033033033035,2.9251607612822355
0.0034034034034034037,2.9251984125089656
0.0035035035035035035,2.9252371868052185
0.0036036036036036037,2.9252770840962357
0.003703703703703704,2.9253181043050933
0.003803803803803804,2.925360247352714
0.0039039039039039042,2.92540351315785
0.004004004004004004,2.9254479016371024
0.004104104104104105,2.925493412704909
0.004204204204204204,2.9255400462735452
0.004304304304304304,2.9255878022531365
0.004404404404404405,2.9256380287006025
0.0045045045045045045,2.9256912307636185
0.004604604604604605,2.9257456290206103
0.004704704704704705,2.925801223514393
0.0048048048048048055,2.925858014288716
0.004904904904904905,2.925916001388281
0.005005005005005005,2.925975184858722
0.005105105105105106,2.9260355647466265
0.005205205205205205,2.9260971410995134
0.005305305305305306,2.926159913965853
0.005405405405405406,2.9262238833950547
0.0055055055055055055,2.9262890494374703
0.005605605605605606,2.926355412144397
0.005705705705705706,2.926422971568073
0.0058058058058058064,2.926491727761679
0.005905905905905906,2.9265616807793426
0.006006006006006006,2.9266328306761302
0.006106106106106107,2.926705177508057
0.006206206206206206,2.926778721332078
0.006306306306306307,2.9268534622060924
